0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Jiançant laaiuda diui¬na hauez |a¬cabada la p̾mera part deaquest primerlibre. Lo queltracta ḋl regiment de si¬mateix mo¬strant 	0|1
83|84	potentiae naturales variantur in actibus suis, |sed semper 	ans tostenps segons la ma¬nera a ells 	67
85	secundum modum sibi possibilem suas actiones efficiunt. Tertio, 	possibla fan sas opacionsLa terça rao 	68
86	in talibus potentiis non sunt habitus, 	perque en tals potencias no han esser tals ututs. |es per¬que en ellas no son los habits ytuosos. 	69|70
87	et virtutes, 	Car los habits son 	71
88	qui habitus sunt ad determinandum potentias, 	per determenar las potencias 	72
89	ut bene vel male agant, 	que facem be e mal. 	73
90	ut per habitus vitiosos determinatur potentia ad agendum male, 	onper los habits uiciosos es determenada la potencia a fer mal. 	74
91	per virtuosos ad agendum bene: 	e per los ha¬bits utuosos a fer be. 	75
92|93	cum ergo natura sit determinata ad unum, |et potentiae naturales sufficienter determinentur ad agendum, 	Donchs con na¬tura sia determenada a un acte/las potencias naturals sufficientmentson determenadas 	76
94	ex natura sua secundum eas nec sumus vitiosi, 	per sa natura aobrar 	77
95	nec virtuosi, 	e segons ellas no som uicio¬sos ne uirtuosos parlant enla ma¬nera 	78
96|97	ut hic de vitio, |et virtute loquimur: 	que parlam aci de uici e uirtut. 	79
98	quare in eis huiusmodi virtutes esse non possunt. 	perque en ellas no poden esser tals uirtuts. 	80
99	His ergo tribus rationibus, 	Per aquestas tres raons |per lasquals es prouat, 	81|82
100	per quas probatum est virtutes non esse in potentiis naturalibus, 	que las ytuts no podenesser en las potencias naturals: 	83
101	probari potest eas non esse in cognitione sensitiua, 	potesser prouat 	84
102	siue in potentiis sensitiuis. 	que no pot esser en la potem cia sensitiua. 	85
103	Nam sicut non laudamur, 	La primera rao es: 	86
104|105	nec vituperamur ex potentiis naturalibus: |sic non laudamur, 	queaxicoz no som loats ni uituperatsper las potencias naturals. 	87
106|107	nec vituperamur ex sensibus. |Nam sicut nullus laudatur tanquam bonus homo, 	aximateix no son loats nin uituperats perlos senys corporals. Car axicom algu no es loat 	88
108	ex eo quod bene digerit, 	com fa be digestio. 	89
109|110	vel bene crescit: |sic non laudatur ex eo quod acute videt, 	Ecreixbe: 	90
111|112	vel subtiliter audit, |nisi forte hoc esset per accidens, 	axi no es loat coz ueu agu¬dament o ou suptilmentsi ia no eraperaccident. 	91
113|114	ut si quis ex superflua comestione, vel ex nimia potatione incurrisset ophthalmiam oculorum, |ne bene videret, 	axicon si per maça meniaro beure hauia malaltia ḋ optalmiaen los ulls 	92
115	vel debilitatem stomachi, 	perquenoy rees o aconse¬guia debilitat en lo uentrell 	93
116	ne bene digereret: 	perqueno faes be digestio. 	94
117	increparetur ille, 	tal seria represno 	95
118	non quia male digerit, 	perque fa mal digestio, 	96
119|120	vel quia non clare videt, |quia clare videre, et bene digerere 	o perqueno ueu clar. Car ueure clar 	97
121	(per se loquendo) 	e fer bedigestio propriament 	98
122	non est in potestate hominis: 	parlant no esen poder del home. 	99
123|124	sed increparetur ex nimio potu, |vel ex superfluo cibo, 	mas seria rep̃sde maça beure o meniar 	100
125|126	nam erat in potestate sua, |ut posset uti potu, 	perque es enson poder tenpradament beure e meniar. 	101
127	et cibo moderate. Secundo in sensibus non est ponenda virtus moralis, 	La segona rao perque en lossenys no deu esser posada uirtut mo¬rales 	102
128	quia sicut potentiae naturales non obediunt rationi, 	que axicom las potencias na¬turals no obeeixen ala raho: 	103
129	quia secundum regulam rationis nullus magis, 	ne lossenys tanpoch. 	104
130|131	vel minus augetur, vel magis, et minus digerit: |sic nec sensus obediunt rationi, 	Car segons regla ḋraho algu no es crescut nin mes ninmenys ne fa digestio mes ni menysaximateix los senys no obeeixen a¬la rao. 	105
132|133	non enim est in potestate hominis videre clarius, |vel minus clare: 	Car no es en poder del ho¬me ueure mes clar o menys. 	106
134|135	quare si virtus moralis est aliquid |secundum rationem, 	Derquesi uirtut moral es alguna cosa segonsrao: 	107
136	huiusmodi virtus in sensibus poni non debet. 	no ḋu esser posada en los senysLa terça rao 	108
137	Tertio in talibus non est moralis virtus, quia sicut potentiae naturales sufficienter determinantur ad actiones suas per suam naturam: 	perque en los senysno deu esser posada uirtut moral¬es |que axicom las potencias natu¬rals sufficientment son determenadas per sa natura a las suas obras: 	109|110
138	sic et sensus. 	axi matex los senys. |E proues axi. 	111|112
139	Nam sicut ignis tantum calefacit, 	Car axicon lo foch tant escalfa quentescalfar 	113
140|141	quantum potest calefacere, |propter quod, 	pot 	114
142	quia determinatus est in actione sua, 	per la qual cosa es de¬termenat en la sua operacio: 	115
143|144	nec laudatur, |nec vituperatur, 	non esloat ni uituperat. 	116
145	nec est in eo virtus moralis: 	ne es en ell uirtutmoral: 	117
146	sic quia potentia digestiua tantum digerit 	per lo semblant la potenciadigestiua |tant fa digestio quant di¬gerir pot. 	118|119
147	quantum potest digerere, et oculus tantum videt quantum potest videre, 	E lull yeu tant com ueu-re pot: 	120
148	in eis virtus moralis esse non potest. 	mas en ellas no pot esser uirtut moral. 	121
149	Nam per virtutem moralem determinatur potentia ad agendum: 	Car per la uirtut morales determenada la potencia 	122
150	haec autem sufficienter determinantur ad actiones proprias per naturam: 	a obrarmas aquestas sufficientment son de¬termenadas a sas obras propriasper sa natura. |perque ellas no hannecessari uirtut moral. 	123|124
151	non ergo indigent virtute morali. 	Donchs enlas potencias naturals: |ne en lossenys no es uirtut moral. 	125|126
152	Si ergo nec in potentiis naturalibus, 	E consenslas potencias naturals |e los senyscorporalsno sien sino lent enimente lo appetit intellectiu: 	127|128
153	nec in sensibus est virtus moralis, 	es necessarique en tals potencias sien las uir¬tuts morals. |Per declaracio de aquest capitole de aquesta segona part es necessari feruna diuisio de aina axi general: 	129|130
154	cum praeter potentias naturales, 	que contprenga totas las potencias de aquellaDerque deu esser notat: |que segons lophilosoph en lo segon de aina en lop̾ncipi: 	131|132
155	et sensus non sit nisi intellectus, 	etnima es acte substancialdel cors phisich organizat hauent uida en potencia. |Primo diu 	133|134
		que a-nima es acte. 	135
		e aco a differencia de¬la materia prima: 	136
		la qual es en pu¬ra potenciasegons es declarat enuna glosa 	137
		qui comença Tostenps laforma . En la primera part de aquest libre capitol. 	138
		xi. Diu acte substanciala differencia del accidental: 	139
		que es blan¬cor negror, roior, uerdor: 	140
		e tota co¬lor e tals semblants qualitats. 	141
		Carla anima se diu acte substancial 	142
		per¬que dona esser ala cosa animada. 	143
		cozla substancia que ha de cascuna cosa: 	144
		sia lo seu esser. 	145
		E no es axi dels accidents 	146
		que blancor negror 	147
		e los altresno son dela essencia del home. 	148
		Carsens ells poria esser Apres diu delcors 	149
		phisich a differencia dels cor¬sos artificials. Car cors phisich esfet per natura. 	150
		lo qual se diu cors na¬tut al coz sia una cosa cors naturale phisich. 	151
		E lo artificial es fet permans de homens. 	152
		E clara cosa es quela aina no dona esser al cors artifici¬al segons ueem sino al natural. 	153
		E perços diu: 	154
		que es acte del cors phisich. 	155
		Diu mes organizat a differenciadels corsos inorganizats. 	156
		Car corsorganizat es aquellqui te parts oinstruments diuersos 	157
		per fer operacions diuersas. 	158
		axicoz lome q̇ ab lospeus fa altra operacio 	159
		que ab las mans¬e orellas altre que ab los ulls: 	160
		e axidels altres menbres 	161
		E no es axi delscorsos inorganizats conson pedresmetalls e daltres. 	162
		Car aquests no fansino una operacio. 	163
		com es anar a soncentre. e fa ho la freturaque han de or¬guens 	164
		per a fer diuersas operacionsE perço no tenen anima: 	165
		perque noham los instruments aptes 	166
		per exercitarlas proprietats de ella estant en ellsseria ociosa: 	167
		lo que seria contra sa natura. 	168
		com natura no faça res ociossegons diu lo philosoph en lo p̾merde celo. 	169
		ginalment diu hauent ui¬da en potencia. 	170
		car duas manerashauez de uida. 	171
		ço es en acte e en potencia. 	172
		Uida en acte es las opera¬cions, 	173
		que fan las cosas uiuents. 	174
		cozes engenrar parlar crexer, 	175
		e xniuer¬salment totas las operacions que locors animat fa axi interiors comexteriors. 	176
		Uida en potencia es ditala anima: 	177
		perque pot fer las opera¬cions 	178
		que dit hauez. 	179
		E si es dit peralgun 	180
		que acte e potencia son cosasdistinctas. 	181
		e que per conseguent si laanima es potencia 	182
		no pot esser actedel cors. 	183
		la qual cosa es falsa 	184
		segonsdiu lo philosoph enla diffinicio deanima. E per solucio de aquesta re¬pugnancia dien 	185
		que anima es acte epotencia en diuersos esguarts. 	186
		carhauent esguart al cors es acte segonsdit hauem. 	187
		mas hauent esguart a lasoperacions de rida que fa es poten¬cia. 	188
		perque no es inconuenient unamatexa cosa esser acte 	189
		e potencia endiuersos esguarts. 	190
		Diffinit que esanima uenint ala diuisio de aquelladien 	191
		que anima se diuideix en tresspecias: 	192
		çoes uegetatiua sensitiua'e intellectiua. 	193
		La uegetatiua es a¬quella 	194
		que es en las plantas las potencias 	195
		dela qual son nutritiua. au¬gmentatiua. generatiua. 	196
		La nutriti¬ua conuerteix lo aliment en subsrancia del cors. 	197
		per la qual substancia eslo cors conseruat en uida La augmentatiua dona creximent al cors este¬nent lo aliment 	198
		per totas las partsdel cors. 	199
		La generatiua engenra al'tre cors. 	200
		e aquesta te quatre poten¬cias. coes attractina. retentiua. 	201
		di'gestiua. 	202
		expulsiua La attractiua 	203
		esper attraure la substancia del alimentLa retentiua 	204
		per a retenir aquellasubstancia 	205
		desque es treta. La dige¬stiua digereix aquella substancia. çoes ab la unitiua e disponent la pera poder se conuertir en lo cors que en¬genra La expulsiua es 	206
		per a lançar lassuper fluitats 	207
		que nos poden conuertiren substancia del cors. 	208
		Dela animasensitiua 	209
		que es en los animals quesen¬ten 	210
		quant son tocats: 	211
		son duas po¬tencias principals. 	212
		ço es apprensi¬ua e motiua. 	213
		La aprensiua se diui¬deix en duas specias. 	214
		ço es en exte¬riore interior. 	215
		La apprensiua exterior te cinch potencias. ço es uisiua¬auditiua odoratiua gustatiua/e tacctatiua . 	216
		las quals se dien los cinchsenys corporals. 	217
		La apprensiua interior te altres cinch specias. 	218
		ço esseny comu, 	219
		imaginatiua extimati-ua fantasia e memoria. las quals sedien los cinch senys interiors. 	220
		E a¬questas son en lo ceruell del animallo 	221
		qual es diuisit en tres parts. 	222
		coes primera segona derrera. 	223
		La primeraes en lo front. 	224
		La segona enmig del cap. 	225
		La derrera en lo toc. 	226
		EEn la p̾mera se aiustan los. u. niruisdels. u. senys exteriors. 	227
		perlos qualsniruis uan las specias apresas perlossenys exteriors fins al seny comu: 	228
		qui sta alli hon se aiustam los niruis. 	229
		ab tot que plato diga 	230
		que lo seny comusta en lo cor. 	231
		pero la opinio del captenen los mes. 	232
		e perço diu seny comuperque reb totas las specias. 	233
		E aquestapotencia de seny comu es calda e se¬ca. 	234
		e perço facilment reb las speciasaxicon la cera calenta 	235
		que reb millor laemprempta: 	236
		que com es freda. 	237
		En lasegona part del ceruell stam duas po¬tencias. 	238
		ço es ymaginatiua la qualsta en lo principi dela segona partconiuncta ab lo seny comu: 	239
		e estima¬tiua questa en la fi de aquesta segonapart. 	240
		n la derrera part del ceruellson duas potencias. 	241
		co es fantasia ememoria. fantasia en lo principi ememoria en la fi. 	242
		La part dela memoria es pegalosa freda. 	243
		e per çosiaturan tant las specias. 	244
		E la causaperque uns homens tenen mes recortque altres: 	245
		es perque tenen aquesta potencia mes pegalosa. 	246
		La potencia mo¬tiua se diuideix en duas potencias. 	247
		ço es appetitiua 	248
		e executiua La appetitiua mou lo animal a desiiar loque uol. 	249
		E aquesta te duas potencias. 	250
		çoes concupiscibla e irascibla. 	251
		La con¬cupiscibla nos mou a proseguir lo ob¬iecte 	252
		per quel posseiscam 	253
		quant es loobiecte concorde ablo appetit. Lairascibla nos mou a resistir al obie¬cte 	254
		mal destroint lo o fugint li. 	255
		Laexecutiua es una potencia, 	256
		quins faexercir lo mouimentque ha fet en nos¬altres. 	257
		La appetitiua per rao dela concupiscibla o irascibla. 	258
		e aquesta te trespotencias. 	259
		ço es natural uital e animal. 	260
		La potencia natural es aquella: 	261
		queesten lo sperit natural proceint dl corpartotas las uenas del cors nodrintlo e faent lo uiure. 	262
		Car segons con¬sta en lo libre de differencia de sperite aina: 	263
		sperit es un uapor suptil pro¬ceint 	264
		del cor estenent se partotas lasuenas del cors. 	265
		E ab tot largamentprenem sperit 	266
		per tota cosa no corporea ço es angel anima dyable: 	267
		peropropriament parlant sperit es lo quehauem diffinit. 	268
		Mas lo sperit santes un ligament de amor proceint delpare e del fill ensemps. 	269
		e perço aquestsperit se diu la ter ça parsona en trini-tat 	270
		segons lo mestre largament tractaen lo primer delas sentencias distin¬ctio. xxxii. 	271
		E aquest sperit no es laaina sino una uapor 	272
		que ix dela sanch questa entorn del cor. 	273
		La potencia uitales 	274
		aquella que mou los polcos e tanbe porta aquest sperit per las uenas: 	275
		uiuificant lo cors. 	276
		La potencia ani-mal es aquella 	277
		que mou tot lo cors. 	278
		açofahent puiar aquestsperit fins al cer¬uell. 	279
		e fal estendre per tots los nir¬uis. 	280
		E si en los paralitichs e a folalats alguns membres no podem exercir sa operacio: 	281
		es perque en lo niruide aquell membre fall aquest speritempat xat 	282
		per qualque causa de indisposicio de aquell nirui. 	283
		La aina intellectiua te duas potencias. çoescognitiua e uolitiua. 	284
		La cognitiuate quatre pot encias enteniment agententeniment passible enteniment speculat iu enteniment pratich. 	285
		e totasaquestas quatre potencias serueixen 	286
		peral acte del entendre. 	287
		Lo enteniment agent illumina la similitut delas cosas 	288
		per poder las appendre. 	289
		Lenteniment passible es que entraper los senys 	290
		e perco es conparat al 	291
		solque axicom nosaltres 	292
		per dispost quetengam lull no poriam res ueure sino miian cant la lum: 	293
		axi lentenimentpassible no poria entendre las cosassens la illuminacio del entenimentagent 	294
		Enteniment passible se diu lo quereb 	295
		en si las similituts tramesas perlos senys e illuminades 	296
		per lenteniment agent. 	297
		E diu se passible 	298
		per quereblas similituts. 	299
		Car rebre o esserimpressa alguna cosa en altra: 	300
		essofferir. 	301
		e sofferir es passio. Enteniment speculatiu es lo mateix passible. 	302
		E diu se speculatiu: 	303
		perque entenaquella specia en ell impressa. 	304
		E esenses passible e speculatiu pero endiuersos esguarts. 	305
		Car es passibleen quant reb las specias e speculatiuen 	306
		quant las entem Enteniment pra¬tich es lo mateix speculatiu. 	307
		E diuse pratich 	308
		perque enten la differenciadelas cosas 	309
		entenent 	310
		com son diuersas las unas delas altras. 	311
		E mes sediu pratich 	312
		perque la fi sua es obrar eno sols ent endre. 	313
		E perço diu lo phi¬losoph en lo terc de aina 	314
		quel enteniment pratich differeix del speculatiuen la fi. 	315
		Car la fi del speculatiu esentendre: 	316
		e la del pratich obrar: 	317
		Elo discernir 	318
		que lenteniment pratichfa 	319
		en los cosas es propriament discre¬cino. ab tot uulgarment no dien dis¬crets sino los que en lo tal discernir p̃¬nen la bona part. 	320
		Car lespeculatiusolament enten ses fer differencia ḋynas a las altres sino que es homepedra e fust cascu ensi. 	321
		E aquesta ma¬nera dentendre diem los doctors no¬ticia p̃scisiua. 	322
		ço es en si sens mes allargarse. 	323
		mas lo pratich segons dites enten la diuersitat delas cosas. 	324
		Ea aquesta manera dentendre diem los doctors noticia diuisiua 	325
		perque diuideixunas cosas daltres. 	326
		E alguns a aquella noticia dien praxis. 	327
		lo qual uocable es greche uol dir noticia pra¬ctica. 	328
		Mas lo contrari diu lo Scoten lo p̾mer delas sentencias 	329
		enlo pro¬lech dient 	330
		que con peccat sia en lactedela noticia practica: 	331
		seguir sia quesols perentendre 	332
		que es luxuria o superbiao altres peccats peccariem 	333
		la quel co¬sa es falsa 	334
		e contra determinacio detots los sancts doctors. 	335
		Car lo peccar sta en los actes pratichs delauoluntat 	336
156	et appetitus intellectiuus, 	e no del enteniment. |E aquestenteniment pratich te tres potenciasçoes sinderesis rao e consciencia. 	337|338
		Sinderesis es una potenciaque iutia 	339
		que al¬gun mal nos deu fer La rao es unapotencia 	340
		que discernint entre be e malconeix cascu. 	341
		conscina es una potenciaque ordena 	342
		que aquest o aquell mal en quantson particulars: 	343
		nos deu fer. 	344
		Car lasinderesis solament diu en uniuersalque mal nos deu fer. 	345
		La potencia uolutiua se diuideix en duas potenciasço es uoluntat e franch arbitre 	346
		La yoluntat es una potencia, 	347
		que uol les cosesquelenteniment conex esser bonas. 	348
		conella no uulla mal sino peraccident. 	349
		axicon uolent lacte ḋ luxuria 	350
		o daltre peccat 	351
		per la delectacio 	352
		que es en aquell actee 	353
		perque lo peccat es inseparable daquella delectacio uolent la delecatacio: 	354
		uolen per accident lo peccatE aquesta potencia te dos actes. 	355
		ço: es elicit, e imperat. 	356
		Acte elicites lo elegir que la uoluntat fa. 	357
		E loimperat es la execucio del acte illicit. 	358
		Franch arbitre es la mateixa uo¬luntat e diu se franch arbitre en quantpot uoler e no uoler. 	359
		Uoluntat enquant uol o no uol. 	360
		E aquestas tresanimas segons lo philosoph: 	361
		en losegon de anima son axi partidas 	362
		quela uegetatiua es en los arbres solasens las altres. 	363
157	et sensitiuus, 	E en los animals irracionals es la sensitiua ab la uegetatiua |sens la intellectiua dient 	364|365
		queaxicom lo triangle es en lo quadrangle: 	366
158	oportet esse in talibus virtutes morales.	axi la uegetatiua es dins la sen¬sitiua. |Car totas las potencias quehan las plantas : 	367|368
		han las bestias. 	369
		enlome son totas tres uegetatiuasensitiua e intellectiua. 	370
		que axicom lauegetatiua es dins la sensitiua: 	371
		axila uegetatiua e sensitiua son enla intellectiua. 	372
		E perco lome es mes noble animal 	373
		que tots los altres.	374
