		. ii. 	0
75	sic appetitus cognitiuus 	S ͨ appetitus cognitiuus 	64
76|77	sequitur formam |per cognitionem apprehensam. 	sem formam per cognitionem apphendam. 	65
78	Sicut enim grauia, 	sit̃ . n. grauia 	66
79|80	ex eo quod habent formam grauis, |sequitur ea quaedam naturalis inclinatio, 	ex eo quod habet formamgrauisse ea quedam naturalis inclinatio 	67
81	et quidam appetitus naturalis, 	et quidam appetitus naturalis 	68
82	ut naturaliter desiderent esse deorsum: 	ut naturaliter desiderent esse deorsum. 	69
83	sic habentia cognitionem prout habent in seipsis formam apprehensam, 	Sͤ habentia cognitionem prouthabet in seipins formam apphensam se ͤ 	70
84	sequitur quaedam inclinatio, 	que dam inclariatio 	71
85	et quidam appetitus 	et quidam appetitus 	72
86|87	secundum formam illam. |Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	secundum formamnill autem propter quod sicut est in nobis d ͫ cogertiossitiua et intllanua. 	73
88|89	sic etiam est in nobis duplex appetitus, |videlicet, sensitiuus, 	sic est innob̾dͤ appetitus uidelicet sensitiuus 	74
90	qui sequitur formam apprehensam per sensum: 	qui se forsaprehensam per ẜẜm 	75
91	et intellectiuus, 	et intellectiuus 	76
92	qui sequitur formam apprehensam per intellectum. 	qui seͦ foͣm apprehensam. 	77
93	Appetitus autem sensitiuus duplex est. 	Apetitus autem sitiuus dͫ est. 	78
94	Nam cum animalia sint supra inanimata, 	nam cum alia sint supra animata 	79
95|96	si natura elementis et rebus inanimatis |dedit duplicem potentiam, 	si natura elementis et rebus in animatis ded ͭ dup ͤ potentiam. 	80
97	unam per quam tendunt in propriam quietem, 	uuam per quam tendunt in propria quietem 	81
98	et aliam per quam resistunt, 	et alium perquam resistunt 	82
99	et agunt in prohibentia, 	et agunt in prohibencia 	83
100	et in contraria: 		
101	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	et iuusͣria multo magis ħ dup ͤ potentiam. |natura ded ͭ ipsis alibus 	84|85
102	quae sunt perfectiora illis. Videmus enim 	que sunt perft̃iora illis. |uidemus . ni. 	86|87
103	quod ignis naturaliter est calidus, 	quod ignis ennaturaliter calidꝰ 	88
104	et leuis per leuitatem autem tendit in locum proprium, 	et leins perlenitatem autem tend ͭin locum proprium 	89
105	et in quietem sibi conuenientem: 	et in quietem sibi conuenientem percaliditatem 	90
106	per caliditatem vero agit in contraria: 	ueroagit in contraria. 	91
107	ne ergo ignis per quaecunque contraria agentia impediretur, 	Ne ergo per que̾cunq agentia contraria inpediretur. 	92
108	ne per leuitatem in proprio loco quiesceret, 	ne perleui ͭ  in proprioloco quiesteret dedit 	93
109	dedit ei natura potentiam calefactiuam, 	ei natura potentiam caleftinuam 	94
110	ut per eam resisteret, 	ut per eam tesisteret 	95
111	et ageret in contraria corruptiua. 	et aget iuusͣria cormipartiua. 	96
112|113	Si ergo igni, |et rebus inanimatis natura dedit duplicem potentiam, 	Si igitur igni et rebus in animatis natura dedit duplicem gnam potentiam 	97
114	unam per quam adipiscuntur propriam quietem, 	unam perquam adipiscum ᷑ pp̾am 	98
115	et aliam per quam agunt 	quietem et aliam perquam agnont 	99
116	in prohibentia et contraria: 	in prohibentia et contraria. 	100
117	multo magis hoc dedit animalibus. 	młdomager h̾dedit alinbus. 	101
118	Tribuit ergo eis duplicem appetitum sensitiuum, 	Trtbuit ergo eit dupͨ ͤ appetitum sensitiuum. 	102
119	unum per quem prosequuntur propriam quietem, 	unum per quod prosecuntur propria 	103
120	et propriam delectationem, 	qui etem et propria delicatom 	104
121	ut concupiscibilem: 	ut concupisci. 	105
122	et alium per quem resistunt, 	et alm̃ per quam resistunt 	106
123|124	et aggrediuntur prohibitiua, |ut contraria, 	et aggredium t prohabitiua et contͣria 	107
125	ut irascibilem. 	ut irasciblem ita 	108
126	Ita quod concupiscibilis se habet 	quod concuel se habet sicut leuitas. 	109
127	sicut leuitas, vel grauitas, in leuibus, et grauibus. 	uel gͣtitas in leuibus et gnanibus. 	110
128|129	Irascibilis vero se habet quasi caliditas, |vel frigiditas in eis. 	Irasci uel uero se habet fieꝰ. q. caliditas et frigiditas in eis. 	111
130	Nam sicut grauia per grauitatem recedunt 	Nam sicut gnania per gnami ͭ ͤ 	112
131	a loco sursum tanquam a non conueniente, 	recedunt aloco sursum tanquam anon communi ente 	113
132	et tendunt in locum deorsum tanquam ad locum conuenientem, et conformem: 	et tendunt in locum ceorsum tanquam ad loͫ conuenientem et ꝯformem. 	114
133	per frigiditatem vero resistunt contrariis, 	per frinditatem non resistunt contrariis 	115
134	ne corrumpantur a propria natura, 	ne corumperanturapropria natura 	116
135	et deserant propria loca, 	et deserant loca prop̾a 	117
136	et propriam quietem. 	et propria quietem. 	118
137	Sic animalia per concupiscibilem 	g ͨ ali̾a 	119
138	fugiunt mala tristia, 	per concuperisribłem fiunt mala tristia 	120
139	et prosequuntur bona delectabilia. 	et prosecunt ᷤ bona delica ᷝ ͫ 	121
140	Per irascibilem vero aggrediuntur contraria, 	per irasc ͤuꝰ |aggrediuntur contraria 	122|123
141	quae possent ea ab huiusmodi delectationibus prohibere. 	que possent ena |ablicet delicationibus prohibere 	124|125
142	Ut Leo per concupiscibilem pergit, 	ut leo per concupiscius pergit 	126
143|144	ut prosequatur cibum |tanquam quid delectabile: 	ut proseqͣt ᷑ cibum tanquam aliquid delcta ᷝ ͤ per irasci ᷝ ͤ 	127
145|146	per irascibilem vero aggreditur animalia |illa volentia ipsum prohibere in cibo adepto. 	uero agredicitur alina ipsum prohibenͣ incibo adepto. 	128
147	Propter quod bene dictum est, 	propter quod beneden est 	129
148	quod concupiscibilis respicit bonum, 	quod concupisci uel respicit bo ͫ 	130
149	et malum secundum se: 	et malum secundum se. 	131
150|151	irascibilis vero respicit bonum, |et malum inquantum habent rationem difficilis, et ardui. 	Irascilis re uero respic̾ bo et malum inquam habent rationem disti uel et ardui. 	132
152	Nam cum bonum secundum se dicat prosequendum, 	Nam cum bd ͥ secundum se dicat |quid prosequendum. 	133|134
153	malum vero quid fugiendum: 	malum quid fugiendum. 	135
154	concupiscibilis, 	Concu pisci ͬ 	136
155	quae secundum se tendit in quietem 	que se tenditus quietem 	137
156	et in bona delectabilia, 	et in bona delicaͬ 	138
157|158	et fugit mala tristia, |pro obiecto habet mala, 	et fugit mala de tristia pro obiecto habet toͣ 	139
159|160	et bona sensibilia secundum se considerata. |Irascibilis vero, 	et mala delt̃a ͫ̃ 	140
161|162	secundum quam aggredimur, |et resistimus prohibentibus, 	qs laẜ se considum ata. 	141
163|164	et nociuis, |tendit in bona, et mala sensibilia, 	Irasciͭ nero secundum quam agergodims et resistimus pro hibentibus et nociuis tendit inboͣ et mala si ᷝ ͣ 	142
165	non secundum se considerata, 	non secundum se considerata 	143
166	sed ut habent rationem ardui, et difficilis: 	sed ut habent r̃om ardui et difficilis. 	144
167	nam arduitas, et difficultas potissime sunt repugnantia, et prohibentia, 	nam arduitas et difsiclaritas potissie sunt repugnantia et prohibentia 	145
168|169	ne possimus consequi bonum, |et vitare malum. 	ne possimus consequi bonum et uitare malu̾̃. 	146
170|171	Imperfecto ergo egisset natura, |si dedisset animalibus concupiscibilem, 	Imperfcem ergo egisset naturasi dedisset animalibus concu ᷝ ͤ 	147
172	per quam vitarent mala, 	per quam nitarent mala 	148
173	et prosequerentur bona, 	et prosequerentur bbͣ 	149
174	nisi dedisset eis irascibilem, 	nisi dedisset eis irasqᷝ ͤ 	150
175	per quam aggrederentur impedientia delectationem illam: 	per quam aggrederentur inpedimenta dele̾ationem 	151
176	ut igitur animalia, 	illas uit g animalia 	152
177|178	secundum modum sibi conuenientem, |prout bene possint delectari per concupiscibilem, 	secundum modum sibi conuenientenperlene possint delicart. 	153
179	data est eis irascibilis, 	per concuipisciͥ ͤ data est eis masciͬ 	154
180|181	per quam resistant, |et aggrediantur impedientia delectationem illam. 	per quam resistant et aggrediantur in pedientia delicationem illam. 	155
182|183	Duplex est ergo appetitus sensitiuus, irascibilis, et concupiscibilis. |Appetitus autem intellectiuus, 	Dupͣ energo appetitus ssitiuus irascibilis et concuͤ Appetitus est autem intellectiuus 	156
184|185	qui dicitur voluntas, |remanet indiuisus. 	quod dicitur uoluntaᷤᷤ ramanet in dinsus. 	157
186	Nam cum intellectus uniuersaliori modo respiciat suum obiectum quam sensus, 	Nam cum intellectus uniuersaliori modo respiciat suum obiectum 	158
187	appetitus intellectiuus, 	quam sensus appetitus intellectiuus 	159
188	qui sequitur intellectum uniuersaliori modo, 	qui se intellectm uniuersaliori modo ftui. 	160
189|190	fertur in bonum, |quam appetitus secundum sensum: 	in bonum quem appetitus secundum sensum 	161
191	et quia quanto aliquid sub uniuersaliori modo accipitur, 	et quia quamto aliquid sibi uliori modo accipitur 	162
192	tanto unum et idem existens 	tanto unum et idem existens 	163
193	ad plura se extendit, 	ad plura se extendit. 	164
194	licet appetitus sensitiuus sit alius, et alius, 	licet appetitus sensitiuus sit alius et alius 	165
195	secundum quem prosequimur delectabilia, 	secundum quem persequimur delicabilia |secundum sensum 	166|167
196	et secundum quem aggredimur terribilia: 	et aggredimur terribilia appetitus 	168
197|198	appetitus tamen intellectiuus unus, |et idem existens fertur 	tum intellectiuus unus et idem existens fertur 	169
199	in omne bonum intelligibile. 	in esse bonum intłłigi ͤ 	170
200	Non ergo est alius appetitus intellectiuus, 	Non ergo est alius appetitus intellectiuus 	171
201|202	secundum quem prosequimur bona delectabilia |per intellectum, 	secundum quod persequimur bona delicabilia per intłlc̃m 	172
203	et aggredimur bona ardua: 	et aggredimur bona ardua. 	173
204	sicut est alius appetitus sensitiuus, 	sicut est alius appetitus sensitiuus 	174
205	secundum quem prosequimur bona sensibilia delectabilia, 	secundum quem pro sequamur bona sensibilia et delicabilia 	175
206	et aggredimur terribilia. 	et aggredimur terribilia. 	176
207	Quare si omnis virtus moralis, vel est in intellectu, 	Quare si omnis uirtus moralis |uel est in intellectum. 	177|178
208	vel in appetitu: 	uel in appetitu. 	179
209	et appetitus alius intellectiuus 	et appetitus anus est intellectiuus 	180
210	ut voluntas, 	ut uoluntas. 	181
211	alius est sensitiuus: 	alius sensitiuus 	182
212|213	et hoc duplex, |irascibilis scilicet, et concupiscibilis: 	et hic dͫ irascilis . 	183
214	oportet omnem virtutem moralem, 	scilicet. |et concuperiscilis oportet om̃ uirtutem moralem 	184|185
215	vel esse in intellectu, 	uel esse int̃tllcum. 	186
216	vel in voluntate, 	uel in nolum ͭ ͤ 	187
217	vel in irascibili, 	uel in irasci ͫͥ 	188
218	vel in concupiscibili. 	uel in concupisci ᷝ ͫ 	189
219	Accipiendo ergo virtutem moralem large 	Accipiendo igitur uirtutem moralem large 	190
220	prout ipsa prudentia 	prout ipsa prudentia 	191
221|222	dicitur quaedam virtus moralis, |dicere possumus 	dicitur quedam uirtus moralis drem per᷒sumus 	192
223	quod secundum has quatuor potentias animae 	quod secundum has . iiiiͦ. |potentias anime 	193|194
224	in quibus habet esse virtus, 	in quibus h̃t esse uirtus. 	195
225	sumptae sunt quatuor Virtutes Cardinales; 	siue pte ster. iiiͣ. uirtutes caeterardinales . 	196
226	videlicet, Prudentia, Iustitia, Fortitudo, et Temperantia. 	scilicet. iustitia prudentia. fortiᵈ ͦ tenperanͣ. 	197
227	Nam Prudentia est in intellectu, 	Nam primadenͣ est in intellecum. 	198
228|229	Iustitia in voluntate, |Fortitudo in irascibili, 	iustitur in uolum ͭ ͤ gortiᵈ ͦ in irasci ᷝͥ tp̃ranͣin concu ł	199
230	Temperantia in concupiscibili.		
