0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Epus que deus auidant hauem conplida la primam partida |da quest primer libre en lo quil es tractar del uirtuts. 	0|1
26|27	His ergo itaque peractis, |et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	E de mostrar en qual cosa los Reys deuen posar la sua si segons lorde damunt posat en lo. c. iii. 	21
28|29	restat ostendere quibus virtutibus Reges pollere debeant. |Virtutes autem quaedam sunt quidam ornatus, 	Roman a demostrar de quals uirtuts los Reys degen resplendir quar les uirtuts son algun ornament 	22
30|31	et quaedam perfectiones animae. |Oportet ergo prius ostendere, 	e algunes perfeccions dela aina Pͥmerament donques coue a demostrar 	23
32	quot sunt potentiae animae, 	quantes son les potencies dela aina 	24
33	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	e en qͣls potencies han parsser les uirtuts/ 	25
34	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	Empero ap̾s sera mainfestat en qͣl manera les uirtuts deuem esser 	26
35|36	quot sunt numero huiusmodi virtutes, |et quae illarum sunt principales, 	departides/Enapͥs nos demostrarem quantes son per nonbre aquestes uirtutsS quals da quells son principals 	27
37|38	et secundariae. |Deinde autem declarabitur singulariter, 	e qualsson secundaries o meỹs principals E finalment sera declarat en especial 	28
39	quae sit unaquaeque illarum virtutum, 		
40|41	et quomodo decet Reges, |et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	quel sia quescuna daquells uirtutsE enqͣl manas se partaỹ dels Reys e dels princeps hau̾ tals uirtursLes potencies dela aina poden esser departides en aquesta 	29
42|43	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	maneraQuar algunes son nanls Algunes cogertiues o conexedores sensitiues Algunonsappetitiues o uoluntaries/ 	30
44|45	quaedam appetitiuae, |et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	E alters entellectuals les potencies nerals son aquells en les qͣls nos partiçipam ab les coses qui han uida 	31
46	ut potentia nutritiua, augmentatiua, generatiua, 	e ab les plantes axicon es potencia nucͥtiua/ crescitiua e generatiua eles alters aurals quiaximatex couenen als arbres 	32
47|48	et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, |gustus, auditus, et talia, 	Mas les potencies conexedor̃s sensitiues son la uista lo gustar ol tascar lo tochar e les altres ayrals 	33
49	in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	en los quals nos comunament participam |ab les besties brutals 	34|35
50	nam quidam appetitus est in homine, 	Masles potencies appetiues o uolenteroses son departides/. 	36
51	in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	Quar algum appetiment o alguna uoluntat es en honen lo qͣl ell no participa ab les besties brutals/ axi con es lappetumnent o la uoluntat 	37
52|53	quidam vero in quo communicat cum eis, |ut appetitus sequens sensum. 	que seguer lentenimentMas algum alcre es en lo qual ell participa ab ells axi 	38
54	Appetitus autem sequens sensum potest nominari sensualitas: 	con es lappetiment o lauoluntat |qui segueyx lo senycorperal pot esser appellat sensualitat/ 	39|40
55	sequens intellectum nominatur voluntas: 		
56|57	secundum quem modum loquendi bruta habent sensualitatem, |et appetitum sensitiuum, 	En aquell qui seguex lenteniment sia appellat uoluntatSegons la qͣlmanera de parlar les besties brutals han sensualitat e appetiment sensitiu/ 	41
58|59	sed non habent voluntatem, |et intellectum. Virtutes ergo, 	Mas no han uoluntat coes assaber appetiment intellectiu Donques les uirtuts dels quals nos entenem aperlar 	42
60	de quibus loqui intendimus, 		
61|62	quae sunt quidam habitus laudabiles, |vel erit in potentiis naturalibus, 	qui son algunshabits o concebimens dignes de lahor o seran en les potencies nerals/ 	43
63|64	vel in ipsis sensibus, |vel in appetitu sensitiuo, 	o en les potençies sensitiues/ 	44
65	vel in appetitu intellectiuo, 		
66	vel in ipso intellectu, 		
67|68	vel in omnibus his, |vel in aliquibus horum. In potentiis autem naturalibus esse non possunt, 	o enlappetiment sensitiu o en lappetiment incellectiu o en lentemment o entot̃s aquestes potencies o en algunes daquestes. En les potencies nerals no poden esser la qual cosa entres 	45
69	quod tripliciter patet. Primo, 	mases es manifesta primerament 	46
70|71	quia ex naturalibus nec laudamur, |nec vituperamur nullus enim dicitur 	per tal con per les potencies nanls no son lohars ne uituperars 	47
72|73	bonus homo ex eo quod habeat digestiuam bonam, |vel bonam augmentatiuam. Secundo, 	qͣr negum hom no es dit bo per cocon el ha bona digestio o bona crexença 	48
74|75	in talibus non habent esse virtutes: |quia virtus est aliquid 	En ap̾s entals potencies no han esser aquestes uirtuts per tal conuirtut es alguna cosa segons raho segons 	49
76|77	secundum rationem, |ut probari habet 2 Ethic’. Potentiae autem naturales 	que pot esser prouat en lo. ii. libre de les echiques/ 	50
78	(secundum quod huiusmodi) 	E les potencies nalssegons 	51
79|80	rationi non obediunt: |nam siue quis ratiocinetur, 	que son naturals no obehexen ala rao 	52
81	siue velit, 	Quar sia 	53
82	non propter hoc (per se loquendo) 	que algum us deralo o deuoluntar perlant 	54
83	potentiae naturales variantur in actibus suis, 	per si les potencies nacurals per aco no uariegen en les sues 	55
84	sed semper 	obres/ 	56
85	secundum modum sibi possibilem suas actiones efficiunt. Tertio, 	ans costep̃s segons la mana aells possible |o segons queelles poden fan les sues obres. 	57|58
86|87	in talibus potentiis non sunt habitus, |et virtutes, 	Encara entals potencies naturals no son los habits ols concebimens iurtuososne les uirtuts/. 	59
88|89	qui habitus sunt ad determinandum potentias, |ut bene vel male agant, 	QQuar los habirs ols concebimnens son 	60
90|91	ut per habitus vitiosos determinatur potentia ad agendum male, |per virtuosos ad agendum bene: 	per determenar les potençies que façem be omal On perloshabirs o per los concebimens uiciosos 	61
92	cum ergo natura sit determinata ad unum, 	es determenada la potencia/ afer mal/ 	62
93	et potentiae naturales sufficienter determinentur ad agendum, 	E per los habics o per los concebimensuirtuosos afer be donques con nacura sia determenada a una cosa eles potencies nals sufficientment sien determenades 	63
94|95	ex natura sua secundum eas nec sumus vitiosi, |nec virtuosi, 	per lur natura a obrar segons elłs nos no som uiciosos ne uirtuosos/ 	64
96	ut hic de vitio, 	parlant en aquella manȧ 	65
97	et virtute loquimur: 	quenos perlam açi de uici e deuirtut perral 	66
98	quare in eis huiusmodi virtutes esse non possunt. 	donques en elles no poden esser rals uirtuts 	67
99	His ergo tribus rationibus, 	per aquestes . iii. rahonsdonques |per les quals es prouat 	68|69
100	per quas probatum est virtutes non esse in potentiis naturalibus, 	que les uirtuts no poden esser en les potençies nals pot esser puat 	70
101|102	probari potest eas non esse in cognitione sensitiua, |siue in potentiis sensitiuis. 	que elles no poden esser enla conexença sensitiua o en les potençies sensitiues/. 	71
103|104	Nam sicut non laudamur, |nec vituperamur ex potentiis naturalibus: 	Quar axi con nos no son leats ne uituperatsper les pocencies nals 	72
105|106	sic non laudamur, |nec vituperamur ex sensibus. 	e axi matex nos no som lohats ne uituperats 	73
107	Nam sicut nullus laudatur tanquam bonus homo, 	per los seỹals corpals/ |Quar axi connegum no es lohat otengunr 	74|75
108	ex eo quod bene digerit, 	per bon hon 	76
109|110	vel bene crescit: |sic non laudatur ex eo quod acute videt, 	per co con ell fa be digestio o crex be/. Aximatex no es lohar 	77
111	vel subtiliter audit, 	per co con ell ueuagudament o hou subailment 	78
112	nisi forte hoc esset per accidens, 	si donques per auentura aco no era per accident 	79
113	ut si quis ex superflua comestione, vel ex nimia potatione incurrisset ophthalmiam oculorum, 	o accidentalment axi |con si algu permassa mangyar o per massa beure aconsegia malaltia de obralumia en los ulls 	80|81
114|115	ne bene videret, |vel debilitatem stomachi, 	per que no uehes be o aconseguiadebilirat en lescomach 	82
116|117	ne bene digereret: |increparetur ille, 	per que no fahes be digescio aytal seria repͥs no perral con ell 	83
118	non quia male digerit, 	fa mal digestio 	84
119	vel quia non clare videt, 	o per tal con ell noueu benclar 	85
120|121	quia clare videre, et bene digerere |(per se loquendo) 	quar clar ueure e fer be digestio parsi perlant 	86
122	non est in potestate hominis: 	no es en so poder del honMas 	87
123|124	sed increparetur ex nimio potu, |vel ex superfluo cibo, 	ell seria rep̾s de massabeure o demassa mangyar 	88
125	nam erat in potestate sua, 	per ço con seria en lo seu poder 	89
126	ut posset uti potu, 	que pogues usar tempradament demangyar o de beure etEncara en los seỹs 	90
127	et cibo moderate. Secundo in sensibus non est ponenda virtus moralis, 	no deu esser posada uirtut moral/. 	91
128|129	quia sicut potentiae naturales non obediunt rationi, |quia secundum regulam rationis nullus magis, 	Quar axi con les potencies nals no obehexem ala raho persocon segons laregla dela raho negum no es crescut ne ne mes ne meỹs ne fa digescio mes ne meys Axumnateixles 	92
130|131	vel minus augetur, vel magis, et minus digerit: |sic nec sensus obediunt rationi, 	seỹs no obeheren ala raho/. 	93
132	non enim est in potestate hominis videre clarius, 	Quar no es en lopoder del hom ueure 	94
133|134	vel minus clare: |quare si virtus moralis est aliquid 	pus clarament o meỹs claramentper la q̈l cosa 	95
135|136	secundum rationem, |huiusmodi virtus in sensibus poni non debet. 	si uirtur moral es alguna cosa segons rah̾o/ tal uirtut no deu esser posada enlos senys/ Encarales potencies sensitiues no deuesser posada uirtut moral/. 	96
137	Tertio in talibus non est moralis virtus, quia sicut potentiae naturales sufficienter determinantur ad actiones suas per suam naturam: 	Quar axi con les potencies uals sufficientment son detinenades |per la sua natura ales sues obres/ aximateix los seỹs/ Car axi 	97|98
138|139	sic et sensus. |Nam sicut ignis tantum calefacit, 	con lo foch rant escalfa 	99
140	quantum potest calefacere, 	quant escalfarpot 	100
141|142	propter quod, |quia determinatus est in actione sua, 	perla q̈l cosa ell es determenat enla sua obra 	101
143|144	nec laudatur, |nec vituperatur, 	ne es lohat ne uituperat 	102
145	nec est in eo virtus moralis: 	ne es en ell uirtut moral Arimatexpartal con lapocencia digestuia 	103
146	sic quia potentia digestiua tantum digerit 	aytant fa digescio |quant digerir 	104|105
147	quantum potest digerere, et oculus tantum videt quantum potest videre, 	pot el ull tant ueu quant pot ueure en ellesno 	106
148	in eis virtus moralis esse non potest. 	pot esser uirtut moral/ 	107
149	Nam per virtutem moralem determinatur potentia ad agendum: 	Quar per la uirtut moral es dec̾iuenada la pocencia afer aobuir 	108
150	haec autem sufficienter determinantur ad actiones proprias per naturam: 	mas aquestes suffi/cientinent son dec̾menades ales obres propͥes 	109
151	non ergo indigent virtute morali. 	per lur natura/. Donques elles no hau ops uircut moral 	110
152	Si ergo nec in potentiis naturalibus, 	Si donques enles potencies nals 	111
153|154	nec in sensibus est virtus moralis, |cum praeter potentias naturales, 	ne enles sensitiues no es uirtut moral con sens les potencies nanls els seỹs corperals 	112
155|156	et sensus non sit nisi intellectus, |et appetitus intellectiuus, 	no sien sino lenteniment el appetiment o la uoluntat intellectual/ coue 	113
157|158	et sensitiuus, |oportet esse in talibus virtutes morales.	en tals potencies sien les uirtuts morals:	114
