28	restat ostendere quibus virtutibus Reges pollere debeant. 	restat ostendere quibus virtutibus Reges pollere debeant. 	28
29	Virtutes autem quaedam sunt quidam ornatus, 	Virtutes autem quaedam sunt quidam ornatus, 	29
30	et quaedam perfectiones animae. 	et quaedam perfectiones animae. 	30
31	Oportet ergo prius ostendere, 	Oportet ergo prius ostendere, 	31
32	quot sunt potentiae animae, 	quot sunt potentiae animae, 	32
33	et in quibus potentiis habent esse virtutes. 	et in quibus potentiis habent esse virtutes. 	33
34	Consequenter autem manifestabitur, 	Consequenter autem manifestabitur, 	34
35	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	35
36	quot sunt numero huiusmodi virtutes, 	quot sunt numero huiusmodi virtutes, 	36
37	et quae illarum sunt principales, 	et quae illarum sunt principales, 	37
38	et secundariae. 	et secundariae. 	38
39	Deinde autem declarabitur singulariter, 	Deinde autem declarabitur singulariter, 	39
40	quae sit unaquaeque illarum virtutum, 	quae sit unaquaeque illarum virtutum, 	40
41	et quomodo decet Reges, 	et quomodo decet Reges, 	41
42	et Principes tales virtutes habere. 	et Principes tales virtutes habere. 	42
43	Potentiae autem animae sic distingui possunt, 	Potentiae autem animae sic distingui possunt, 	43
44	quia potentiae animae quaedam sunt naturales, 	quia potentiae animae quaedam sunt naturales, 	44
45	quaedam cognitiuae sensitiuae, 	quaedam cognitiuae sensitiuae, 	45
46	quaedam appetitiuae, 	quaedam appetitiuae, 	46
47	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	47
48	ut potentia nutritiua, 	ut potentia nutritiua, 	48
49	augmentatiua, 	augmentatiua, 	49
50	generatiua, 	generatiua, 	50
51	et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, 	et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, 	51
52	gustus, auditus, et talia, 	gustus, auditus, et talia, 	52
53	in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	53
54	nam quidam appetitus est in homine, 	nam quidam appetitus est in homine, 	54
55	in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	55
56	quidam vero in quo communicat cum eis, 	quidam vero in quo communicat cum eis, 	56
57	ut appetitus sequens sensum. 	ut appetitus sequens sensum. 	57
58	Appetitus autem sequens sensum potest nominari sensualitas: 	Appetitus autem sequens sensum potest nominari sensualitas: 	58
59	sequens intellectum nominatur voluntas: 	sequens intellectum nominatur voluntas: 	59
60	secundum quem modum loquendi bruta habent sensualitatem, 	secundum quem modum loquendi bruta habent sensualitatem, 	60
61	et appetitum sensitiuum, 	et appetitum sensitiuum, 	61
62	sed non habent voluntatem, 	sed non habent voluntatem, 	62
63	et intellectum. Virtutes ergo, 	et intellectum. Virtutes ergo, 	63
64	de quibus loqui intendimus, 	de quibus loqui intendimus, 	64
65	quae sunt quidam habitus laudabiles, 	quae sunt quidam habitus laudabiles, 	65
66	vel erit in potentiis naturalibus, 	vel erit in potentiis naturalibus, 	66
67	vel in ipsis sensibus, 	vel in ipsis sensibus, 	67
68	vel in appetitu sensitiuo, 	vel in appetitu sensitiuo, 	68
69	vel in appetitu intellectiuo, 	vel in appetitu intellectiuo, 	69
70	vel in ipso intellectu, 	vel in ipso intellectu, 	70
71	vel in omnibus his, 	vel in omnibus his, 	71
72	vel in aliquibus horum. In potentiis autem naturalibus esse non possunt, 	vel in aliquibus horum. In potentiis autem naturalibus esse non possunt, 	72
73	quod tripliciter patet. Primo, 	quod tripliciter patet. Primo, 	73
74	quia ex naturalibus nec laudamur, 	quia ex naturalibus nec laudamur, 	74
75	nec vituperamur nullus enim dicitur bonus homo ex eo quod habeat digestiuam bonam, 	nec vituperamur nullus enim dicitur <pb n="45"/> bonus homo ex eo quod habeat digestiuam bonam, 	75
76	vel bonam augmentatiuam. Secundo, 	vel bonam augmentatiuam. Secundo, 	76
77	in talibus non habent esse virtutes: 	in talibus non habent esse virtutes: 	77
78	quia virtus est aliquid 	quia virtus est aliquid 	78
79	secundum rationem, 	secundum rationem, 	79
80	ut probari habet 2 Ethic’. Potentiae autem naturales 	ut probari habet 2 Ethic’. Potentiae autem naturales 	80
81|82	(secundum quod huiusmodi) |rationi non obediunt: 	(secundum quod huiusmodi) rationi non obediunt: 	81
83	nam siue quis ratiocinetur, 		
84|85	siue velit, |non propter hoc (per se loquendo) 	nam siue quis ratiocinetur, siue velit, non propter hoc (per se loquendo) 	82
86	potentiae naturales variantur in actibus suis, 	potentiae |naturales variantur in actibus suis, 	83|84
87	sed semper secundum modum sibi possibilem suas actiones efficiunt. Tertio, 	sed semper secundum modum sibi possibilem suas actiones efficiunt. Tertio, 	85
88	in talibus potentiis non sunt habitus, 	in talibus potentiis |non sunt habitus, et virtutes, 	86|87
89	et virtutes, 		
90	qui habitus sunt ad determinandum potentias, 	qui habitus sunt ad determinandum potentias, 	88
91	ut bene vel male agant, 	ut bene vel male agant, 	89
92|93	ut per habitus vitiosos determinatur potentia ad agendum male, |per virtuosos ad agendum bene: 	ut per habitus vitiosos determinatur potentia ad agendum male, per virtuosos ad agendum bene: 	90
94	cum ergo natura sit determinata ad unum, 	cum ergo natura sit determinata ad unum, 	91
95	et potentiae naturales sufficienter determinentur ad agendum, 	et potentiae naturales sufficienter determinentur ad agendum, 	92
96	ex natura sua secundum eas nec sumus vitiosi, 	ex natura sua secundum eas nec sumus vitiosi, 	93
97	nec virtuosi, 	nec virtuosi, 	94
98	ut hic de vitio, 	ut hic de vitio, 	95
99	et virtute loquimur: 	et virtute loquimur: 	96
100|101	quare in eis huiusmodi virtutes esse non possunt. |His ergo tribus rationibus, 	quare in eis huiusmodi virtutes esse non possunt. His ergo tribus rationibus, 	97
102	per quas probatum est virtutes non esse in potentiis naturalibus, 	per quas probatum est virtutes non esse in potentiis naturalibus, 	98
103	probari potest eas non esse in cognitione sensitiua, 	probari potest eas non esse in cognitione sensitiua, 	99
104	siue in potentiis sensitiuis. 	siue in potentiis sensitiuis. 	100
105	Nam sicut non laudamur, 	Nam sicut non laudamur, 	101
106	nec vituperamur ex potentiis naturalibus: 	nec vituperamur ex potentiis naturalibus: 	102
107	sic non laudamur, 	sic non laudamur, 	103
108	nec vituperamur ex sensibus. 	nec vituperamur ex sensibus. 	104
109	Nam sicut nullus laudatur tanquam bonus homo, 	Nam sicut nullus laudatur tanquam bonus homo, 	105
110	ex eo quod bene digerit, 	ex eo quod bene digerit, 	106
111	vel bene crescit: sic non laudatur ex eo quod acute videt, 	vel bene crescit: sic non laudatur ex eo quod acute videt, 	107
112	vel subtiliter audit, 	vel subtiliter audit, 	108
113	nisi forte hoc esset per accidens, 	nisi forte hoc esset per accidens, 	109
114	ut si quis ex superflua comestione, vel ex nimia potatione incurrisset ophthalmiam oculorum, 	ut si quis ex superflua comestione, |vel ex nimia potatione incurrisset ophthalmiam oculorum, 	110|111
115	ne bene videret, 	ne bene videret, 	112
116	vel debilitatem stomachi, 	vel debilitatem stomachi, 	113
117	ne bene digereret: 	ne bene digereret: 	114
118	increparetur ille, 	increparetur ille, 	115
119	non quia male digerit, 	non quia male digerit, 	116
120	vel quia non clare videt, 	vel quia non clare videt, quia clare videre, 	117
121	quia clare videre, et bene digerere 	et bene digerere 	118
122	(per se loquendo) 	(per se loquendo) 	119
123	non est in potestate hominis: 	non est in potestate hominis: 	120
124|125	sed increparetur ex nimio potu, |vel ex superfluo cibo, 	sed increparetur ex nimio potu, vel ex superfluo cibo, 	121
126	nam erat in potestate sua, 	nam erat in potestate sua, 	122
127|128	ut posset uti potu, |et cibo moderate. 	ut posset uti potu, et cibo moderate. 	123
129	Secundo in sensibus non est ponenda virtus moralis, 	Secundo in sensibus non est ponenda virtus moralis, 	124
130|131	quia sicut potentiae naturales non obediunt rationi, |quia secundum regulam rationis nullus magis, 	quia sicut potentiae naturales non obediunt rationi, quia secundum regulam rationis nullus magis, 	125
132	vel minus augetur, vel magis, et minus digerit: 	vel minus augetur, |vel magis, et minus digerit: 	126|127
133	sic nec sensus obediunt rationi, 	sic nec sensus obediunt rationi, 	128
134	non enim est in potestate hominis videre clarius, 	non enim est in potestate hominis videre clarius, 	129
135	vel minus clare: 	vel minus clare: 	130
136	quare si virtus moralis est aliquid 	quare si virtus moralis est aliquid 	131
137	secundum rationem, 	secundum rationem, 	132
138	huiusmodi virtus in sensibus poni non debet. 	huiusmodi virtus in sensibus poni non debet. Tertio in talibus non est moralis virtus, 	133
139	Tertio in talibus non est moralis virtus, quia sicut potentiae naturales sufficienter determinantur ad actiones suas per suam naturam: sic et sensus. 	quia sicut potentiae naturales sufficienter determinantur ad actiones suas per suam naturam: |sic et sensus. 	134|135
140	Nam sicut ignis tantum calefacit, 	Nam sicut ignis tantum calefacit, 	136
141	quantum potest calefacere, 	quantum potest calefacere, 	137
142	propter quod, 	propter quod, 	138
143	quia determinatus est in actione sua, 	quia determinatus est in actione sua, 	139
144	nec laudatur, 	nec laudatur, 	140
145	nec vituperatur, 	nec vituperatur, 	141
146	nec est in eo virtus moralis: 	nec est in eo virtus moralis: 	142
147	sic quia potentia digestiua tantum digerit quantum potest digerere, et oculus tantum videt quantum potest videre, 	sic quia potentia digestiua tantum digerit quantum potest digerere, |et oculus tantum videt quantum potest videre, 	143|144
148	in eis virtus moralis esse non potest. 	in eis virtus moralis esse non potest. 	145
149	Nam per virtutem moralem determinatur potentia ad agendum: 	Nam per virtutem moralem determinatur potentia ad agendum: 	146
150	haec autem sufficienter determinantur ad actiones proprias per naturam: 	haec autem sufficienter determinantur ad actiones proprias per naturam: 	147
151	non ergo indigent virtute morali. 	non ergo indigent virtute morali. 	148
152	Si ergo nec in potentiis naturalibus, 	Si ergo nec in potentiis naturalibus, 	149
153	nec in sensibus est virtus moralis, 	nec in sensibus est virtus moralis, 	150
154	cum praeter potentias naturales, 	cum praeter potentias naturales, 	151
155	et sensus non sit nisi intellectus, 	et sensus non sit nisi intellectus, 	152
156	et appetitus intellectiuus, et sensitiuus, 	et appetitus intellectiuus, et sensitiuus, 	153
157	oportet esse in talibus virtutes morales.	oportet esse in talibus virtutes morales.	154
