Romae_1607	Valencia_BH_Ms_0594	BNF_Lat_1234	Planck	Bevilaqua_1498	BNE_9236	Geneve_Ms_Lat_92	BNF_Lat_6477
sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus,  intellectiuus, 	set solum esse h̾nt in miłsctu.  In nobis autem duphocx enim appetitus naturalis 	In nonb autem duplex est appetitus intellectiuus 	sed solum esse habent in intellectu ⁊ appetiris ue In nobis autem duplex est appetitus. intellectiuus ⁊ 	in intellectu & appetitu. 	si solum essehunt inmallcum tappetitu. 	no-bis autem dupplex est appetitus scilicet intellectinus 	s solum esse habent in intlłuet appetitu.  In noƀ autem dup̽ en appetitur intllectiu᷒ 
et sensitiuus.  Nam sicut appetitus naturalis sequitur formam naturaliter adeptam,  sic appetitus cognitiuus sequitur formam per cognitionem apprehensam.  Sicut enim grauia,  ex eo quod habent formam grauis,  sequitur ea quaedam naturalis inclinatio,  et quidam appetitus naturalis, 	et cognituus.  Naturalis  ant sequitur formam  naturaliter.adeptam  sicut appetitus sensituius cognitius sequitur formam apprehensam Sicut enim grauia ex eo quem hoc̾nt formam grauis. Sequitur eaque dam natinalis indinacio  et quida appetitus naturalem 	et sensitiuus.  Nam sicut appetitus n᷑alem sequitur formnͣliter adeptam  sic appetitus cognitiuus seqͦ forͣm.  per cognitionen apphensam. sicunt .ni. grauiaex  eo quem habent forͣm grauis seqͣea quedam nalis inclinatio  et quidam appetitus nalis 	sensifiuns. Hamn sieur appetitus nacuralls sequitur formam naturaliter adeptam:  sie apperitus cognitiuus sequitur foraz  pẽt cognitionem apprehensam. Sicur eniz grauia ex eo.  ꝙ habent formam grauis:  fequitur ea qͣdam naturalĩs inclinatio ⁊ quidam appetitus naturalis 	In nobis autẽ duplex est appetitus. intele'ctiuus & sensitiuus.  Nã sicut appetĩtus natu'ralis sequitur formam naturalitet adeptam:  sic appetitus cognitiuus sequitur formã per cognitionẽ apprahensam. Sicut.n. grauia ex eo ꝙ hñt formam grauis:sequif ea quadam natoralis inclinatio &  quidã appetitus naturalis 	In uobis autem dupłt enim appetitus intellectuuꝰ  et sensitiuuᷤNam sic̾ appetitus uͣlis sequit form nͣ liter adeptam  sic appetitus cognituius seqr form per cognitionem app̃hensam Sicut .i. grauia ex eo quemhunt forͣm guis sequetur ea quedam nͣlem inclinatio  et quidam appetitus nͣlem 	et sensituius.  nam sicut appetitus naturalis sequitur formam appre,hensam per cognicionem  sicut em̃ grama ex eo quem habent formam grauem seguitur ea qued̃ naturalis inclinacio  et quid appe-titus natitralis 	et sensitiuus.  Nam si c̃ appetit᷒ naturalem seqtur formam naͣliter adeptam sic appetitus cognitium seqtur formam per cognitionez app̾hensam. Sic enim grauia ex eo quem habent formam grauis seqtur  ⟦ca⟧  quedam naturalem inclinatio.  et quemdan appetitus naturalem 
ut naturaliter desiderent esse deorsum:  sic habentia cognitionem prout habent in seipsis formam apprehensam,  sequitur quaedam inclinatio,  et quidam appetitus  secundum formam illam.  Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua:  sic etiam est in nobis duplex appetitus,  videlicet,  sensitiuus,  qui sequitur formam apprehensam per sensum:  et intellectiuus, 	utuaturaliter desiterant esse dorsum.  Sic hncia cognicioin  prout hocnt in se ip̃is formam app̾hensam.  sequitin quedam indinacio.  et quidam appetitus.scom formam illan propter quem sicut enui nb̃ dupłx cognicio sensitiua  et intsctiua sicut enim in nob̃.dupłx appetitus. indelicet sensitiuus  qui sequitur formam apprehensam per sensum intellectinis  qui sequiter formam apprehensam per 	ut naliter desiderant esse deorsum sichhnoncia cognitione  prout habent iner se ip̃is form app̃hensam seqͦ que dam indin atio  et quidam appetitus ẜm forͣm illam pp̃ qder sic enim in nobis duplex cognitio sensitina  et intllectiua sic enim in nob̃  dup᷑ appetitus uidelz  sensitiuus  qui seqͣ forͣm apphensam parsensunet intllectiuus 	ut naturaliper desiderẽt esse deorsuz  sic babentia cognitionem piout habent ln selpsis formam appiehensam sequitur quedammelinatio ⁊ quidam appetitus scd̾m formamillam:  propter quod sicur in nobis duplex estcoguitio sensitiia ⁊  intellectiua:sie  etiam est ĩnobis duplex appetitus yidelicet sensitiuus qsequitur formam  apprehensam per sensum:  ⁊ ĩtellectiuus 	ut naturaliter desiderẽt eẽ deorsũsic habentia  cognitionem  prout habent ĩ  seipsis formam apprahẽsam sequitur quaedãinclinatio &  quidã appetitus ẜm formam illamipropter  quod sicut in nobis duplex est cognitio lensitiua &  intellectiua:sicut ẽt estin nobis duplex appetitꝰ uidelicet sensitiuꝰ  qui sequit formã apprahẽsara pec sensum &  intellectus 	ut nͣ liter desiderent esse deorsum sic habentia cognitionem  prout habent inse ip̃is forͣm appbensam se quedam inclinatiotq̾dam appetitus ẜ forͣm illam pp̃ quem sic̾ est in nob̾ dupłx  cognitio sensitina et intellectia.  sic enim in nob̾ dͭ appetitus uidelicet  sensituius  quisequit form app̃hensam per sensum  et intellectiuus 	ut naturaliter desiderent esse deorsum sic humana cognostentia pro ut habent  in se ip̃is formain apprehensam sequitur qued niclinacio quid appetitus ss formam illam pp̃  quod sicut est in nobicz dupplex cognnicio sensitiua  et intellettiua Sic est in nobis dumplex appetitus sensituu  et intellectutus Sensitums  qui sequitur formam apprehensam per sensum  et intellectiuus 	ut naturaliter desiderent esse deorsum  sic ihabentia cognitionem.  prout habent in se ip̃is formam app̃hensam seqr᷑ quedam inclinatio  et ꝗdam appetitus s formam illam.  perper  quem sicut enim in noƀ dup̽ cognitio. sensitina et intllectiua.  sic enim in noƀ der 
qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est.  Nam cum animalia sint supra inanimata,  si natura elementis  et rebus inanimatis dedit duplicem potentiam,  unam per quam tendunt in propriam quietem,  et aliam per quam resistunt, 	indsctum.Appetitus autere sensitis dupłx enim Nam cum animalias sint supra in  animata.Si natura elementis  et rebus in ammatis dedit potenciam unam per quam tendunt in propriam quictem.  et aliam per quam resistunt 	qui seq forͣm app̃hensam per intllectum.  appetitur autem sensitimis duplex enim Nancum ałia sint supͣ in ainatam sinatura elis  et rebus in ainatis dedit duplicem potentiam Unam per quam tendum in propͥam quietem  et aliam per quam resistunt 	qui sequitur formami apprehensaz per intellectum: Alppetitus autem sensitiuus duplex est.  Nam cum anualia sint supra manimata si notura elementis ⁊ rebus  inanima.tis dedit duplicem potentiam unam per quãtendunt  in propriam quietem ⁊  aliam  per quã resistunt ⁊ 	qui sequit᷑ formã apprahẽsaz per intellectum. Appetitus autem sensitiuus duplex est.  Nam cum anĩmalia sint supra inanimata  si natura elemẽtis & rebꝰ inanimatis dedit duplicem potẽtiam unam per quãtẽdũt in proptiam quietem & 	qui sequit form app̃hensam per intllcm̃.  appetit aͥ sensituel dupł enim sam  cum alia suit supͣ inainata.  si nͣ ełis trebus mainatis dedit duplicem pom. unam per quemͣ tendunt in propͥanquietem  et aliam perquemͣ resistumt ragunt in probibentia 	qui sequitur formam apprehensam per intellectum ¶ Appetitus autem sensituius dupplex est.  nam  cum ainalia sint supra aianta sic natura calidis  et rebus inaiantis dedit duplicem potenciam unam per quam tendinit  in propriam  qui etem et aliam per quam resistunt 	appetitus.uidelz sensitium ꝗ seqtur formam app̾hensam per ssͫet intllectiuus ꝗ seqr᷑ formam app̾hensam per incłłm.appetitur a sensitium dup̽ enim Nam cum ałla sint suprainainata.  si nam ełis  et rebus inainatis dedit duplicem potenciam. unam per quemͣ tendunt in propiam ꝗetem  et alian per quemͣ resistumt 
et agunt in prohibentia, et in contraria:  multo magis hanc duplicem potentiam natura dedit ipsis animalibus,  quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus,  et leuis per leuitatem autem tendit in locum proprium,  et in quietem sibi conuenientem:  per caliditatem vero agit in contraria:  ne ergo ignis per quaecunque contraria agentia impediretur,  ne per leuitatem in proprio loco quiesceret,  dedit ei natura potentiam calefactiuam,  ut per eam resisteret, et ageret in contraria corruptiua. 	et agunt in prohibencia  et contraria multo magis h̾eat dupplicem potenciam.  et dedit ip̃iainalibus que sunt perfecciora illis.  Uidemus enon  quem ignis enim naturaliter calidus et leuis. per leuitatem autem tendit in locum proprium  et in quietem. igitu conuementem percaliditatem uero agit in contranasic eigo ignis per queciq contrana agentia inipediretur  ne per leuitatem in perprio lo:  co quiescere dedit ei natura potentiam calefactiuamait peream resisteret  et ageret icontraria corruptura. 	et agunt in prohibencia  et in contraria multomag̃ hanc duplicem potentianna dedit ip̃is ałibus  que sunt perfc̃ora illem uideꝰ .ni.  quem ignis ennaturaliter calidꝰ  et leuis per le uitatem autem tendit in locum apͥum  et inquietem sͥ ꝯuenientenpercaliditatem uero agit inqͣriane gͦ ignis per quecunq contraria agencia inpediretur  ne per leuitature in propͥo loco quiesc̾e poss dedit einata pom calestuiam  ut peream resistere̾t  etaget in qͣria corruptiua. 	agunt in prohibentia ⁊ incontraria multo magis hane duplicem potentiam  natu-ta dedit ipsis animalibus que sunt perfectio.  ra illis.  Cidemus enim ꝙ  ignis naturalirer ẽcalidus  et leuis per leuitatem aurem tendit ĩlocum proprium ⁊ in quietem sibi conuenientem:  per caliditatem uero agit in contratia: neergo iͥgnis per quecunq contraria agentia impediretur  ne per leuitatem in proprio loco quiesceret dedit ei natura potentiam calefactiuazut per eam resisteret ⁊  ageret in contraria cor-ruptiua. 	aliã per quãresistũt & agũt in prohibentia & incõtraria multomagis hanc duplicẽ potentiam natu'ra dedit ip̃is animalibus quae sunt perfectio ra illis. Uidemus.n.ꝙ  ignis naturaliter est calidus &  leuis:per leuitatem autẽ tendit in Iocum proprium & in quietẽ sibi conueniẽtem:  per caliditatẽ uero agit in contratia: neergo ĩgnis per quaecũq:  coniratia agẽtia impeditet᷑  ne per leuitatem in proprio loco qesceret dedĩt ei natura potentiam calefactiuãut per eam resisteret & ageret in cõtratia corruptiua. 	et in contraria.  młto mager henat duppoͣm nͣ dedit ip̃is ałibus que sunt perfconra illis. uidemus . n.  quem igers enim nonͣliter cilidꝰ et leuis.  per leuitatem a tendit in locun propͥum et in quietem s ꝯͥentem per caliditatem uero agit in qͣria.  Negͦ ignis per queo aqͣria agnontia inpediretur  ne per per leuitatem in propͥo loco  qui esce̾t dedit ei nͣ pom calefactiuam  ut per ean resistere̾t tagent in contrana corruptiua. 	et agunt inprohibencia  et in contraria.  multo magis hanc dupplitem potenciam natura dedit iparsis aianlibz  que sunt perfectiora illis.  Uidemus emin quem ignis qm est naturaliter calidus  et leuis per leiitatem emin tendit in locum propum et in quietem sibi conueinentem per caliditatem uero agit in contraria.  Ne ergo ignis per quecumqz agencia contraria impediatur qum perleuitatem  in proprio loco quiescere posset dedit ei natura potenciam calefactiuamut  per eam resisteret  et ageret in contraria coreupartiuia. 	et agunt in prohibentia et in ꝯiͣa.  młtomag̃ duplicen potenciam nam dedit ipins  ainalibus.que sunt perfectora aluis.  uidemus eͥ quem ignis enim nͣliter calidus et leuis. per leuitatem ant tendit in locunpropͥuz  et inꝗetem s̾ ꝯuciuentem per casitatem autemag in esseia.  ne gͦ ignis per quecunq ꝯina agentia inpediretur ne per leuitatem in propͥo loco qescem deditei  nam potentiam calefact̃iam.  ut per can resistent.  etagent in esseia coruptina. 
Si ergo igni,  et rebus inanimatis natura dedit duplicem potentiam,  unam per quam adipiscuntur propriam quietem,  et aliam per quam agunt in prohibentia et contraria:  multo magis hoc dedit animalibus. Tribuit ergo eis duplicem appetitum sensitiuum,  unum per quem prosequuntur propriam quietem, 	Si igitur igni et rebus in animatiᷤᷤnatura dedit duplicem potenclam.  Unam per quam adipiscuntur propriam  quietem.et aliam per quam agunt in prohibencia  et contraria  o.multo magis hoc dedit ainalibus tribuit ergo eis triplicem appetitum sensitiuum unun perquam prosequatur propriam quietem. et propriam delectaconnem. 	si gni igni  et rebus in ainatis nata dedit duplicem pomunam per quam adipiscuntur proprianquietem  et aliam per quam agunt in prohibencia  et ꝯtraria młto  mag̃ hoc dedit ałibus. tͥbuit gͦ eis duplicem appetitum sensitiuum  unum perquem prosequntur propͥam quietem 	Si ergo igni ⁊ rebus inanimaris nã-tura dedit dupłicem potentlam ynam ꝑ quaz adipiscuntur propriam quietem ⁊ aliam ꝑ quãagunt in prohibentia ⁊ cõtraria:  multomagisboc dedit auimalibus:  tribuit ergo eis duplirem appeticum sensit̾inum ynum per quẽ cosi sequitur propriam quietem ⁊ 	Si ergo igni & rebus inanimatis natatadedit tura dedit duplicem pocentiam unam perquam adipiscũtur propriam quietem :& aliam per quam agunt in prohibentia & con'tratia:  multomagis hoc dedit  animalibus:trĩbuit ergo eis duplicem appetitum sensitiuũunum  per quem cõsequitur propriam quietem &  propriam 	Si gni igni et rebus mainatis nͣ dedit duplicem poͣm. unam per quemͣ adipiscunt prop̾am quietem. etaliam  per quemͣ agunt in probibentia et contraria. młto mager hoc dedit ałibi. tͥbuit gͦ cis terͥplicem appetitum sensitium unum perquem̃ ꝯsequnt prop̾am quietem i propͥam 	Si igitur natura dedit igniet rebus Inaiatis  dupplicem potentia unaper quam adipiscuntur propriam quietem et aliam per quam aqunt in prohibencia  et contraria multo magis hoc dedit ainalibus Tribint ergo eis dupplicem appetitum sensituium unum per quem prosequuntur propriam quietem 	Si gni igni  et rebus in ainatis naͣ dedit duplicem potenciam. unam per quemͣ adipis ꝯtur prop̾am ꝗecem.  et aliam per quemͣ agunt in prohibenciaccina. meto magis hoc dedit ainalibus. tͥburt gni eistͣplicem appetitum sensitiuum  unum  per quem̃ proseqntur propͥim qetem 
et propriam delectationem,  ut concupiscibilem:  et alium per quem resistunt,  et aggrediuntur prohibitiua,  ut contraria,  ut irascibilem.  Ita quod concupiscibilis se habet sicut leuitas,  vel grauitas,  in leuibus,  et grauibus. Irascibilis vero se habet quasi caliditas,  vel frigiditas in eis.  Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente,  et tendunt in locum deorsum tanquam ad locum conuenientem, 	ut concupiscibile.  et alium per quam resistunt  et aggreduuntur prohibitiua  et contraria  ut irascibilem  ita quem concupiscibilis se hent.  Sicut leuitas uel grauitas in leubꝰet grauibus. Irascibilis uero:  se het  quasi caliditas et frigi ditas in cis.  Nam sic grauia per grauitatem recedunt a loco. Sursum tanquemͣ autem conueniente cedunt  in locum deorsuntanquam  ad locum contraentenet conformem per 	et propiam delctationem  ut concupiscibilem etalium per que resistumt  et aggrediuntur prohibitina  et contraria  ut irascibłem  ita quem contupisci ᷝ.  se hoc̃t sicutleuitas uel grauitas in leuibus et grauibus. irascibłis uerose habent qͣcaliditas  et frigiditas ineis. Nansicut grauia per grauitatem recedunt aloco sursum  tanquam a non ꝯueniente  et tendunt inlocum deorsuntanquam  ad locum ꝯuenientem 	propriam  delectationem:ut concupiscibilem ⁊ aliumn per quẽresistant ⁊ aggrediuntur prohibiriua ux con-traria  ut irascibilem.  Ita ꝙ concuplscibilis se habet sicur leuitas uel grauicas in leuibus et grauibus.  Irascibilis uero se habet  quasi caliaitas uel frigiditas in  eis:nam sicur grauia ꝑgrauitatem  recedunt  a loco sursum tanquama non conueniente:  ⁊  tendunt in locum deor sum tanquam ad locum conuenientem ⁊ 	delectationem:ut concupiscibilem &  alium per quem resistant & ag'grediuntur prohibitiua & contraria  ut  irascihilem.Ita ꝙ  concupiscibilis se habet sicut le:  uĩtas uel grauitas in leuibus & grauibus.Ira'scibilis uero se habet quasi caliditas uel frigiditas in  eis:nam sicut grauia per grauitatem recedunt  a loco sursum tanquam a non  conueniente:&  tendunt in locum deorsum tanquam ad locum conuenientem &	delectationem.ut concupisciłem  et alium perquem̃ resistumtetaggerdiunt perbitiua  et contrarina  ut uasci ᷝ  ͤita quem concupisci lem se ht sic̾ leuitas łgniuitaᷤ. in leuibus et grauibus.  Irasci uo se habent.quem. caliditas et frigiditas lei. slam sicut grauia psgrauitatem recedunt aloco sursum tanquemͣ a non ꝯ̾ente  et tendunt in locum de orsum tanquemͣ ad locum ꝯͥ eutem et ꝯfor̃em. per frigiditatem uoresistumt contrariis ne coriunpant a propia nͣ et deẜant propia loca 	et propriam delectationem  ut concupiscencionalem  Et alium per quem resistunt  et aggreduuntur prohibentia con-traria  ut irascibilem  Ita quem concupiscibłisse habent sicut grauitas  et leuitas in grauibz  et lembus.  Trascibilis se habent  sicut caliditas et frigiditas in eis.  Nam sicut grama per graintatem desi recedunt aloco sursum tumquemͣ a non conueniente  et tendunt in locundeorsum tamquemͣ in locum sibi conuemientem 	et propiam delecrationem  ut xupiscibilenet  alium perque resistumt  et aggerdiuntur prohintum  concontraria.ut irascibilem ita quem ocupiscibilem se habent sicutleuitas.  uel grauitas in leuibs et grauibus. irascibit noͣ se hoct  quemi casitas  et frintas in eis. Nansicut grauia per grauitatem reced̃t aloco fursum t̃ qͣa non gniente.  et tendunt in locum deorsuz. tamquemͣ ad locum cͥenter 
et conformem:  per frigiditatem vero resistunt contrariis, 	frigtoitatez.uo restituunt contrariis 	et conformem per frigiditatem uero resistumt contrariis 	conformem:per frigiditatem uero resistunt con-trarnsne corrumpantur a propria natura 	confor'mem:per frigiditatem uero resistunt contrariis 		et conformem per frigiditatem uero re- sistunt contrariis 	et ꝯformem perfr̃itatem noͣ resistumt ꝯusne corunpantur 
ne corrumpantur a propria natura,  et deserant propria loca, 	ne corrumpantu apropria natina  et deserant ppria loca 	ne corrunpantur a propianͣ  et deserant propia loca 	et deseruit propria loca ⁊ propriam quierem. Sic atimalis per concupsscibilem fuguunt mala tristia 	ne corrumpantur a proprĩa natura & de seruĩt proprĩa loca & propriam quietẽ. 		ne corrumpantur a propria natura  et deserant propria loca 	et propia nam et deẜant propia loca. 
et propriam quietem.  Sic animalia per concupiscibilem fugiunt mala tristia, 	et propriam quietem.  Sic et aminalia per concupiscibilem fugiunt mala tristia. 	et proprianquietem sic alia per concupisci ͤ fugiunt mala tͥsticia et parsequenontur 	⁊prosequumtur bona delectabilia. 	Sic animalia per concupiscibilem fugiunt 	et propiam quietem sic alia per concupisci ͥ ͤ fugiunt mala terstia et prosequnt hona delcanbłia. 	et propriam q inetem dic ainalia per concupi-scibilem fugunt  mala tristia 	etppanqetem.  sic ualia per ocupiscibilem fugiunt malaterstia. 
et prosequuntur bona delectabilia. Per irascibilem vero aggrediuntur contraria,  quae possent ea ab huiusmodi delectationibus prohibere.  Ut Leo per concupiscibilem pergit, 	et prosequntur bona delectabilia.  per irascibilem ue maggrediuntur coutraria que possent ea ab hius delctacioens prohibere. ut leo per concupiscibilem pergit 	bona delectabłia  per irascibilemuero agrediuntur contraria que possentea abhius delectatioibus prohib̾eut leo per concupistibłem 	Per ĩrascibilem pero aggrediuntur contraria que possent ea ab huiusmodi delecrationibus  prohibere:ut leo per concupiscibilez 	ma'la tristitia & prosequuntur bona delectabi'lia.  Per irascibilẽ uero agrediũt᷑ cõtraria quapossent ea ab eiusmõ delectationibus  prohibere:ut leo per concupiscibilem pergit 	per irasci ᷝ ͤ uero aggerdiuntur qͣtia que possent enam ab hius delcantionibus probibere.  ut leo perconcupisci ͤͬ pergit 	et prosequuntur bona delectabilia.  per irascibilem uero aggredumtur contraria que possent ab  hinius.de lectabilibz prohibere.  ut leo per concupi-scibilem pergit 	et prosequntur bona delectabilia. pirascibilenuon aggdiuntur ecͣia que possent ea ab bius delectatioibus prohibem ut leo perconcupiscibilem pergit 
ut prosequatur cibum  tanquam quid delectabile:  per irascibilem vero aggreditur animalia illa volentia ipsum prohibere in cibo adepto.  Propter quod bene dictum est,  quod concupiscibilis respicit bonum,  et malum  secundum se:  irascibilis vero respicit bonum,  et malum inquantum habent rationem difficilis,  et ardui. Nam cum bonum  secundum se dicat prosequendum,  malum vero quid fugiendum:  concupiscibilis,  quae secundum se tendit in quietem  et in bona delectabilia, 	ut  prosequater.cibum tanquam aliquid delet tabile per irabilem uero aggreditur animalia uolencia ipsum prohibe acibo adepto:  propter qd̃ benedictum enim quem concipiscibilis respericit bonum etmalum scd̃m se. Irascioiliuero respicit bonun  et malran inquantum hocnt ronnem difficilis etardiu.  Nam cum bonum scdm sedicat  quid prose quendunmalum uero quid fugiendum concupiscipils ouider. Scd̃ruse tendit inquietem  et in bonon delectabilia. 	pergit  ut prosequatur cibum tanquam aliquid delectabłe per irascibłem uero aggreditur ałia uolencia ip̃m prohib̃e in cibo adepto pp̃ qd̃ bnon dictum est quem concupiscibłis respicit bonum  et malum. Sconm se irascibłis uero respicit bonun et malum In quam habent ronnem difficilem  et ardui.  Nam cum bonum scd̃m se dicatquem parsequendum malum uero  quem fugiendum concupisci ͭ.  que ẜm se tend in quietem  et inbonadelectabłia 	pergir ut prosequatur cibum tanquam  quid delectabileper irascibilem yero aggreditur  ammalia illa yolentia ĩpsum prohibere in cibo adepto propter  quod bene dictum est ꝙ concupiscibilis respicit bonum ⁊  malum sed̾i se:  Irascibilis  re-to respicit bonum ⁊  tualum  inquantum habẽtrationem difficilis ⁊ arduĩ:  nam eum bonumscdm se dicat prosequendum malum rero qđfugiendum. 	ut ꝓsequat᷑ cibũ  tanquam quid delectabile.Perĩrascibilem uero aggreditur anĩmalia illa uolentia ĩpsum prohibere in cibo adepto propter ꝙ  bene dictum est ꝙ concupiscibilis respicit bonum &  malum  secundum se.Irascĩbilis uero respicit bonum & malum inquantum habent rationem difficilis &  ardui:nazcum bonum  secundum se dicat  prosequen'dum:malum uero quid  fugiendum.Concupiscibilis  qua secundum se tendit in quietẽ & in bona delectabilia: 	ut proseqͣtur cibum tanquemodo ad delcanbłe. per irasciblemuero aggerditur ałla uolentia ip̃m prohibe in cibo adep̃to. pp̃quem bnon dm̃ enim quem concupis lem respericit bonum  et malum ẜ se. Irasci lem uo respic̾bonum  et malum in quam habent iem difficilem  etardui.  Nam cum bonum ẜ sedicat  quemͥ parseqnonder.malum uero quemͥ fugiendum concupi que ẜ se tendit in quietem  et in bona delcanbłia 	ut prosequatur cibum tanquem̃aliquid delectabile. per nrascibilem aggreditur ainalia uolencia ipsum prohibere acilr adepto  Et quem hec uirtus sit data ainmalibus signum potest  adduci  quem sensin se offert continue.  nam canes cum inueumt a limentum non cessant  donec posuerint Inocculto  et hoc facunt  ut elongentur ab ob-staculo. pp̃  quod bene dictum est  quem concupistibilis respicit bonum  et malum ssz  se dia- scibilis uero respicit bonum  et malum inquemͣtum habent ronnem difficilis  et ardui.  nam cunbonimi ssz  se dicat  quid prosequendum ma-lum uero  quid fugiendum,  concupisciblisss se tendit in quuietem  et in bona delecta-bilia 	ut prosenqͣtur cibumi tamq id delectabile.  per irascibilen uon agniditur u̾alia nolentia ip̃m prohibem incibo adepto.  perper q. bnon denm enim q xupiscibilem respic̃ bonum  et malunẜm se. Irascibilem uon respic̃ bonum  et malum in quemodo.habent roem difficilem  et ardui.  Nam cun bonum ẜm sedicat  qui proscquender.  malum uon qd fugiendum concupiscibit que ẜm  se tendit in qetem  et in bona delectabilia. 
et fugit mala tristia,  pro obiecto habet mala, 	et fugit mala tristia.  pro obiecto hocet bona 	et fugit mala tͥstia pro obiectohbona 	Concupiscibilis que scdm se ten-dit in quierem ⁊ in bona delectabilia : 	& fugit mala tristi'tia pro obiecto habet mala & bona sensibi'lia secundum se considerata.lrascibilis uero secundũ 	et fugit mala tͥstia proobo habent bona et mala sen sibłis ẜ seꝯnderata. Irascilem uo ẜ 	et fugit mala tristia.  pro obiectoemm hoct bona 	et fug mala tͥ̾stia.  pro obo bt̃ boam 
et bona sensibilia  secundum se considerata. Irascibilis vero,  secundum quam aggredimur, et resistimus prohibentibus,  et nociuis,  tendit in bona, et mala sensibilia,  non secundum se considerata,  sed ut habent rationem ardui, et difficilis:  nam arduitas,  et difficultas potissime sunt repugnantia,  et prohibentia,  ne possimus consequi bonum,  et vitare malum.  Imperfecto ergo egisset natura,  si dedisset animalibus concupiscibilem,  per quam vitarent mala,  et prosequerentur bona,  nisi dedisset eis irascibilem,  per quam aggrederentur impedientia delectationem illam: 	et mala sensibilia scdm sei considata. Irascibilis uerdscd̃m quam aggredimur.  et resistimus prohibentibus.  et nocuiis  et tenditu tona  et mala sensibilia.  non sconm seconsidata. Set ut hntranenardui et difficilis. Ram ex diutas  et difficultas potissime sunt repugnantia.  et prohibencia  ne possimus  conseq.bonum et uitare malum.  Imperfecte ergo regissed naturassidedisset animalibus concupiscipilem per quam uitarent mala  et pro seꝗrentur bona łnisi  dedisset eis irascibilem  per quam aggredm̃tur mmpediencia delectacionem illam Ut: 	et mala sensibłia scd̃ seconsiderata. Irascibłis suo scd quemͣaggredimur  et resistimus prohibentibus  et nociuis  et tendit in bona  et mala sensibłia non scd̃m se considerata s  ut habent rationem ardui  et difficilem  Nam arduitas  et diẜficiłitas potissime st̃ repungnancia  et prohibencia  ne possimus  conse-qui bonum  et uitare malsi.  Imperfcem gͦ regisset natura si dedissetałibus concupiscibłem  per quam uitarent mala  et parsequerentur bona nisi dedisset eis irascibilen perquam aggerdirentur inpediencia delectationem illam 	⁊ fugit mala tristia pro obiecto habet mala ⁊ bona se¬sibilia scd̾m se considerata. Irascibills rero se eundum  quam aggredumur ⁊ resistimus prohibentibus ⁊ nociuis:  tendit in bona ⁊  mala sensibilia  non scd̃in se considerata  sed ut habẽt rationem ardui ⁊ difficilis:  nam arduiras ⁊ difficulras potissime sunt repugnantia ⁊ prohibẽ. tia ne possimus consequi bonum ⁊ uitare ma.lum. Impersecte ergo egisser natura si dedis-ser animalibus concupiscibilem  per quam  ui-tarent mala ⁊ prosequerentur bona:  nisi dedis-set eis irascibilem per quam agrederentur impedientia delectationem illam: 	quã aggredimur & resistimus  ꝓhi'bẽtibus & nociuis :  tendit in bona & malasensibilia nõ em se  considerata:led ut habẽtrõnem arduĩ &  difficilis:nã arduitas &  difficultas potissime sunt repugnantia & ꝓhibẽtia  ne possimus consequi bonũ & uitare malum.  limperfecte ergo egisset natura li dedisset animalibus concupiscibilem  per quã uitaret mala & prosequerent᷑ bonai  nisi dedisset eis ĩrascibilẽ per quam aggrederentut impedientia delectationem 	quemͣ agger dimus et resistimus probibentibus  et uociuis tendit in bona et mala sensi ͥꝰ  non ẜ se ꝯuiderata  si ut bnont ronem ardui  et difficilem Nanarduitas  et difficłtas potissime sunt repugntia  et prohuntia ne possimus ꝯsequi bonum  et uitar̾e li malum imperfcem  gni egissi  nͣ si dedisset alibus concupisci ᷝ ͤͤ per quemͣ uitarent niala et prosequerent bona. 	et mala sy se considerata Irascibilis uero sens quem aggre dimur  et resistimr prohibentibz et nocuns tendit in bona  et in mala non ss se considerata sed ut habent ronnem ardin  et difficilis  nam arduitas  et difficultas potissime sunt repugnancia et prohibentia  ne possimet consequr bonim  et uitare nalum.  Imperfecte ergo fecisset natura  si dedisset ainalibz  concu-piscibilem per quam uitarent mala  et prosequerentur bona insi dedisset eis nrascibilenper quam aggrederentur impedientia delectacionem illam 	et mala sensibilia ẜm se ꝯsciderata. Irascibilem uon smn quemͣaggerdimur  et restimus prohibentibus  et nocuus cendit inbona  et mala sensibilia non ẜm se ꝯsciderrata. s  ut ibnont roner ardu condifficit.  Nam arduitas  etdifficultas potissime sunt repugnantia etperibentiusne possimus ꝯseq bonum  et uirare malum Imperfrengͦ regisset  nam  si dedisset  ainalibus xupiscibilem perquemͣ uitarent mala  et prosequerentur bona.  nisi dedisset aeis irascibilem per quemͣ aggdirentur impedientia deloctationem illam 
