Rome_W_3_3_23.txt,cat_3_3_22.txt,Val_S_3_3_23.txt,trevisa_3_3_23_norm.txt,gauchy_3_3_22.txt
quibus in nauibus nihil periculosius esse potest,de les quals quax neguna cosa no pot ésser més perillosa en les naus,e ninguna cosa non puede ser mas periglosa en las naues,and cliftes and no kyng mowe be more perilous than that,et aucunes fendures perilleuses
,,,And it is hard,
,,que estas aberturas,,
Durum est enim intendere simul bellis naualibus et exponere se periculis,quar dura cosa és ensems entendre a les batayles navals e posar se a perills,porque graue cosa es de tener mientes a estas dos cosas en vno a la batalla de las naues e al periglo de las aberturas,to tathe hede at ones to batailles of schippes and to putte hemself,pour quoy ce seroit grant follie de soy mettre sur mer par battaille en teles nefz ou gallees faites de vert mairien
ne puppis per rimas naufragium patiatur,que la nau no sutenga naufrayg o perill per les fenadures,por las quales la naua puede peresçer,to peril lest the schippe be brothe other sonk,lesqueles peuent de legier pourrir come dit est
Viso qualiter incidenda sunt ligna,Vist en qual manera los fusts deuen ésser taylats e,· visto en qual manera es de taiar la madera,For it is iknowe how schip tymber schulde be feld,
et quomodo reseruanda ut ex eis nauis debite valeat fabricari,·n qual manera degen ésser estogyats per tal que d' els nau pusca ésser feta degudament,e en qual manera es de guardar e de poner a secar por que della se pueda fazer la naue conueniblemente,and be let abyde for to dryge and clynge for to mathe wel a schip therof,Maintenant nous dirons comment se doit combatre sur eaue en nefz
,,· finca de veer commo son de acometer las batallas en la naue bien fecha,,
restat videre quomodoin naui bene fabricata committenda sunt bella,roman a veure en qual manera en nau ben feta degen ésser fetes batayles,e bien formada,it is to wetynge how in a schip so imaad a bataille scholde be geue,et gallees Si est a sçavoir
Habet autem nauale bellum quantum ad aliqua similem modum bellandi,La batayla naval quant a algunes coses,ca la batalla de las naues a semeiança de lidiar en algunas cosas con la batalla de la tierra,And touchynge som doynge a bataille of schippes hath som manere doynge liehe,que tout ainsi come en battaille auz champz
cum ipsa pugna terrestri,a semblant manera de bataylar ab la batayla de la terra cové que,Ca assi commo en la batalla de la tierra,to manere doynge of bataille of the feld,
Nam sicut terrestri pugna oportet pugnantes bene armatos esse,·ls batayladors sien bé armats encara,· conuiene que los lidiadores sean bien armados,For as in bataille of the feld it nedeth that figtynge men be wel iarmed,il couvient les bateilleurs bien estre armez
,,e avn,,
et bene se scire a persecutionibus protegere,que sàpien bé defendre si mateys del colps,que se sepan bien cobrir e guardar de los colpes,and cunne wel defende hemself fro strothes,et bien eulz sçavoir couvrir
et hostibus vulnera infligere,e naffrar los enamichs,e que sepan ferir a los enemigos,and geuen enemyes sore strothes,et ferir leurs ennemis
sic et haec requiruntur in bello nauali,axí matex aquestes coses són requestes en batayla naval,· Bien assi todas estas cosas fazen menester en la batalla de la naue,and woundes and so this nedeth in bataille of the see,Pareillement couvient il a ceux qui se combatent sur mer
,,,And,
,,· Ante conuiene,,
Immo in huiusmodi pugna oportet homines melius esse armatos quam in terrestri,ans en tal batayla cové que ·ls hòmens sien meylor armats que en terra,que en esta batalla de la naue sean los omnes · meior armados que en la de la tierra,also in suche figtynge it nedede that men be betere iarmed than in figtynge in londe,et est a sçavoir
quia cum pugnatores marini quasi fixi stent in naui et quasi modicum se moueant melius sustinere possunt armorum pondera,quar com los batayladors de la mar estiguen quax fermats e poch se moguen meylor poden sustenir lo pes de les armes,por que los lidiadores de la mar esten firmes e mueuen se muy poco · Et por ende meior pueden sofrir el peso de las armas,Panne for men that figten in the see stondeth as it were ipigt and meuen but a lite thei mowe the better bere heuy armer,que X choses sont par lesqueles ceulz quy se combatent sur mer assaillent
quare eorum armatura grauior esse debet Possumus tamen,perquè lur armadura deu ésser pus fort Emperò,·Por la qual cosa las armaduras dellos deuen ser mas pesadas,wherfore here ärmere scholde be the more heuy But as it longeth,et envahïssent leurs ennemis
quantum ad praesens decem enumerare per quae marini pugnatores hostes impugnare debent,quant al present nós podem nombrar x coses per les quals los batayladors mariners deuen impugnar los enamichs,· Enpero quanro pertenesçe a lo presente podemos contar diez cosas por las quales los lidiadores de la mar pueden acometer,to this doynge we may rethene ten by the whiche see figtynge men scholde assaylle here enemyes,La premiere si est qu' ilz aient moult de vaisseauz plains de poy noire
,,e vençer a sus enemigos,,
Primum est ignis quem Incendiarium vocant,La primera cosa és foch lo qual appel ·len incendiari o encenador,· Lo primero es fuego fuerte que ellos llaman en ençendimiento o fuego de alquitran,the firste is fuyre that is icleped incendiarius,de poy gaune
,,ca conuine de auer en las naues mucha usija de tierra,,
,,assi commo cantaros,,
Expedit enim eis habere multa vasa plena pice,quar cové haver moltes olles plenes de pegunta,e otros belhezos tales e que sean llenos de pez,For it scholde haue wik hem manye vesselles ful of pich,
sulphure,de soffre,e de piedra sufre,of brymston,de souffre
rasina,de rasina,e de rasina,of roseyn,
oleo quae omnia sunt cum stupa conuoluenda Haec enim vasa sic repleta sunt succendenda,e d' oli les quals coses totes deuen ésser mesclades ab estopa e aquestes olles axí plenes deuen ésser enceses,e de olio · las quales cosas todas son de enboluer con estopa · Et estos belhezos tales assi llenos son de ençender,of oyle and aile thes scholde be wrapped wik herdene And these vesselles so ful scholde be isette afuyre,et d' huille envollepez d' estoupes desqueles mixtions ainsi embrasee on doit gecter es nefz
et proiicienda ad nauem hostium,e gitades a la nau dels enamichs,e de lançar a las naues de los enemigos,and ithrowe in to the schippe of enemyes,et vaisseaulz de ses ennemis en potz de terre
,,· Et lançandolos,,
Ex qua proiectione vas frangitur,per lo qual gitament la olla és trencada,assi en las naues quebrantan se los cantaros,And the vessel brethe,Et quant ces vaisseaulz de terre se brisent au gecter
et illud incendiarium comburitur,e aquell encendiari crema,e aquel fuego fuerte ençiende,and sette afuyre the mater of the brennynge,ilz allument les nefz
et succendit nauem,e encén la nau,e quema la naue,and setteth the schip afuyre,esquelez ilz chieuent
Sunt enim multa talia in naui proiicienda,E deuen ésser gitades moltes aytals en la nau,· Et deuen echar muchos tales cantaros en la naue de los enemigos,And manye suche scholde be throwe in to the schip,et a l' heure
ut ex multis partibus possit nauis succendi,per ço que de moltes parts la nau pusca ésser encesa,por que de muchas partes se pueda quemar la naue,for to sette the schip afuyre in manye places,que on gecte ce feu par ceste maniere
et cum proiiciuntur talia,e com aytals són gitades lavors deu ésser feta gran,· Et,And whanne suche thingges ben ithrowe it is,
tunc est contra nautas committendum durum bellum,e fort batayla contra les nauxes per tal,entonçe deuen acometer muy fuerte batalla contra los enemigos,to doynge for to figte harde,on doit asprement assaillir les ennemis adfin
ne possint currere ad extinguendum ignem,que no pusca ajudar apagar lo foch En aprés fet,por que se non puedan acorrer para matar el fuego,and sore wik the schip men so that thei mowe not a while quenche the fuyre,que ilz n' aient espace de estaindre le feu
Secundo ad committendum marinum bellum multum valent insidiae,batayla de mar valen molt espies quar,· Lo segundo para acometer batalla en la mar valen mucho las çeladas,the seconde buschements helpeth moche in batailles of the see,qu' on leur gecte en leurs navires La seconde raison
Nam sicut in terra ponuntur insidiae militum,axí com en terra són posades espies de cavallers qui,ca assi commo en la tierra los caualleros ponen çeladas a los enemigos,For as in the lond ben isette boschementes of knygtes that fallen,si est car on doit avoir aucunes espies pour guettier
,sens previsió de lurs enamichs o sens,,,
qui ex improuiso inuadentes hostes,que lurs enamichs no se' n guarden esvaexen,por que sin su apercebimiento los puedan acometer,and resen on enemyes vnwaar,quant les ennemis sont despourveuz
eos terrent,e espaordexen ell,e los espanten a desora,and affrayen hem,La tierce chose
et de facili vincunt sic in mari post aliquas insulas fiunt insidiae,e leugerament vençen axí en la mar aprés d' algunes illes,e los venzcan de ligero assi en la mar se ponen çeladas en pos algunas islas,and ouercomen hem sone so in the see byhynde som ilondes ben imaad boschementes so that the figtynge men brethen out,si est car ceulz quy se combatent en eaue doivent tous jours mettre a leur pouor eulz en la parfonde eaue
,són fetes espies,,,
,per tal que,,,
ut marini pugnatores ex improuiso irruentes in hostes eos facilius vincant,·ls batayladors mariners sens previsió dels enamichs vinent soptosament sobre ells,assi que los lidiadores de la mar sin apercibimiento de sus enemigos den sobre ellos a desora por que mas ligeramente los venzcan,and fallen on enemyes vnwaar and ouercome hem the sonnere,et les vaisseaulz de leurs ennemis mener a terre devers le rivage
,pus leugerament los vençen,,,
Tertio est circa marinum bellum attendendum,Encara envers la batayla de la mar deu hom guardar,· lo terçero en la batalla de la mar conuiene de tener mientes que,the thridde in bataille of the see it is,La quarte chose
ut semper pugnantes nauem suam faciant circa profundum aquarum,que aquells qui bataylen tostemps facen la nau sua envers lo pregon de les aygües,los que lidian sobre mar sienpre pongan su naue a la fondeza de las agüso en la mar mas alta,to doynge that they that sayllen haue alwey here schip in deep water,si est car au mast de la nef on doit liier le tref quy est ferré d' une partie
et nauem hostium impingant ad littus,e que enpenguen la nau dels enamichs a la rivera,e que enpuxen la naue de los enemigos faza la ribera,and dryue the schip of enemyes to the clyfward,et de l' autre
,,por razon,,
quia pugnandi impetum perdunt qui detrahuntur ad terram,per tal com aquells qui són tyrats a terra perden la voluntat de bataylar,que pierden el poder de lidar aquel los que se lleguan a la tierra,for they that ben idrawe to lond lesen the rees of asayllynge,par quoy on puelt ferir la nef et les maronniers;
Quarto ad arborem nauis suspendendum est lignum quoddam longum ex utraque parte ferratum,Encara més en l' arbre de la nau deu ésser pengyat i fust lonch,· Lo quarto conuiene de colgar al maste de la naue vn madero luengo e ferrado de a mas partes,the ferthe to the mast of the schip scholde be honged a long tree iheled wik ire in eyther ende,
quod ad percutiendum tam nauem quam nautas se habeat quasi aries cum quo teruntur muri ciuitatis obsessae,ferrat de quescuna part a ferir en la nau e aquells de la nau lo qual fust sia axí com lo moltó ab lo qual són trencats los murs de la ciutat assetgyada,para ferir tan bien en la naue commo en los marineros que sea tal commo el carnero con el qual suelen quebrar los muros de la çibdat çercada,for to smyte bothe schip and schip men as the instrument that hatte the wether smytek the walles of a cyte that is byseged,et est cil ainsi comme le mouton dessu dit de quoy on brise les murs des chasteaulz assis
Debet autem sic ordinari lignum illud ut ligamentum retinens ipsum possit deprimi,e aquells fus deu ésser axí ordonat que la ligatura que ell té pusca ésser baxada,· Et deue este madero assi ser ordenado que con el atadura que el tiene se pueda alçar,And that tre scholde be ordeyned in this wise so that the bond that holdeth it may be meued vpward,Et doit on ce fust liier en tele maniere que on le puist abaissier
et eleuari,e levada quar,e baxar,and dounward,et lever
quia hoc facto maior habetur commoditas,fet açò és major avientena,ca esto echo siguiesse meior prouecho del,and so is the more avantage,quant on veult pour ferir la nef ennemie
ut cum ipso percuti possit tam nauis quam etiam existentes in ipsa,que ab ell pusca ésser ferida axí la nau com aquells qui stan en ella,ca pueden ferir tan bien en la naue commo en los que estan en ella,for to smyte thenvith bothe the schippe and men that ben therinne,et ceux qui sont dedens
,,assi commo con garrocha,,
Quinto in bello nauali habenda est copia ampliarum sagittarum,Encara en batayla naval deu hom haver còpia de sagites amples,Lo quinto en la batalla de la mar conuiene de auer grand conplimiento de saetas anchas,the fifte in bataille of schippes scholde be many brood arwes,La quinte chose si est car on doit avoir moult de saiettes a larges fers pour perchier les voilles;
,,· con las quales se pueden ronper las uelas,,
cum quibus scindenda sunt vela hostium Nam velis eorum perforatis,ab les quals deuen ésser taylades les veles dels enamichs quar foradades les veles d' aquells,e los treos de las naues de los enemigos ca foradadas las velas,for to therue the sailles of enemyes and mathe therinne many greet holes and col slettes For whanne in the sailles ben many holes,car quant les voilles des adversaires sont perchés
et non valentibus retinere ventum,e que no poden retenir los enamichs,e los treos non pueden retener el viento,and slittes and mowe not holde wynd,ilz ne peuent tenir grant vent
,,· Et,,
non tantum possunt ipsi hostes impetum habere pugnandi,no poden haver tanta voluntat o tant gran poder de bataylar,assi non pueden los enemigos auer tanta fuerça para acometer,than the enemyes mowe not holde ful cours,par quoy les ennemis ne s' en peuent pas
,,nin para lidiar,,
nec etiam possunt sic faciliter recedere si volunt declinare a bello,ne encara poden axí leugerament partir si ·s volen tolre de bataylar,nin a vn se pueden yr ligeramente ni pueden foyr si quisiere foyr de la batalla,for to smyte nother mow sone flee gif they wol wikdrawe out of the bataille,si legierement fuir et eulz saulver
,,,the sixte,
Sexto consueuerunt nautae habere ferrum quoddam curuatum ad modum falcis bene incidens,En après aquells de la nau han acustumat haver i ferre corp a manera de falç ben taylant,· Et lo sexto suelen los marineros auer vn fierro coruo bien agudo e bien taiante a manera de foz,schip men vse to haue a crothed ire as it were an hook ful scharp,La VIe chose si est car les mariniers doivent avoir un fer courbé
,,,and theruyng,
quod applicatum ad funes retinentes vela,lo qual acostat a les cordes qui retenen les veles,· el qual echan a las cuerdas del maste que tienen la uela,and therueth thenvith anoon ropes that holdeth the sailles,ainsi comme une fauchille bien trenchant
,,e tirado faza,,
statim incidit ipsa,,assi cortan las cuerdas,And,que ilz gectent auz cordez
Velis autem sic incisis,de continent tayla elles e,e caen las velas Et quando son,whan the sayles ben so ithet,qui tiennet auz voilles des nefz
et cadentibus ab arbore subtrahitur ab hostibus ne sic pugnare possint,cahent del arbre és tolt als enamichs que no poden axí bataylar,assi cortas las velas del maste e derribadas non han poder los marineros de se defender de los enemigos,and the maste ben ifalle me wikdrawen fro the enemyes so that thei mowe not figte,et les coppent par quoi les voilles chieuent si n' est pas la nef
quia per talem incisionem velorum redditur nauis pigrior,quar per tal trencament de les veles és retuda la nau pus porosa,Ca derribadas assi las velas la naue es mas perezosa,For by suche kyttynge of saylles and of ropes the schip is the more slow,
,,e non puede yr,,
et quodammodo inutilior ad pugnandum,e en alguna manera no val res a bataylar,por la mar nin ha poder de lidiar,and the lasse mygty to figte,si convenable a batteillier
,,,the seuenthe,
,,· lo,,
Septimo consueuerunt e iam nautae habere uncos ferreos fortes ut cum vident se esse plures hostibus cum illis uncis capiunt eorum naues ut non permittant eos discedere,Encara les nauxes han acustumat de haver corbeylons de ferre forts perquè com ells vehen que són més que ·ls enamichs ab aquells corbeylons o ab aquells ganxos partien les naus d' els e no ·ls lexen anar,·vij° · suelen avn los marineros auer coruos de fierro muy fuertes e quando veen que son mas que los enemigos con aquellos coruos prenden las naues dellos et non los dexan foyr,schip men vsen to haue strong yren crothes that thei mowe whanne they ben among enemyes wik thilthe crothes tathe here schippes that thei mowe not passe awey theig thei wolde,La VIIe chose si est que les mariniers seulent avoir aucunes fers courbés desquelz ilz acrochoient les nefz de leurs ennemis qu' ilz ne peussent fuir
,,· Lo,,
Octauo in nauali bello est haec cautela attendenda,Encara més en la batayla naval deu ésser ajustada aquesta cautela,·viij̇° · es de tomar esta cautela en la batalla dela naue,the eigte in bataille of schippes this cautel scholde be knowe,La VIIIe chose
ut de calce alba puluerizata habeant multa vasa plena quae ex alto sunt proiicienda in naues hostium,e hagen moltes olles plenes de calç blancha pulverizada les qual deuen ésser gitades dalt en les naus dels enamichs,que conuiene que se fincan muchas cantaras de cal poluorizada Et quando fuere la batalla que lançen esta cal en la naue de los enemigos e sean lançados de alto,that thei scholde haue manye vessels ful of whigt lyme other of chalk that schold be throwe fro hiyg place in,si est que on doit avoir plenté de vaisseualz de terre plains de cauch
quibus ex impetu proiectis,les quals gitades,por que quando cayeren quiebre,to schippes of enemyes,et de pouldre
,,,And whanne thei ben stronglich ithrowe,
et fractis eleuatur puluis,e trencades és levada la pols,e salga la cal e el poluo,and ibrothe pouder ariseth,lesquelz se brisent
(ut supra diximus in bello terrestri ) et subintrat hostium oculos et adeo offendit eos ut quasi caeci videre non possint,axí com damunt havem dit en la batayla de la terra e sots entra als ulls dels enamichs e axí agreugya ells que quax axí com a cechs ell no poden veure,assi commo dixiemos dessuso en la batalla de la tierra · Esto tal ciega los oios de los enemigos assi que non podran ver e assi commo çiegos no se podran defender,as we seide tofore in bataille in londe and cometh in to the eygen of enemyes and greueth hem so that thei ben as it were iblynded and mowe not see,quant on les gecte sur les ennemis si entre la cauch en leurs yeulz pour quoy ilz sont ainsi comme aveugles
quod in bello nauali est valde periculosum,la qual cosa és fort perillosa en batayla naval,· la qual cosa es muy periglosa en la batalla de las naues,And that is ful perelous in bataille of schippes,quy est moult perilleuse chose;
,,assi commo en la de la tierra,,
quia ex omni parte bellantes in tali bello vident sibi imminere mortem,per tal com de tots parts los batayladors en tal batayla,·Ca acometiendo los de cada parte los que estan en las naues non veen donde les viene la muerte,for in suche a bataille figtyng men ben in peril of deeth in eche side,
,,Por la qual cosa,,
,,si los oios de,,
,la vehen,,,
,que és a ells appereylada la mort,,,
quare si oculi bellantium in tali pugna ex puluere calcis sic offenduntur,perquè si ·ls ulls d' aquells qui batayllen en tal batayla axí són agreugyats,los que lidian en la naue assi se ciegan del poluo de la cal,Wherfore gif eyen of figtynge men in suche a bataille ben so igreued wik poudre of lyme other of chalthe so that thei mowe not isee,car ceulz qui sont aveuglez on les a tantost occis
ut videre non possint de facili vel perimuntur ab hostibus,per la pols de la caç que ells no poguen veure leugerament o són mort,que non pueden ver de ligo o morran a manos de sus enemigos,thei mowe ligtliche be spilde of here enemyes other adreynt in the see,La IXe chose
vel submerguntur in aquis Nona cautela est habere multa vasa plena ex molli sapone quae cum impetu proiicienda sunt ad naues hostium,per los enamichs o són negats en les aygües La ix cautela és haver moltes olles plenes de sabó moll les quals sobrosament deuen ésser gitades a les naus dels enamichs,o seran anegados en la mar · La ·ix · cautela es auer muchos cantaros llenos dexabon muelle que lançen de rezio en las naues de los enemigos,the nynthe cautel is to haue manye vessels ful of nesche soope that scholde be strongliche ithrowe in to the schippes of enemyes,si est car on doit avoir pluseurs vaisseaulz de terre plains de mol sablon lesquelz on doit gecter a ses ennemis droit aux lieux ou ilz sont
et hoc super loca illa in quibus contingit hostes existere ad defendendum naues,e açò sobre aquells lochs en los quals los enamichs estan a deffendre les naus,· Et esto sobre aquellos logares en que an de estar los enemigos para defender las naues,and that on the place in the whiche the enemyes stonden inne,car ce sablon frecz est si glachant
,quar,,,
Nam vasis illis confractis in huiusmodi locis,trencades aquelles olles en tals lochs aquells lochs,Ca quebrantados aquellos cantaros en las naues en aquellos logares fazen se escorredizos,to defende the schippes For whanne thilthe vessels ben ibrothe,que tantost come ilz passent dessuz au bord du vaissel
loca illa per saponem liquidam reddunturadeo lubrica quod hostes ibi ponentes pedes statim labuntur in aquis,per rahó del sabó moll són fets axí lisos que ells enamichs posats aquí los peus,por el xabon en tal manera que los enemigos non pueden y tener los pies e caen en la mar Mas la,thilthe places ben imaad so slidere by nesche sope that whanne enemyes setten here feet therinne anon they fallen in,ilz chieuent e l' eaue
Est etiam,tant tost es leneguen,·x°,to the see,Et la Xe chose
,o allissen o cahen en les aygües,,,
et decima cautela quasi pernitiosior omnibus aliis,La x cautela encara és pus mala o pus mortal de totes,· cautela es peor que todas las otras,the tenthe is as it were worst of alle,
Nam reperiuntur aliqui marinarii qui diu sub aquis durare possunt,quar alguns mariners són atrobats qui longament poden estar o durar sots les aygües,Ca ay algunos marineros en la mar que puede mucho estar so el agua,For som schip men mowe dure longe vnder water,si est car on treuve bien aucuns mariniers qui durent longuement en l' eaue
,Les nauxes,,,
nautae igitur debent se serio ordinare contra nauem hostium,donques se deuen ordonar o posar subtilment contra la nau dels enamichs e,e los marineros deuen se assi ordenar sabiamente contra las naues de los enemigos,thanne schip men scholde ordeyne som what agenst the schip of enemyes,et alors on doit ordonner sa nef encontre la nef de ses ennemis;
et clam post tergum debent aliquem emittere diu valentem durare sub aquis,amagadament darrer ells deuen calar algun hom qui longament pusca durar o estar sots les aygües,que detras de la naue e encubiertamente echen alguno,and sende oon byhynde pryueiliche that may longe abyde vnder water,et par derriere on doit mettre un homme en l' eaue
qui accepto penetrali sub aquis debet accedere ad hostilem nauem et eam in profundo perforare,qui pres algun foradador o tribanella dejús les aygües deu se ajustar a la nau dels enamichs,o algunos en la mar que puedan y mucho estar e lieuen taladros para foradar,and mathe hooles wik a gymelot other with an augeer in the schip of enemyes in the nether side,qui y puist durer longue espace
,,e llegunen se a la naue de los enemigos so el agua,,
faciendo ibi plura foramina quae foramina ab hostibus reperiri non poterunt,e foradar ella en lo fon faent aquí molts forats los quals forats no poran ésser reparats,e foraden la pordiuso · Et faziendo muchos forados los quales non podran los enemigos çercar,and mathe manye hooles therinne that the enemyes may not fynde,et ait aucun instrument dont il puist la nef perchier
cum per ipsa coeperit abundare aqua qua abundante et hostes et nauem periclitabit,per los enamichs com l' aygua haurà començat habundar o entrar per ells la qual aygua habundant perirà a ensems la nau e ·lls enamichs,quando entrare mucha agua dentro en la naue sabullira a los enemigos e a la naue todo en vno sola mar,And whanne moche water cometh in at thilthe hooles the enemyes ben ilost and the schip also,et faire plusieurs treus par ou l' eaue y puist entrer si soient les ennemis par ce grevez
Sunt autem in bello nauali alia obseruanda ut sit ibi copia lapidum et etiam ferrorum acutorum,Altres coses deuen ésser observades en la batayla naval axí com qui sia aquí còpia de pedres encara de ferres aguts,· Mas ay otras cosas que son de guardar en la batalla de las naues assy que ayan y muy grand conplimiento de piedras e e avn varras de fierro agudas,Also it is to wetyng that in a bataille of schippes scholde be manye stoones,Et en toutes ces X manieres peult on ses adversaires grandement grever comme scevent ceulz quy de battaille sont uzitez Maintenant dirons a quoy
quae quasi lapides iaciuntur cum quibus hostes nimium offenduntur,los quals axí com a pedres són gitats ab los quals són molt agreugyats los enamichs,que lançen assi commo piedras de las quales resçiben grand daño los enemigos,and manye scharpe ires that may be throwe riʒt as stones wik the whiche enemyes ben soone igreued,et pour quoy les battailles sont ordonnees:
,,· Mas estas otras tales cosas,,
Sed caetera talia quia nimis particularia sunt sub narratione non cadunt,Mas per tal com totes coses aytals són molt particulars no cahen sots narració basten,por que son muy particulares non las podemos contar por menudo,But ther ben so manye suche particuler doynges that thei mowe not alle be irethened,si est a sçavoir que a ce propos le philozophe dist
,donques,,,
Sufficiant ergo cautelae quas tradidimus erga nauale bellum,les cauteles les quals nós havem donades envers la batayla naval,ca cunple aquellas cautelas que auemos dadas cerca las batallas de las naues,Panne ben ther cautels inowe that we hauen itauʒt touchinge batailles of schippes,que on ne se doit combatre fors pour paix avoir
Ostenso qualiter incidenda sunt ligna ex quibus construenda est nauis,Demostrat en qual manera los fusts dels quals deu ésser feta la nau degen ésser taylats,· Mostrado en qual manera es de taiar la madera para fazer las naues,For it is declared how treen and tymber scholde be feld of the whiche schippes scholde be maad,
et quomodo bellandum est in nauali bello,e en qual manera deu hom bataylar en batayla naval,e en qual manera auemos de lidiar en la mar,and how me scholde fiʒte in batailles of schippes,mais il peult bien advenir
