a	b	c	d	e
46	et si perilluse qu il cuide bien noier s il se met dedens;	et scait bien sil entre dedens qu il se met en peril de mort	e bien cuidaua morir|si se y Metiese	si quide bien morir se il|si met	che crede bene morire s elli|si mette di dentro
					;
47	et d'autre part il voit cele	Et daultre part il uoit celle	e dela otra parte veya la donçella	Et dautre part voit il cels	e d altra parte|e vede colei
48	qui si durement crie merci;	qui si piteusement fui crie mercy	que muy afincada mente le pedia merçed	qui si piteusement li crie merci	che si duramente gli grida mercé
49	si l'em prent tels pitiés qu il en laisse totes poors	Si luy en prent telle pitie quil en laisse toute paour	e ovo tal piedad della|que le fiço todo el miedo perder	si len prent tele pitsiles quil en laisse toute paour	si ne gli prende tale piatà|che ne lascia tutte paure
50|51	et fet le signe de la crois en mi son vis|puis enbrace l escu	et fait le signe de la croix deuant son uisaige puys embrache son escu	e fiço la señal dela cruz sobre|si e enbraço el escudo	et met le signe de la vraie crois en mi son front|& en mi son pis|puis enbrace son escu	e si fa el segno della santa croce nel miluogo del suo viso|poscia imbraccia lo scudo
52	et broche le cheval des esperons	et fiert son cheual des esperens	e firio al cauallo de las espuelas	et fiert le cheual des esperons	e broca il cavallo degli sproni
53|54|55	et se fiert en l eve|Et li chevals fu fors|si commence a noer	et se lanche dedens leaue tout erraument:|et le cheual commence a noer	e lanço se en el agua|e el cauallo començo de nadar	et se lance en laigue|Et li cheuaus commence a noier:	si fiede nell acqua isnellamente||incominciò a notare
56	si tost com il ot terre perdue	si tost quil eust terre perdue	luego e perdio tierra en tal manera	si tost quil a terre perdue	si tosto com'elli ebbe terra perduta
57|58	si l enporte d autre part de la rive a quelque paine|mais ançois ot beu de l eve li uns	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine|car ains quilz feussent passes beurent de leaue lun	que paso dela otra parte del agua|mas ante beuio el cauallo del agua	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns	si ne l portò d altra parte della riva a qualche pena|
59|60|61|62|63	et li autre|et se li chevals ne fust|si buens noié fuissent ambedui|kar li chevaliers estoit pesans|por les armes qu il avoit vestues	et laultre|et se le cheual neust este fort|et bon ilz feussent noyes|et lun|et laultre|car le cheualier estoit fort pesant pour les armes quil auoit uestues	e si el caballo tan bueno no fuera sin dubda el moriera enel agua|e boores porel peso delas armas|que llebaua	& li autres|Et se li cheuaus ne fust|si boins noie fussent ambedui Car li cheualiers estoit pesans pour lez armes quil auoit uestues|si en fu moult en peril|uant bohors ot passe laigue pour la damfolisele secorre ainsi	e se l cavallo non fosse stato|si forte|anegati fossono amenduni|ché l cavaliere era pesante per l arme
					ch elli avea vestite
64|65	Quant il fu de l autre part de l eve|si ne descendi pas ains cort vers cels	Quant il fut de lautre part de leaue|si ne descendist oncques ains courust uers ceulx	e desque fue dela otra Parte del agua dexo se correr aquellos	que vous poes oir|si ne descendi mie ains cort sus a chiaus	Quand|e fu da l altra parte dell acqua|si non discende passo
					anzi muove il cavallo inverso di coloro
66	qui la damoisele tenoient	qui la damoiselle tenoient:	que la donçella tenian	qui la damoisele tenoient	che lla T tenieno
67|68|69	et fiert|si le premier qu il aconsieut qu il li met le glaive par mi le cors|si l abat a terre	et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps|si labat a terre	e firio al primero|que encontro en tal manera|que le metio la lança porel cuerpo	si fiert le premier quil encontre|si durement quil li met le glaiue parmi le cors|si labat a la terre	e fiede|si il primaio|ch elli agiugne|che gli mette la lancia per me' il corpo|si llo abatte a terra
70|71	et li autre s enfuient erraument|por ce	et les autres se met tent en fuite	e los otros dos|que aquello vieron fuyeron|luego por miedo de no ser muertos	Et li autre senfuient pour chou	e gli altri se ne fugono tosto per ciò
72	que desarmé estoient		ca todos estauan desarmados	que desarme estoient	che disarmati erano
73|74	Et la damoisele|qui delivree se voit se met a genols devant Boort	La damoiselle|qui deliuree se sent se met a genoulx deuant lui	e la donçella desque aquello vido finco los ynojos ante boores	Et la damoisele|qui deliure se uoit|se met maintenant a genouls deuant bohort	E la damigella|che si vide dilivera|si mette a ginocchia davanti Boordo
75	et dist Ha gentils chevaliers de Dieu soiés vos beneois	et lui dit|Haa gentil cheualier de dieu soiez uous benoit:	e dixo ay jentil cauallero vendito seades de dios	et dist|ha: gentiex cheualiers de dies oess vous beneois	|gentile cavaliere
76	quant vos m avés de mort rescosse		que asi me librastes de muerte	quar vous maues de mort rescousse	diss ella|da Dio siate vo' benedetto quando vo m avete di morte riscossa
77|78|79|80|81|82	et aorés en soit Diex|quant il ceste part vos amena|kar cist gloton m euissent ja morte|— Damoisele fet il|por quoi|? — Sire fet ele jel vos dirai bien	car ces gloutens me eussent occiz se ne feussez uous|Damoiselle fait il pour quoy|Sire fait elle ie le uous diray	e bendito sea dios|que aqui vos traxo|que estos villanos me hubieran muerto|si por vos no fuera donçella dixo boores|Por que señor dixo ella yo vos lo dire	Et aoures en soit diex|quant il ceste part vous amena|Car cist glouton meussent morte se vous ne fuissies|Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien	e adorato ne sia lddio quand elli in queste parti vo menò|ché questi guiglioni m avessono già morta|se vo' non foste|— Damigella|disse Boordo|perché||diss ella|bene
83|84	mais que vos m aiés mise a sauveté|— Coment	mais que uous me aiez mise a sauuete	mas ante conuiene	mais que vous maies mise a sauuete Comment fait il aues vous encore paour	ma'|che vo' m abiate messa a salvamento|— Come
85|86	? fet il|Avés vos	Comment fait il auez uous		Sire fait elle ia asseuree ne serai	disse elli|avete vo' dunque guardia|
87|88	dont garde|? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	donc paour|Sire fait elle ia seure ne seray|tant que ie sache leans le seigneur de ce chasteau	que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo	tant que iou y sache le seignor del chastel :	sire|diss'ella|già sicura non sarò tanto com io sappia là entro il signore del castello
89	kar c est li plus fel chevaliers del monde	car cest le plus fel cheualier du monde	ca es el|mas follon omne de todo el mundo	quar cest li plus fel cheualiers del monde	ché ciò è il più fiero cavaliere del mondo
90	et li plus traîtres		e mas cruel Ellos	et li plus desloiaus	e I più traditore
91|92	A ces paroles voient issir I|chevalier del chastel	et le plus cruel Ces parolles uoient issir ung cheualier du chasteau:	asi fablando vieron salir del castillo vn caballero	|j|cheualier issir du castel	A queste parole vidono uscire un cavaliere del castello
93	et la ou il vit Boort	et la ou il uoit boort il lui escrie	e quando vido a boores començo le a dar boçes	Et la ou il voit bohors	e là ov egli vide Boordo
94	si li escrie Laissiés dans chevaliers la damoisele	Cheualier laissez la damoiselle	e a deçir don cauallero a dexar vos conuiene la donzella	si li escrie dans cheualiers laissies ester la damoisele	si llo isgrida|Danzi cavaliere
					lasciate la damigella
95	que vos n enmenrois mie! Par mon chief mar le rescosistes	et par mon chief mal la rescouistes	ca la non lleuaredes|e porla my cabeza ental Punto la acorristes	quar vous ne lenmenrois pas|et par mon chief mar le rescousistes	ché vonon la menere mica|e per mio capo male la riscoteste
					Si gli corre suso quanto
96|97|98|99	Si li cort quanqu il puet le glaive alongié;|et Boors retrait son glaîve a lui del cors a celui qu il avoit ocis;|si laisse le cheval corre|et le fiert	Boort lentent|si lui court tant qu il peut du cheual traire le glaiue allongnie|et le fiert	e luego se dexaron correr el vno contra el otro|e boores lo firio conla lança|que auia sacado del cuerpo del villano|que auia muerto en tal manera	quar vous le comperres se iou|puis moult chier|Et quant bohors lentent|si point vers lui quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui quil auoit ochis|Si fiert celui	ch elli puote|la lancia islungata|e Boordo il fiede|si duramente in suo venire|e ferro|e fusto|e l fiede
					e que' cade a terra tutto isteso
					che più nonn à mestier di medico
					E quando que del castello vidono insi lor cavaliere abatuto
					si ve ne rimandarono immantanente uno altro per quello vendicare
					che disse a Boordo
					che ssi guardi da llui
					ch elli il disfida
					ed e' dice
					che disfida lui
					PAllora trae la lancia del corpo a colui
					ch elli avea morto
					si lascia il cavallo andare
					che llo scudo né llo asbergo no llo guerentisce
					che non gli metta per me' il corpo
100	si tres durement qu il l abat a terre	si durement quil labat a terre	que dio conel Porlas ancas del cauallo a tierra|asi estordido	si durement quil labat a terre	si duramente|ch elli Il labatte a terra
101|102	si estordi qu il n a pooir de relever ains gist pasmés|kar il chai	si estourdy qu il na pouoir de soy releuer:	que non se pudo leuantar	si estordi quil not pooir de lui releuer|Ains iut illueques tous pasmes|quar il cai	si stordito|che non à podere di sé rilevare|anzi giace ispasimato|ché fu caduto
103	si felenessement qu a poi		asi estaua amorteçido dela cayda	si felenessement|que a poi	si fellonosamente|che a poco
104	que la canole del col n'avoit brisee		que las coyunturas del pescuezo tenia quebradas	que la canoele del col ne li est brisie	che non|si ruppe il collo
105	Et Boors li vet a cheval par desus le cors	et booit lui ua par dessus le col a cheual	e boores traxo tantas vezes el cauallo sobre el	Et bohors li uait tout a cheual par desus le cors	e Boordo gli va cavalcando per di suso il corpo
106	tant que tot le debrise	tant que tout le debrise	Que todo lo quebranto	Si que tout le debrise	tanto che di tutto il dibriscia
107	Et lors est la damoisele	Et boort a tant la damoiselle esiouye	e la donçella	Et lors est la damoisele	
108	si liee qu ele ne puet plus	que elle ne peut plus:	que aquello vido fue muy alegre|que mas no lo podia ser	si lie|que plus ne puet	si lieta|ch ella non può più
109	et dist a Boort Sire nos n avons mes garde	et dit a boort|Sire nous nauons mes garde:	e dixo a boores señor agora non auedes aqui deque vos|mas guardar	Si dist a bohort sire nous nauons hui mes garde	e disse a Boordo|
					non no abiamo oggimai guardia
110	kar je ne cuit qu il eust plus de chevaliers çaiens	car ie ne cuide point qu il y ait plus de cheualiers leans	ca eneste castillo no auia|mas deste cauallero segund cuydo	Car iou quit quil ni a plus de cheualiers laiens	ch io non credo mica|ch egli abbia là entro più cavalieri
111	que cestui;	que cestui	e agora os direlo	que cestui	che questi
112|113	si vos dirai ore seurement ce|que vos me demandastes n a encor gaires	si uous diray seurement ce|que uous mauez demande	que me preguntastes seguramente Pues deçidmelo dixo boores	Si vous dirai ce|que vous me denmandastes|ore le me dites	si vi dirò ora sicuramente ciò|che voi mi domandaste
114|115	— Dites fet il|	Par ma foy fait elle moy	asi es dixo la donçella|que oy mañana entre mi	dont fait bohors|Par foy sire fait elle entre moi et	— Dite|diss elli|— laPer fé|diss ella
					intra me
116|117	et I|chevalier	et ung cheualier	e vn cauallero	i|cheualier	e uno cavaliere
118	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mon amy estoit cheuauchions parmi cest chasteau	que hera mi amigo pasamos poreste castillo	qui mes amis estoit cheualchiemes parmi chest chastel	che mio amico era cavalcamo oggi mattinetto per me questo ricetto
119	et quant li freres a celui	Et quant le frere de celui	e quando el señor del castillo hermano de	Et quant li freres a celui	e quando il fratello di colui
120|121	que vos avés abatu me vit|si me volt a force prendre	que uous auez abatu me uist|si me uoulut auoir|et prendre a force:	aquel que vos derribastes me vido quisome prender afuerça	qui vous aues abatu me uit|si me volt auoir|et prendre par force	che voi avete ora abatuto mi vide|si mi volle a forza prendere
122	kar il m avoit molt longuement amee;	car il me auoit longuement aymee	e trabo del freno demi palafren	quar il mauoit lonc tamps amee	ché m avea lungamente amato
123	si me prist al frain	Il print mon cheual	e quisome llebar	Si me prist au frain	; simmi prese al freno|e mi volle menare a forza
124	et m en volt mener a force mes mes amis se combati a lui tant qu il l ocist	et men uoulut mener a force:|mais mon amy se combatist a lui tant qu il loccist	e me vido mi amigo llebar conbatiose conel tanto quelo mato	et men volt mener a force|Mais mes anis se combati a lui tant quil locist	ma mio amico|si combatté tanto a llui
125	Et quant cist	Et quant celui	e quando	Et quant chils cheualiers	che ll ucise|ME quando questo
126|127	que vos veez ci ore vit son frere mort|si fist mon ami prendre a force de vilains	que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens	aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente	que vous uees chi vit son frere mort|si fist mon ami prendre par force de vilains	che voi avete qui ora abatuto vide suo fratello morto|si fece mio amico prendere a forza di villani
128	et de gens	et de uillains	e de villanos	et locist	e di genti
129	et l ocist en venjance de son frere	et loccist en uengance de son frere	e matolo en enmienda dela muerte desu hermano	por uengance de son frere quil auoit ochis	e l uccise in vendicanza di suo fratello
130|131	Mais de moi|por cui Ses freres avoit esté ocis dist il qu il se vengeroit sans main metre;	et dist quil se uengeroit de moy sans main mettre	e dixo|que demi se vengaria el seguramente|porque fui ocasion dela muerte de su hermano	Et dist quil se vengeroit de moi sans main metre	Ma di me|per cui suo fratello avea stato morto|diss elli
					che ssi vendicherebbe sanza in me mettere mano
132	si me fist prendre a ces ribaus	Si me fist prendre par ces quatre ribaulx	entonçe fiço tomar aquellos quatro villanos	et me fist tantost prendre a ches|iiij	si mi fece prendere a nfino a tre l rubaldi
				ribaus	
133	que vos veistes	que uous auez ueu	que vos vistes	que vous ueistes ore	che vo' vedeste
134	et lor commanda qu il me noiaissent	et leur commanda quilz me noyassent	e mandoles|que me matasen en aquel agua	et lor commanda quil me noiassent	e loro comandò|che m anegassono
					
					diss elli
135	kar par armes dist il ne vueil je mie qu ele muire ;	car par armes ne uueil ie pas|que elle meure	ca por armas no me queria matar	Car par armes dist il ne voeil iou mie|que elle muire	non voglio|ch ella muoia
136|137	si m'enmenoient|si com vos veistes morir	Si me emmenoient ainsi comment uous auez ueu pour noyer	e ellos me mataran sin falta	Si me menoient ensi com vous ueistes	i mmi menavano|insi come vo vedeste|per fare morire
				por noier	
138	quant vos me venistes secorre par la volenté de Dieu	quant uaus me uenistes secourir par la uoulente de dieu	si vos porla voluntad de dios	quant vous me uenistes rescorre par la volente de dieu	quando vo mi veniste a soccorrere per la volontà di Dio
139	et par la vostre	et par la uostre	e porla vuestra no me acorrierades agora vos	et la vostre	e della vostra
140		Or uous ay toute compte ma fortune	e contado todo mi acaesçimiento	vous ai conte mon errement	Or vo ho contato tutta mia ventura
141	si voldroie des Ore mes se vostre plaisirs estoit	si uouldroie se uostre uoulente y estoit	como me contesçio|e querria	si volroie se vostre volentes y estoit	si vo vorre' da oggimai|se vostro piacere fosse
142	que vos me menissois a salveté en un mien chastel	que uous me menissez a sauuete en ung mien chasteau	que me llebasedes a vn mi castillo	que vous me metissies a sauuete|En vn mien castel	pregare|che vo' mi conduceste a salvamento in uno mio castello
143	qui est ci pres	qui est cy pres	que es çerca de aqui	qui est pres de chi	ch è qui presso
144|145	— Volentiers fet il|Si le prent par les bras	Voulentiers dit il|et il la prent par le bras	si vos plaze de GraDo dixo boores	volentiers fait il|et il le prent maintenant par les bras	— Volentier|disse elli|Si lla prende per lo braccio
			e luego echo su escudo alas espaldas		
146	et le monte par devant lui sor le col de son cheval	et puis la met sur le col de son cheual	e tomola Porel braço|e pusola antesi Ensu caballo	et le met sor le col de son cheual	e la monta davanti a sé sopra il corpo di suo cavallo
147	si a geté son escu derieres son dos	si a iecte son escu derrier son dos:	e fuese|ansi conella	et met son escu derriere son dos	si getta suo scudo di dietro suo dosso
148	si s en vet cele part ou la damoisele li enseigne	et puis tourne celle part la ou la damoiselle lui enseigne	por do ella lo yria guiando fasta medio dia	si sen torne cele part ou la damoisele lenseigne	si se ne va in quelle parti ove la damigella gli 'nsegna
					tanto che ciò venne apresso di mezodi
149|150|151|152|153|154|155|156	tant que ce vint aprés midi qu il voient en un tertre I|bel a chastel|et lors ataignent Il|escuiers|qui issoient d un bossel|et aportoit chescuns venoisons trosee detriers soi|Quant il virent la damoisele|si descendent a pié	tant que uint aprez midy|que ilz uirent deuant eulx ung moult beau chasteau:|et lors attaignent deux escuiers a lentree de ung petit boix|et portoit chacun uenoisen derrier lui troussee|Et quant ilz uirent la damoiselle ilz descendirent a pie	Que vieron vn muy fermoso castillo|e alcançaron dos escuderos ala salida devn monteçillo|que traia cada vno vn corço atroxado trassi|e desque vieron la donçella desçendieron apie|e fueron	Tant que chou vint apres miedi|que il virent deuant euls vn moult bel castel|Et lors ataingnent|ij|escuiers a lentree dun boskel|et portoit cascuns venison torsee derriere lui|Et quant il voient la damfolisele|si descendent a pie	che vegono davanti loro|in uno poggio|uno castello molto bello||che uscivano d uno boschello|e aportavano amenduni cacciagione torsata di dietro a llui
		et lui firent			
157|158	et li font grant joie com a celi|qui lor dame estoit	si grant henneur|et si grant ioye comme a celle|qui leur dame estoit:	e fezieron gran alegria conella|como aquella|que hera su señora	et li font|si grant ioie comme a celui|qui lor dame estoit	
159	mais molt se merveillent de ce qu il la virent plorer:	mais moult se merueillent de ce qu ilz la uoient plourer:	mas mucho se marauillaron|porque la vian	mais moult sesmerueillent de ce quil la voient plorer	
			ansi venir		
160	si li enquierent	si demandent	e preguntaronla	si li demandent	
161	que ele a	que elle a	que auia	que elle a	
162	Et ele lor dit comment ses amis avoit esté ocis	et elle leur compte comment son amy auoit este occy	e ella les conto|como su amigo hera muerto	Et elle lor conte comment sez amis auoit este ochis	
163|164	et je meismes euisse esté morte|se ne fust cis frans chevaliers	et moy mesmes eusse este occie se ne feust ce franc cheualier	e dixo yo mesma fuera muerta sino fuera	et iou meisme eusse este ochise|se ne fust cils frans cheualiers	
165	qui par sa debonaireté me resqueust	qui par sa debonnairete ma rescousse	por aqueste buen cauallero|que me libro	qui par Sa debonairete ma rescousse	
166|167	et se mist em peril de mort|por ma vie sauver	et sest mis en peril de mort pour moy sauuer	e se metio en peligro de muerte|Por me librar	et se mist en peril de mort pour moi sauuer	
				Et lors conseilla elle a	
				j	
168	Et lors conseille a l un de ses escuierset cil se destrosse maintenant de sa venoison	Et lors elle parle a conseil a ung des escuiers|et celui se destrousse maintenant de sa uenoison	e luego destroçaron el vn corço	de ses escuiers|Et cil destorse tout maintenant sa venison	
169|170	si la baille a son compaignon|por porter	et la baille a porter a son compaignon	e pusieronlo enel Palafren|e ymbiaronlo al castillo conel vn escudero|e pusieron ala donçella enel otro	et le baille a porter a son compaignon	si discenderono immantanente a ppiè
171	si s en vet vers le chastel quanqu il puet traire del roncin	et sen ua uers le chasteau tant quil peut courir atout son roussin	e fueronse contrael castillo|quanto podian	& sen vait vers le castel quanque il pot del ronchi traire	
172	Et Boors demande a la damoisele comment li chastials a non ou ses amis a esté ocis	Et boort demande a la damoiselle comment le chasteau auoit nom ou son amy auoit este occy	e boores pregunto ala donçella|como auia nombre el castillo	Et bohors demande a la damoisele comment li castiaus auoit non ou ses amis auoit este ochis	
173	Sire fet ele il a non Galedon	Sire fait elle il a nen galdon	Do su amigo auian muerto señor dixo ella el a nombre Galdon	Sire fait elle il a a non Galdon:	
174	et l eve par ou vos passastes a non Galede	et leaue ou uous passastes a nom galide	e el agua|que pasastes galide	Et laigue ou vous passastes a a non Galide|?	
175	Ensi parolent tant qu il sont venu jusqu al chastel	Ainsi sen uont parlant ensemble boort	Asi fueron fablando fasta el castillo	Ensi sen vont parlant tant quil sont venu pres del chastel	
		et la damoiselle			
176	si le voit Boors bien seant	tant que ilz sont uenus prez du chasteau|si le uoient beau	Que hera muy fuerte	si le voient moult bel	
177	et fort	et fort	e muy bien asentado	et moult fort	
				et moult bien seant	
		et moult bien seant			
178	Et quant il montent ! le tertre	Et quant ilz sont montez le tertre	e desque fueron entrados enel castillo	Et quant il furent monte le tertre	
179	si voient de laiens issir dames	si uirent dames	luego vinieron contraellos muchas danças	si voient issir dames	
