0	avoir trové	Sire fait elle enuellopee quil ne la pouoit cengnoistre pour pour ce|que ie le uouldroie auoir trouue	0|1
33	et tel laidure qu il la venoient batant tot contreval la riviere	et la menoient batant contre ual la riuiere	38
34	Et quant la damoisele vit le chevalier de l autre part de ! l eve	Et quant la damoyselle uoit le cheualier de lautre coste de la ry	39
35	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	uiere commenca a crier|et dire en tell maniere Haa beau	40|41
		et gentil cheualier secoures ceste damoiselle	42
36	que cist ribaut vuelent ocirre	que ces ribaulx ueullent occire	43
		haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars	44
37	Ha frans hom ne m i laissiés morir se vos onques eustes pitié de nule gentil damoisele	et se uous pitie de moy|car se uous ne me secoures ie suys a la mort liurer	45|46
38	Quant Boors ot ce qu ele li prie	Et quant boort ouyt quelle le prioit	47
39	si pitousement qu'il la secore	si piteusement	48
40	si ne set	si ne scait	49
41	que fere	que faire	50
42	kar volentiers li aidast s il peust;	car uoulentiers luy allast aider se il peult estre	51
43	mais il voit l eve noire	mes il uoit la riuiere parfonde	52
44	et parfonde	et dangereuse a passer	53
45	et si perilluse qu il cuide bien noier s il se met dedens;	et scait bien sil entre dedens qu il se met en peril de mort	54
46	et d'autre part il voit cele	Et daultre part il uoit celle	55
47	qui si durement crie merci;	qui si piteusement fui crie mercy	56
48	si l'em prent tels pitiés qu il en laisse totes poors	Si luy en prent telle pitie quil en laisse toute paour	57
49|50	et fet le signe de la crois en mi son vis|puis enbrace l escu	et fait le signe de la croix deuant son uisaige puys embrache son escu	58
51	et broche le cheval des esperons	et fiert son cheual des esperens	59
52|53	et se fiert en l eve|Et li chevals fu fors	et se lanche dedens leaue tout erraument:	60
54	si commence a noer	et le cheual commence a noer	61
55	si tost com il ot terre perdue	si tost quil eust terre perdue	62
56	si l enporte d autre part de la rive a quelque paine	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine	63
57	mais ançois ot beu de l eve li uns	car ains quilz feussent passes beurent de leaue lun	64
58	et li autre	et laultre	65
59	et se li chevals ne fust	et se le cheual neust este fort	66
60	si buens noié fuissent ambedui	et bon ilz feussent noyes|et lun	67|68
		et laultre	69
61|62	kar li chevaliers estoit pesans|por les armes qu il avoit vestues	car le cheualier estoit fort pesant pour les armes quil auoit uestues	70
63	Quant il fu de l autre part de l eve	Quant il fut de lautre part de leaue	71
64	si ne descendi pas ains cort vers cels	si ne descendist oncques ains courust uers ceulx	72
65	qui la damoisele tenoient	qui la damoiselle tenoient:	73
66|67	et fiert|si le premier qu il aconsieut qu il li met le glaive par mi le cors	et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps	74
68	si l abat a terre	si labat a terre	75
69|70	et li autre s enfuient erraument|por ce	et les autres se met tent en fuite	76
71	que desarmé estoient		
72	Et la damoisele	La damoiselle	77
73	qui delivree se voit se met a genols devant Boort	qui deliuree se sent se met a genoulx deuant lui	78
74	et dist Ha gentils chevaliers de Dieu soiés vos beneois	et lui dit|Haa gentil cheualier de dieu soiez uous benoit:	79|80
75	quant vos m avés de mort rescosse		
76	et aorés en soit Diex		
77|78	quant il ceste part vos amena|kar cist gloton m euissent ja morte	car ces gloutens me eussent occiz se ne feussez uous	81
79|80	— Damoisele fet il|por quoi	Damoiselle fait il pour quoy	82
81	? — Sire fet ele jel vos dirai bien	Sire fait elle ie le uous diray	83
82	mais que vos m aiés mise a sauveté	mais que uous me aiez mise a sauuete	84
83	— Coment		
84|85	? fet il|Avés vos	Comment fait il auez uous	85
86	dont garde	donc paour	86
87	? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	Sire fait elle ia seure ne seray|tant que ie sache leans le seigneur de ce chasteau	87|88
88|89	kar c est li plus fel chevaliers del monde|et li plus traîtres	car cest le plus fel cheualier du monde	89
90|91	A ces paroles voient issir I|chevalier del chastel	et le plus cruel Ces parolles uoient issir ung cheualier du chasteau:	90
92	et la ou il vit Boort	et la ou il uoit boort il lui escrie	91
93	si li escrie Laissiés dans chevaliers la damoisele	Cheualier laissez la damoiselle	92
94	que vos n enmenrois mie! Par mon chief mar le rescosistes	et par mon chief mal la rescouistes	93
95|96	Si li cort quanqu il puet le glaive alongié;|et Boors retrait son glaîve a lui del cors a celui qu il avoit ocis;	Boort lentent	94
97	si laisse le cheval corre	si lui court tant qu il peut du cheual traire le glaiue allongnie	95
98	et le fiert	et le fiert	96
99	si tres durement qu il l abat a terre	si durement quil labat a terre	97
100|101	si estordi qu il n a pooir de relever ains gist pasmés|kar il chai	si estourdy qu il na pouoir de soy releuer:	98
102	si felenessement qu a poi		
103	que la canole del col n'avoit brisee		
104	Et Boors li vet a cheval par desus le cors	et booit lui ua par dessus le col a cheual	99
105	tant que tot le debrise	tant que tout le debrise	100
106	Et lors est la damoisele	Et boort a tant la damoiselle esiouye	101
107	si liee qu ele ne puet plus	que elle ne peut plus:	102
108	et dist a Boort Sire nos n avons mes garde	et dit a boort|Sire nous nauons mes garde:	103|104
109	kar je ne cuit qu il eust plus de chevaliers çaiens	car ie ne cuide point qu il y ait plus de cheualiers leans	105
110	que cestui;	que cestui	106
111	si vos dirai ore seurement ce	si uous diray seurement ce	107
112	que vos me demandastes n a encor gaires	que uous mauez demande	108
113	— Dites fet il	Par ma foy fait elle moy	109
114|115	et I|chevalier	et ung cheualier	110
116	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mon amy estoit cheuauchions parmi cest chasteau	111
117	et quant li freres a celui	Et quant le frere de celui	112
118	que vos avés abatu me vit	que uous auez abatu me uist	113
119	si me volt a force prendre	si me uoulut auoir|et prendre a force:	114|115
120	kar il m avoit molt longuement amee;	car il me auoit longuement aymee	116
121	si me prist al frain	Il print mon cheual	117
122	et m en volt mener a force mes mes amis se combati a lui tant qu il l ocist	et men uoulut mener a force:|mais mon amy se combatist a lui tant qu il loccist	118|119
123	Et quant cist	Et quant celui	120
124|125	que vos veez ci ore vit son frere mort|si fist mon ami prendre a force de vilains	que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens	121
126	et de gens	et de uillains	122
127	et l ocist en venjance de son frere	et loccist en uengance de son frere	123
128|129	Mais de moi|por cui Ses freres avoit esté ocis dist il qu il se vengeroit sans main metre;	et dist quil se uengeroit de moy sans main mettre	124
130	si me fist prendre a ces ribaus	Si me fist prendre par ces quatre ribaulx	125
131	que vos veistes	que uous auez ueu	126
132	et lor commanda qu il me noiaissent	et leur commanda quilz me noyassent	127
133	kar par armes dist il ne vueil je mie qu ele muire ;	car par armes ne uueil ie pas|que elle meure	128|129
134|135	si m'enmenoient|si com vos veistes morir	Si me emmenoient ainsi comment uous auez ueu pour noyer	130
136	quant vos me venistes secorre par la volenté de Dieu	quant uaus me uenistes secourir par la uoulente de dieu	131
137	et par la vostre	et par la uostre	132
138	si voldroie des Ore mes se vostre plaisirs estoit	Or uous ay toute compte ma fortune|si uouldroie se uostre uoulente y estoit	133|134
139	que vos me menissois a salveté en un mien chastel	que uous me menissez a sauuete en ung mien chasteau	135
140	qui est ci pres	qui est cy pres	136
141	— Volentiers fet il	Voulentiers dit il	137
142	Si le prent par les bras	et il la prent par le bras	138
143	et le monte par devant lui sor le col de son cheval	et puis la met sur le col de son cheual	139
144	si a geté son escu derieres son dos	si a iecte son escu derrier son dos:	140
145	si s en vet cele part ou la damoisele li enseigne	et puis tourne celle part la ou la damoiselle lui enseigne	141
146	tant que ce vint aprés midi qu il voient en un tertre I	tant que uint aprez midy	142
147	bel a chastel	que ilz uirent deuant eulx ung moult beau chasteau:	143
148|149	et lors ataignent Il|escuiers	et lors attaignent deux escuiers a lentree de ung petit boix	144
150|151	qui issoient d un bossel|et aportoit chescuns venoisons trosee detriers soi	et portoit chacun uenoisen derrier lui troussee	145
152|153	Quant il virent la damoisele|si descendent a pié	Et quant ilz uirent la damoiselle ilz descendirent a pie	146
		et lui firent	147
		si grant henneur	148
154	et li font grant joie com a celi	et si grant ioye comme a celle	149
155	qui lor dame estoit	qui leur dame estoit:	150
156	mais molt se merveillent de ce qu il la virent plorer:	mais moult se merueillent de ce qu ilz la uoient plourer:	151
157	si li enquierent	si demandent	152
158	que ele a	que elle a	153
159	Et ele lor dit comment ses amis avoit esté ocis	et elle leur compte comment son amy auoit este occy	154
160|161	et je meismes euisse esté morte|se ne fust cis frans chevaliers	et moy mesmes eusse este occie se ne feust ce franc cheualier	155
162	qui par sa debonaireté me resqueust	qui par sa debonnairete ma rescousse	156
163|164	et se mist em peril de mort|por ma vie sauver	et sest mis en peril de mort pour moy sauuer	157
165	Et lors conseille a l un de ses escuierset cil se destrosse maintenant de sa venoison	Et lors elle parle a conseil a ung des escuiers|et celui se destrousse maintenant de sa uenoison	158|159
166	si la baille a son compaignon	et la baille a porter a son compaignon	160
167|168	por porter|si s en vet vers le chastel quanqu il puet traire del roncin	et sen ua uers le chasteau tant quil peut courir atout son roussin	161
169	Et Boors demande a la damoisele comment li chastials a non ou ses amis a esté ocis	Et boort demande a la damoiselle comment le chasteau auoit nom ou son amy auoit este occy	162
170	Sire fet ele il a non Galedon	Sire fait elle il a nen galdon	163
171	et l eve par ou vos passastes a non Galede	et leaue ou uous passastes a nom galide	164
		Ainsi sen uont parlant ensemble boort	165
		et la damoiselle	166
172	Ensi parolent tant qu il sont venu jusqu al chastel	tant que ilz sont uenus prez du chasteau	167
173	si le voit Boors bien seant	si le uoient beau	168
174	et fort	et fort	169
		et moult bien seant	170
175	Et quant il montent ! le tertre	Et quant ilz sont montez le tertre	171
176	si voient de laiens issir dames	si uirent dames	172
177|178	et damoiseles a grant plenté|dont les unes karolent	et damoiselles a grant plante dent les unes dansoient	173
179	et les autres dancent	et les autres deuisoient	174
180	et les autres joent de divers geus;	et les autres iouoient de diuers ieux	175
181|182	si estoient acesmees|et vestues richement	si estoient toutes uestues moult richement	176
183	et avec venoient chevaliers jusqu a X	et auec elles uenoient des cheualiers iusques a dix	177
184	qui molt faisoient grant joie;	qui faisoient moult grant ioye	178
185	et quant il voient Boort	Et quant ilz uirent boort	179
186	si crient tuit encontre lui Bien viengniés sire	si lui crierent tous|Bien uiengniez uous	180|181
187	qui nostre dame avez delivres de mort	qui nostre dame auez rescousse de mort	182
188	et rescosse des mains a ses enemis	et deliuree des mains de ses ennemis	183
189	Et lors font descendre lor dame	Et lors font descendre leur dame	184
190	et lui avec :	et lui auec	185
191	si ne vos porroit nus conter la joie	Si ne pourroit nul homme compter la grant ioye	186
192	qui li fu fete	qui leur fut faicte	187
193	et a tel feste enmainent Boort jusqu al palés del chastel	A telle ioye menerent boort au pallais	188
194	si le font desarmer ou il volsist ou non		
195|196	et il le fist a envis|kar il n estoit encore mie tens de herbergier	Et quant ilz eurent mengie la damoiselle lui demanda comment il auoit nom	189
197|198	Ensi remist Boors laiens|si li firent grant joie li un	Et il respendist quil auoit nom boort le essillie	190
199|200	et li autre|Et quant il orent mengié	et si estoit cousin germain de lancelot du lac	191
201	a damoisele demande a Boort comment il avoit non ét ¡l dist qu il avoit non Boors li Essilliés		
202	Et vos fet il	Et uous dame	192
203	damoisele quels est li vostre nons	quel est uostre nom	193
204	? — Sire fet ele	Sire fait elle iay nom benigne de glacedon	194
205	je ai non Blevine de Glocedun issi a non cist chastials ou nos somes	et ce chasteau cy ou nous sommes a aussi nom glacedon	195
206	A ces paroles qu il disoient es vos I escuier	ces parolles quilz disoient uecy ung escuyer	196
207	qui laiens entre	qui entra leans	197
208|209	si s agenoille devant la damoisele|Dame fet il la damoisele de Honguefort vostre cosine vos salue	si se agenoille de uant la damoiselle dame fait il madame de honguesfort uous sallue	198
210	et vos mande qu ele vient herbergier o vos	et uous mande|que elle se ueult ennuyt logier auec uous	199|200
211	Et quant cele l entent	Et quant celle lost	201
212	si saut sus		
213	si liee		
214	et si joiose		
215|216	que nule plus|et demande al vaslet ou ele est	si demande a lescuyer ou elle est dame fait il a demye lieue de cy	202
217	Dame		
218|219	fet il a mains de demie lieue pres de ci|Et ele fet maintenant sa sele metre	et elle mente sur son cheual auec quatre cheualiers	203
220	et dist qu ele ira encontre li;		
221	si monte		
222	et maine o li		
223	VI		
224|225	chevaliers|et Illl	et quatre escuyers pour aller a lencontre de la dame	204
226	en laisse		
227|228	por fere compaignie a Boort ;|si se part atant de laiens	et si laisse quatre cheualiers auec boort pour luy faire compagnie mes boort	205
229	Mes Boors		
230|231	qui les noveles a of̈es de cele de Honguefort|si ne set	qui les nouuelles a entendues de la dane de honguesfort ne scait	206
232	que fere	que faire	207
233|234	kar se il remaint laiens ne puet estre|que l en nel conoisse	si pense longuement	208
235|236	et ce ne voldroit il|por rien:	car il ne ueult pas estre congneu	209
237|238	si pense longuement a ceste chose|Quant il ot une piece pensé	et quant il a longuement pen se	210
239	si se drece en estant	si se lieuue en son estant	211
240	et demande ses armes tost	et demande ses armes	212
241|242	et isnel|Sire font cil	Sire sont ceulx	213
243	qui avec lui estoient qu en volés vos fere		
244	? — Je me vueil		
245|246	fet il un poi aler esbatre jusqu a cel boschel|si revendrai orendroit	qui auec luy estoient pour quoy les demandes uous ie me uueil fait il armer pour moy aller esbatre iusques en ce bochel mes ie reuendray tantost	214
247|248	Cil n osent son commandement refuser|si aportent ses armes	et ceulx nosent reffuser son commandement lors luy apportent ses armes	215
249	et il les prent		
250	Et quant il est armés	et quant il fust arme	216
251	si monte en son cheval a		
252	si se part de laiens par une posterne par devers le boschel ne ne velt	si sen part de le ans par la posterne uers ung petit bosc|et ne ueult	217|218
253	que nus li face compaignie	que nul luy face compagnie	219
254	Et quant il est l		
255|256	poi eslongiés del chastel|si torne a destre vers une forest qu il voit haute	Et quant il est ung pou eslongnie il tourne uers une forest grande	220
257	et espesse	et espesse	221
258	et s en vet al ferir des esperons;		
259	si se fiert en la forest	si fiert des esperons	222
260	et eirre tant qu il li anuite ;	et sen entra dedens	223
261	et lors escote	et cheuaucha	224
262	si ot une cloche soner	tant que la nuyt uint|Il ouyt une cloche sonner	225|226
263	et il sot bien tantost	si pense tantost	227
264	que c estoit hermitages:	que cest ung hermitage	228
265	si s en torne cele part	il sen alla celle part	229
266|267	et descent a l uis|si apele	et puys frappa a luys	230
268|269	et li hermites li oevre son huis|si a le reçoit a bele chiere	et lermite le rechoit a belle chere	231
270	et le desarme il meismes	et le desarma	232
271	puis vet cueillir de l erbe al cheval	et puys cueillit de lerbe uerte pour le cheual	233
272	et por fere lit al chevalier	et fist le lyt au cheualier	234
		Insi est boort demoure auec lermite	235
273	et la damoisele de Glocedun chevalcha tant a qu ele encontra cele de Honguefort;	et la damoiselle de glacedon a tant alle quelle encentra celle de honguesfort	236
274	si s entresaluent	si sentresalluerent	237
275|276	mais molt se merveille cele de Glocedun|quant ele voit sa cosine	Et quant celle de glacedon uoit sa cousine	238
277	si atornee		
278|279	et tote sa maisnie:|si li demande l acheison	et toute sa mesgnie ainsi atournee elle sen merueille monlt sy lui demande lachoison	239
280	et cele li conte de chief en chief	et celle luy compte toute la uerite	240
281	et dist	et dist	241
282	que jamés ne finera d errer jusqu el ait le chevalier trové	que iamaiz ne finera de errer iusques a tant quelle aura trouue le cheualier	242
283	et bien sachiés fet ele bele cosine	et sachiez belle cousine	243
284	que c est li plus bials chevaliers	que cest le plus beau	244
285	et li mieldres	et le meilleur	245
286	que je onques mes veisse	que ie ueisse on ques	246
287	et si est encore jovenes enfés;	et sy est encore ione enfant	247
288	si ai tel duel	si ay tel deul	248
289	quant il me membre de la vilenie	quant il me souuient de la uillanie	249
290	que je fis qu a poi	que ie luy feiz|que a pou	250|251
291	que li cuers ne me part el ventre	que le cueur ne me part du uentre	252
		Eu nom dieu belle cousine fait celle de glacedon	253
		sy uous est aduenu belle auanture	254
		il ne men est pas aduenue une moins belle	255
292	Si li conte tot ensi com il li estoit avenu	Sy luy compte tout ainsi comment il luy estoit aduenu	256
293	et dist qu ele a le chevalier herbergié	et dist quelle auoit herbegie le cheualier	257
294	mais bien sachiés fet ele	et uous dys bien	258
295|296	que c est li plus bials chevaliers|que je onques mes veisse	que cest le plus beau cheualier du monde	259
297	et jovenes durement ;		
298	si li devise sa façon		
299|300	et son grant|et sa mesure tant qu a cele de Honguefort est avis	sy lui deuise sa facon tant quil est aduiz a celle de honguesfort	260
301	que c est cil qu ele quiert	que cest celuy quelle quiert	261
302	si li tarde molt qu ele le voie	si luy tarde quelle le uoie En telle magniere cheuauchent tant quilz sont uenues au chastel	262
303	si descendent la damoisele molt honorement	si decendent la damoiselle monlt hounourablement	263
304	et molt font grant joie de li	et font grant ioye de celle de honguesford	264
305	Et lors sont montees el palés;	lors sont mentees au pallaiz	265
306|307	si demande cele de laiens ou ses ostes est|Par foi font	si demande la damoiselle de leans ou est son hoste	266
308|309	si chevalier ¡l s en vet orrendroit tos armés fors de cest chastel|mais il nos dist qu il revendroit tantost; n onques	deuray dirent les cheualiers de leans Il sen ua orendroit tout seul arme hors de ce chastel mes il nous dist quil reuendroit tantost	267
310	por nul pooir ne volt soffrir	ne onques ne uolt souffrir	268
311	que nus de nos alast avec lui	que nul allast auec luy	269
312	—		
313|314	Quel part s en ala il|? fet ele	si a prins sen chemin uers ce bochel	270
315|316	— Dame font il vers cel boschel|— Or tost fet ele montés alés aprés lui	Or tost dyt la dame montes sy alles apprez luy	271
317	si le nos ramenés	et le ramenes arriere	272
318|319	Lors sont monté li X|chevalier	Lors montent tous les cheualiers	273
320	et vienent jusqu al boschel	et uiennent iusques au bochel	274
321	si le cerchent amont	et le chercent ament	275
322	et aval mes del chevalier ne pueent riens trover		
323	si en sont molt irié		
324	et dolent	et aual	276
325	et mandent a lor dame qu il ne le pueent trover	mais ne le peuent trouuer	277
326	En non Dieu fet ele ensi ne remandra il pas	Eu nen dieu fait elle il ne demoura pas ainsy	278
327	Si monte	si monte elle	279
328	et tote sa maisnie	et sa mesgnie	280
329	et commande a cerchier le bois de totes pars	et commencent a chercer le bochel de toutes pars	281
330|331	et il en font son commandement|Mais tot ce ne lor valt riens	et prie aulx cheualiers quilz le chersacent mes ce ne leur ualust riens	282
332	kar il n'em puent avoir nul asenement a	car ilz nen porent ouyt nulle uraie enseigne	283
333	Quant ele vit ce	Quant elle uoit ce	284
334	si s en retorne en son chastel dolente	si sen retoure en son chastel dollente	285
335	et corociee	et courroucee	286
336	et conte a cele de Honguefort comment ses ostes s en estoit alez	et compte a celle de henguesford comment son hoste sen est alle puys demande a ceulx de leans	287
337	puis demande a cels de laiens Bials seignors	Beaux seigneurs	288
338	quant s em parti il — Par foi dame font il	quant sen parti il|par ma foy	289|290
339	si tost com il vos en vit aler	si tost|que uous feustes partie	291|292
340	et dist qu il revendroit tost	et dist quil reuendroit tantost	293
341	— Par foi fet ele gabez nos a	par ma foy dist la dame il nous a gabes	294
342	Lors demanda cele de Honguefort quels armes il portoit	Lors demande celle de honguesford quelles armes il portoit	295
343	et ele li devise	et elle luy deuise	296
344	En non Dieu fet ele je te trovai hui matin a l entree d une forest mes il ne portoit mie tel escu com cil	Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest|mes il ne portoit mye telles armes come celuy	297|298
345	que je quier	que ie quiers	299
346	— Bele cosine fet cele de laiens il le puet bien avoir changié	belle cousine fait celle de leans il les peult bien auoir changiez	300
347	et je vos di al mien cuidier	et ie cuide bien a mon aduiz	301
348	que ce est cil	que cest celuy	302
349|350	que vos querez :|si vos prie	que uous queres sy uous prie	303
351	que vos me laissiés o vos aler	que me lessiez aller auecques uous	304
352	tant que trové l aions	tant que laurens trouue	305
353	et lors savrai l acheison		
354	por quoi il laissa mon ostel a tel ore		
355	— Il m est molt bel fet cele de Honguefort	Il mest monlt bel dyt celle de honguesfort	306
356	que vos i viegniés	que uous uiengnies auec moy	307
357	puis qu il vos plest	puis quil uous plaist	308
358	Ensi remistrent la nuit laiens	ainsi demeurent la nuyt leans	309
359	et al matin	et au matin	310
360|361	si tost com eles ! virent le jor|si leverent	quant ilz uirent le iour	311
362	et se partirent del chastel	si sen partirent du chastel	312
363	et entrerent en la queste de lor chevalier	et entrerent en la queste de leur cheualier	313
364	Mais or laisse atant li contes a parler d eles	Or lessons maintenant le compte de boors	314
365	et de Boort	et des deux dames	315
366	et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic	et retourons a parler de lancelot du lac le|quel est entre en la forest de la sapine	316|317
367	si com li contes a devise ariers	Comment lancelot emporta le corps de gallehaut	318
368|369	Or dist li contes qu il fist grant chaut le jor|que Lancelos entra en la forest de Sarpenic	que plusieurs cheualiers gardoient:	319
370	et por ce ne remest il mie qu il ne chevalchast jusqu à none;	et comment il rescouist la seur de meleagant|que len uouloit ardre iiii	320|321
371|372	si li avint ensi qu il n encontra home ne feme jusqu al vespre;|mais lors sans faille	xx	322
373|374	si com il dut issir de forest|qui tot le jor li ot duré encontra une damoisele	xiiii	323
375|376	qui molt faisoit grant duel|et chevalchoit I	Grant chault fist dit le compie le iour	324
377	palefroi noir a molt riehe lorain	que lancelot fut entre en la sapinoie	325
378	et a molt cointe sele de l'oevre d Engleterre	et pour ce ne demoura il pas quil ne cheuauchast iusques a uespres sans rencentrer homme ne femme|Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy	326|327
379	Il salue la damoisele	Il salue la damoiselle	328
380	et ele lui	et lui dit	329
381	Damoisele fet il		
382	kar me dites s il vos plest		
383|384	por quoi vos plorés|— Certes sire fet ele se je i' cuidoie avoir preu je le vos diroie	Dame dictes moy pour quoy uous plourez sil uous plaist Certes sire se ie y cuidoie auoir prouffit ie uous le diroie	330
385	— Damage fet il ll i avrez vos ja se Dieu plest	Dommage fait il ny aurez uous ia se dieu plaist	331
386	mais dites le moi par covent que se je vos	car se ie uous	332
387	puis aidier a vos esleecier je vos aiderai a mon pooir	puis aider ie uous aideray a esclercir uostre cueur a mon pouoir	333
388	donc le vos dirai je	Par dieu sire denc fait elle le uous diray ie	334
389	ll est voirs	Il fut uoir	335
390|391	que Meleagans li fiz al roi Baldemagu ala a la cort le roi Artu|por la roine Genievre conquerre s il peust;	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre	336
392	et endementiers fist tant une damoisele	En dementiers fist tant une damoiselle	337
393	qui estoit	qui sa seur estoit	338
394|395	? sa suer qu ele geta Lancelot d une tor ou Meleagans l avoit mis en prison ne sai|por quoi	que elle iecta lancelot hors de prison de une tour la ou il lauoit mis	339
396|397	Quant ele l ot delivré|si le tint avec li tant qu il fu garis	Quant elle leust deliure elle le tint auec elle tant qu il fut gary:	340
398	kar molt avoit eu mesaise en la prison	et moult y auoit eu mesaise	341
399	et puis l envoia a la cort le roi Artu ou il ocist Meleagan ce savons nos or bien	et puis lenuoia a la court du roy artus la ou il occist meleagant	342
400	Mais si tost com li parent sorent qu ele avoit Lancelot osté de la prison	mais tantost	343
401	si distrent qu ele l avoit fait	que ses parens sceurent	344
402	por Meleagan ocirre;		
403|404	si le pristrent a force|et l acheisonerent de sa mort	que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant	345
405	et distrent que s ele ne trovoit	et fut dit|que se elle ne trouuoit	346|347
406	qui l en desfendist	qui la deffendist	348
407	qu'il feroient de lui justice	que len feroit de elle telle iustice	349
408	si grant com l en doit fere de cele	que len deuoit faire de femme	350
409	qui son frere ocist	qui son frere auoit occis	351
410	Et ele dist qu ele troveroit bien	Et elle dit|que elle trouueroit bien	352|353
411	qui la desfendroit:	qui len deffendroit	354
412	si mist jor d amener I		
413|414	chevalier|por li desfendre	Si lui fut iour determine de trouuer ung cheualier pour elle deffendre	355
415|416	si s est|puis porchaciee en Pluisors liex	Et elle a depuis pour chasse en plusieurs lieux	356
417	mais onques ne trova chevalier	mais oncques ne trouua cheualier	357
418	qui ses armes en osast prendre contre celui	qui ses armes osast prendre centre celui	358
419	qui apelee l avoit	qui lauoit appelle	359
420|421	Or|si est tant la chose alee	Or est tant la chose allee	360
422	que li jors est aterminés a hui ;	que le iour est ennuy termine:	361
423	si n a trové la pucele nul desfendeor	si na trouue nul desfendeur	362
424	et por ce dient li un		
425	et li autre qu ele est atainte del meffet		
426	que l en li met sus :		
427	si l ont jugiee ce m est vis a ardoir le matin	et pource lont iugiee a estre arse au matin	363
428	et por ce qu il m en membroit or em ploroie je	et cest la cause|qui me fait plourer	364|365
429|430	si durement|kar certes ele estoit une des plus cortoises damoiseles ! del monde	car elle estoit une des plus haultes damoiselles du monde:	366
431	et une des plus vaillans	et des plus uaillantes	367
432	et s ele trovoit demain	OR me dictes damoiselle fait lancelot se elle trouuoit demain	368
433|434	qui la deffendist|dont ne seroit ele quite del jugement	qui la deffendist ne seroit elle pas quicte du iugement	369
435	que l en a fet		
436|437	? — Sire fet ele je ne sai|—	Sire dit elle ie ne scay	370
438|439	Et est ce fet il gaires loing|que ele est	Et esse fait il gaires loingz dicy	371
440|441	? — Sire|fet ele il n i a que	Sire dit elle il ny a	372
442|443	VI|lieues englesches	que six lieues anglesches	373
444	Se vos leviés demain matin vos i seriés ains prime	et se uous partiez demain matin uous y seriez demain a prime	374
