a	b	c	d	e
39	por ton pueple raiembre des paines d enfer sire ensi vraiement com tu resuscitas de mort ensi faces i tu miracle de cest mort apertement voiant tos cels	Si vraiement com tu resuscitas au tierc ior de mort|si vraiement com ce fu voirs ensi faces tu miracles de cest mort	ansi como tu verdaderamente rresurgiste de muerte|ansi faz tu milagro deste muerto	insi veracemente come tu risucitasti da morte|insi facci tu miracolo di questa morte	Si uraiement comment tu resuscitas de moit au tiers iour ainsi faces tu miracle de se mort uoi remẽt|⁊ appertemẽt uoyans tous tous ceulx
				apertamente vegendo tutti quelli	
40|41	qui ci sont|	vraiement	Porque abiertamente vean todos aquestos|que tu heres poderoso de todas cosas entonçes se leuanto josepe	che qui sonos|Allora|si dirizò Giuseppo	qui cy sõt
42	et aprés ce ne demora gueres		e no tardo mucho	e apresso ciò non dimorò guari	
43	que li mors se leva de terre sains		que el muerto se leuanto de tierra sano	che l morto|si levò di terra Sano	
44	et haitiés	& apertement	e alegre	e atato	
45	et cort cele part ou il voit Joseph;		e fue aquella parte|do estaua josepe	e corse in quelle parti ove vide Giuseppo|;	
46|47	si li baisse les piés|et dist	deuant tous cheuls|qui chi sont	e besole los pies|e dixo	si gli baciò|e piè|e disse	Lors se drece loseph
48|49	si que tuit l entendent Veez ci le saint homme|qui despendi le fiz Dieu de la vraie crois	ors se drece ioseph en estant	ansi que todos lo entendieron vedes aqui el ome|que desçendio el hijo de dios dela vera cruz	sicché tutti lo ntenderono|Vedete qui el santo huomo|che levò el figliuolo di Dio della Verace Croce	
50|51|52	et Dieus l a envoié entre nos|por ce|que vos soiés baptisié lkar autrement ne poés vos eschaper de la pardurable mort d enfer	& apres ne demora gaires|que li mors se Lreleua de terre	e dios noslo ymbio entrenos|para que seamos bautizados|que de otra manera no podriamos escapar delas penas del ynfierno	e Dio l à mandato intra voi per ciò|che voi siate battezati|e altrimenti non potete voi scampare la perdurabile morte di ninfernos	apiez ne demou ra gaires q̃ le moit se leua de terre
53|54	Quant Joseph vit le mort resuscité|si plora de pitié	Et quant ioseph uit le mort resuscite|si plora de bon cuer	e quando el hermano vido el muerto rresuçitado començo a llorar con piedad	E quando Giuseppo vide el morto risucitato|si pianse di pietà	Quant io seph uist le mort resuscite|si ploura de bõ cuer
55	et mercia Dieu de buen cuer;	& en merchia dieu moult doucement	e agradesçiolo mucho a dios	e rendé gratie a Dio di buon cuore	⁊ mercia dieu doulcemẽt
56|57	si dist a cels|qui entor li estoient Seignor or poés vos bien dire	puis dist a chiaus|qui deuant lui estoient|Segnor or poes vous bien sauoir	e dixo agora podedes ver señores	e disse a coloro|che ntorno lui erano|: Signori|or potete vo ben dire	⁊ dist a tous ceulx qͥ deuant lui estoient|Seĩgneurs orpouez uoꝰ bien dire
58|59	que cil de cui je vos al parlé est Diex|et puissans sor tos autres	que cils diex	que aquel dequien vos fable es poderoso de todas las cosas sobre todos los otros entonçes dixo matagrant çierto es verdad	che quello lddio di cui io vo ò parlato est lddio possente sopra tuti gli altris	
				— Certo	
				disse Mategranz	
60|61|62	— Certes fet Mategrant c est voir ne jamés ne creirai en autre Dieu|que en lui|kar je sai bien des qu il a Argon mon frere resuscité qu il est Diex sans per	dont ie vous di est li plus poissans de tous lez autres	e jamas non creere en otro dios sino en|aquel que rresuçito ami hermano sergon|que ansi se llamaua	ciò è vero|né giamai non crederò in altro lddio|che in lui|ch i' so bene|da ch'egli à Agon mio fratello risucitato	que celui|que ie uons dis est dieu pu issãt sut tous les autres
				ch egli è tutto possente	
				Atanto	
				si lasciano tutti quelli della piaza cadere a' piè di Giuseppo	
				e dissono ad alte boci	
63		A cel mot se laisserent tout cheoir as pies ioseph	el que rresuçito|ca el es dios sin par entonçes se dexaron todos caer alos pies de josepe quantos estauan en aquel lugar		A ce mot se laisserẽt soartie
64	et distrent a haute vois Sire nos nos metons del tot en vostre conseil; se nos avons par mescreance foloié ça en arieres nos somes prest de lamendier a vostre los ne jamés ne ferom rien	et dirent a hautes vois Sire nous sommes a vous del tout|et se nous auons par mesconnissance folie faite	e dixeron a grandes vozes señor todos nos somos metidos envuestro poder a façer todo porvuestro consejo|e si fasta aqui herramos	no' no mettiamo del tutto in vostro consiglio|; ue noi abiamo per miscredenza fallato qua in adietro noi siamo presti dello amendare a vostro lodo	sous cheoir aux piez de ioseph en disãt a haut te uoix|Sire nous sommes a uous du tout se nous auõs par mescreãce follie faicte nous sommes tout prestz de lamender
				né giamai non faremo nulla	
65	qui encontre vostre volenté soit		por locura enmendarlo hemos segund vos noslo mandaredes|Ca jamas non faremos cosa contravuestra voluntad	che contro a vostra volontà sia	
66|67	Enseigniés nos|quel loi nos devom tenir	nous sommes prest de lamenderEnseignies nous	e enseñadnos|que ley auemos de tener		Enseignes nous q̃lle loy nous deuons tenir
68|69|70|71	et en|quel maniere|et nos la tendrom|Ensi furent cil del chastel converti	quel loy nous deuons tenir|Et ensi furent cil del castel conuerti	que tal la tomaremos en tal manera fueron conuertidos todos los deaquel castillo	e n quale maniera|: noi la terremos|	Ainsi furent ceulx du chasteau cõuertiz Quãt le seneschal
72	et baptisié		e bautizados	e battezati	
73	Et quant li seneschals	Et quant li senescaus	Quando el senescal	E quando il siniscalco	
74|75	qui avoit feru Joseph par mi la cuisse vir|que tuit se crestienoient	qui lauoit feru parmi la quisse vit|que tuit receuoient baptesme	que auia ferido a josepe enla pierna vio|que todos auian rresçebido bautismo confeso alli antetodos	che avea fedito Giuseppo per me la coscia vide|che trastutti cristiniavano	qui lauoit seru parmi la cuisse uist q̃ tous re ceuoient baptesme
				si confessò	
76	si reconuit oiant tot le pueple comment il avoit feru Joseph	si reconnut oiant tous comment il auoit feru ioseph	como el auia a josepe ferido porla pierna	udendo tutto el popolo|com elli avea fedito Gioseppo	si recongneut oyans toꝰ ql auoit feru ioseph
77	et comment l espee estoir brisiee	& comment sespee auoit este brisiie	e como la espada se quebrantara	e come la spada era rotta	⁊ comment lespee es toit bri|see
78|79|80	et je cuit fet il|que vos en troverois l autre moitié en sa cuisse|	Et iou quit fait il|que vous troueres lautre moitie en sa quisse|ors fist mathagrans garder en la quisse ioseph	e bien cuido dixo|el que le fallaredes la otra mitad enla pierna entonçes fiço matagrant catar a josepe	E i' credo|diss elli|che vo' vi troverete l altra rotta nella coscia|	⁊ ir cuide fait il q̃ uous trouuerez lautre moitieen sa cuisse|Lois y fist malagrans re|garder
81	si troverent l espee;	si troua on la piece de Llespee	e vieron la espada	si trovarono la spada	si trouua lespee
82|83	et quant virent ce|si en furent molt esmaié;	Et quant il uirent chou|si en furent esbahi	e fueron muy espantados todos	e quand|e vidono ciò furono molto ismagati|si disse Mategranz	Quant ilz uirẽt ce fi en furẽt moult esmaiez
84	si dist MategrantSire comment portois vos garir	Et lors dist mathagrans|sire comment porres vous garir	e matagrant dixo señor|como podriades vos guarir bien dixo el	|come potrete voi guarire	⁊ lors dist matagrãs Sire comment pourrez uous garir
85|86	? — Bien se Dieu plest fist Joseph|mais vos serois avant sanés de la plaie de vostre chief	bien fet il se dieu plaist|mais vous seres aincois garis de la plaie|que vous aues en la teste	si avos pluguiere seredes sano antes devuestra llaga devuestra cabeza	? — Bene|se Dio piace|disse Giuseppo|; ma voi sarete inanzi sanato della piaga divostro capos	Siẽ dit il
87|88|89|90	Lors fist aporter le remanant de l espee ou le pont|et le heut estoit|si fist le seigne de la crois sor la plaie Mategrant|et ele fu tantost garie	Lors fist erranment aporter la piece de lespee ou li posilns|& li heus estoit|si fist le signe de la vraie crois sor la plaie|et elle fu tantost garie	e luego fizo traer la otra parte dela espada|e despues fizo luego la señal dela vera cruz sobrela llaga de matagrant|e luego fue guarido	eAllora|si fece aportare el rimanente della spada ove el pome|e l elsa era|si vi fece el segno della santa croce sopra la piaga di Maternanz ed e' fu tantosto guarito	Lors fist apporter le demourãt de lespee ou la pongniee estoit|si fist le signe de la uraie croix sur la plape:|⁊ elle fut tantost garie
91	Puis traist hors de sa char la piece de l'espee	puis traist hors de sa quisse le piece de lespee	e despues tiro la pieça dela espada desu pierna	Poscia trae fuori di sua carne la spada	ap̃s trait hois de sa cuisse lespee
92|93|94	qui dedens estoit; mes trop se merveillierent tuit cil|qui la virent|kar au retraire n issi de la plaie gote de sanc	mais moult sesmerueillent tout cil quil le virent|quar au retraire nen virent il issir goute de sanc	mas mucho se marauillaron todos aquellos quelo vieron|e al sacar caya dela Punta gotas de sangre	e l apicca|: allora furono tutti per lo castello cristiani	mais trop se mer ueillerent tous ceulx|qui le uirent|car au trai re ne uirẽt oncques issir goutte de sãg
95|96	et l espee estoit|si clere	Et lespee estoit|si clere	e la pieça dela espada salio tan clara	Si visse poi Argons otto giorni	Quãt ioseph uist ces deux pieces de lespee|si dit
97	et si blanche qu il sambloit c onques ne fust en char entree De ce se merveilla tos li pueples	& si blance kil sambloit bien kelle neust onkes entre en char|si sesmierueille tous li pules	como si nunca vbiera entrado en carne|e desto se marauillo mucho todo aquel pueblo		
98|99	et quant Josepf fint les ll|moitiés del brant	Et quant ioseph tint lez|ij|pieces de lespee	e quando josepe vido las dos pieças dela espada dixo ay espada buena	e quando Giuseppo	
100|101	si dist Ha espee jamés ne seras soldee devant|que cil te tendra a ses mains	si dist|Espee ne seras resoldee deuant chou|que li mieldres cheualiers del monde te tenra entre sez mains|& chiert cil	e fermosa jamas non seras juntada fastaque te tenga ensus manos		haa espee iamais neserez ressoudee deuant q̃ cclui la tendra en ses mains
102	qui les hautes aventures del Graal devra asso mer;	qui lez hautes auentures del saint graal metera à fin	aquel que las grandes auenturas del sancto grial llebara al cabo|mas luego		qui les haultes auan¬ tures du saint graal mettra a fin
103|104|105	mais si tost com il te tendra|si rejoindras a force|Et cele partie	Mais si tost comme il te tenra reioindront lez|ij|pieces ensamble|Et celle partie ki en ma	que te terna te juntaras afina fuerça|e esta pieça	si parti del castello	mais si tost comme il la tendra reioindront les deux pie¬ ces ensẽdle
106|107|108|109|110	qui en ma char entra ne sera jamés veue nule fois|que sanc n en isse|tant que cil|qui la soudera la tiegne|Ensi jura loseph de l espee	car entra ne sera iamais ueue ke li sans nen isse deuant ke cil le tiengne|Ensi iuga ioseph de lespee Adont furent baptisie	que enmi carne entro no sera jamas vista|que no heche gotas de sangre fastaque aquel la çiña|e ansi dixo josepe desta espada	si ritenono là entro la spada	Adonc furent haptizes
111|112|113|114|115	et lors furent par le chastel crestienez|Si vesqui|puis Argon VIll|ans;|et quant loseph se parti del chastel	& crestienne tout li sarrazin del castel:|si uesqui argon|viii|iorz;|& quant ioseph se parti dou chastel	e desta guisa fueron bautizados todos los del castillo|e matagran|e argon|e josepe estubo alli ya|quanto en aquel castillo	e la guardarono in gran carità “tanto|ch io la conquisi a molto gran pena|; s	⁊ chiestien nez les sarrazins du chasteau|Gi demoura ioseph a la uille grant piece
116|117|118	si refindrent laiens l espee|et la garderent a grant chierté|tant que je la conquis oan a molt grant paine	si retindrent laienz lespee|& la garderent en grant chierte|tant que ge la conquis com a grant paine	e despues partiose ende|e desque dende se partio josepe finco alli la espada a gran honrra fastaque yo la conquise		Et quant is sen partist ilz retindrent lespee a grant chierte tãt|que ie la conquis ouan a moult grant peine
119	Et bien sachiés	& bien sachoiz	e sabed	e ben sapiate	
120	que je i oi molt grant travail ains	que gi oi moult grant trauail einz	que yo oue ante gran trauajo	ch i' v ebbi molto gran travaglio inanzi	
121	que l euisse par devers moi;	que ge le leusse par deuers moi	que yo la lleuase sobremy	ch io l avessi	
			e vien vos digo		
122	et puis	Et puis	que despues	e poscia	Et puis
				ch io l ebbi	
123	que je l oi vos di je bien qu ele ne fu traite del fuere iors orendroit:	que iou loi conquise ne fu elle traite fors ore	que la yo ove|que nunca fue sacada de su vaina saluo agora	vo dich io bene|ch ella non fu tratta del fodero forse oraindiritto	
				Si lla porto tutto giorno con esso meco	
				perch io credo	
124	si la port aventure trover celui	si la port toz iorz ouec moi|por ce	e yo la traigo cada dia conmigo|porque cuido fallar	per alcuna strana aventuTa|trovare colui	
		que ge cuidoie par aucune auenture trouer celui			
125	qui la rejoinsist	qui la reioinsist	por auentura aquel quela a de juntar	che lla risaldasse	
126|127	et mesmement de yos avoie je grant espoir|que vos la rejoin¬ sissiés	& meesmement de uos auoie ge grant espoir|que uos la reioinsissiez	mas en vos mesmo auia muy gran fiança quela auiades de juntar	Medesimamente di voi avea io grande speranza|che voi la rigiugnesse	
128|129	kar il n est encore de nul chevalier|si grant parole come de vos;	quar il nest encore de nus cheualer|si grant parole comme de uos	ca no ay agora enel mundo|que yo sepa cauallero de tan gran nonbardia|como vos	ché non è ancora di nullo cavaliere trasi gran parola come di voi	
130|131	et quant vos i avés failli je ne sal|qui í puisse recovrer	& quant uos y auez falli ge ne sai	e pues vos auedes aqui fallesçido no se quien pueda esto acabar agora auedes oydo	;|e quando vo' v avete fallito|io non so a cui mi possa ricoverare	
132|133|134|135	Or avés oi|por quoi ele saine t|por quoi je port ll|espees	qui i puist recourer ore aues oi porcoi elle saine	que esta espada es|ansi e	Ora avete udito perch ella sanguina|e perch io porto due pade	quel ay conquise uous dis ie bien|que elle ne fut traicte dehors
136|137	Et savés vos|por quoi je m agenoillai devant li	Et ce porcoi ie magenoillais	porque traigo dos espadas y sabedes|porque me ynojaba ante ella	E sapete voi perch io m inginocchio davanti lei	¶ Mrauez oup pour quoy elle saigne
139|140|141|142|143	por ce|que ¡e sai bien qu'ele est sainte|kar par|si seront achevees es aventures del saint Oraal|et maint miracle en ai e veu	cest pour chou quele est sainte	porque se bien|que es cosa sancta|ca porella seran acabadas las auenturas del sancto grial pues tal milagro della a de venir	? Per ciò|ch io so bene|ch ella est santa cosa|e che per lei fieno acivite l aventure del Santo Gradale|e molti miracoli n ô io veduti poscia	⁊ sauez uous pour quap ie ta poite: source q̃ ie scaybien q̃ elle est saincte
144|145|146|147|148	puis que je la portai premierement||Et por quoi fet Hestor le baisastes vos|? —|Por ce fet il	Et porcoi fet hector le baisastes vous|por ce fet il	e yo la traxe primeramjente|e porque dixo estor la vesastes	ch io la portai primieramente|— E perché|disse Astor|la basciaste voi|? — Per ciò	Et pour quoy fait hector la baisastes uous
				diss elli	
149|150	que le jor|que je le baise ne recevrai je mortel plaie;	que le iour|que iou le baise ne receuerai iou la mortel plaie	porque el dia quela vesare no rresçibire llaga mortal	che giorno|ch io la bacio non riceverò io mortale piaga	Pour ce fait il q̃ le iour q̃ ie la baiserap ie ne receuray mortelle plaie
151	et quant je dis ore a mon seignor Gauvain qu il m avoit de mort rescos ne me menbroit il pas de l espee		e quando yo dixe adon galuan|que el me auia librado de muerte no me acordaua desta espada agora me deçid dixo don galuan	e quando dissi ora a monsignor Galvano|ch elli m avea di morte riscosso non mi ricordava elli passo niente della spadas	
152|153|154|155|156	— Or me dites fet mesire Gauvain comment vos avés non|— Certes fet cil j ai non Eliezer|si sui fiz al Riche Roi Pescheor|qui tient le saint Graal en sa maison|—	Or me dites fait mesires Gauuain|Comment vous aues non|Certes fait il iai non helysezler|?|li fils au riche roy pescheor|qui tient le saint Graal en sa maison	como auedes nombre señor yo he nombre eliascar el fijo del rrico rrey pescador|que tiene el rrico grial ensu casa pues enque demanda andas dixo don galuan çierto yo ando en demanda de juntar esta espada	— Or mi dite|dice monsignor Galvano|disse elli|i' ô nome Eliezer|si son figliuolo del Ricco re Pescatore|che tiene il Santo Gradale in sua magione|— E	Or me dictes fait messire gau uain cõment uous auez nõ|Certes dit il iay nom helpe le filz du roy qͥ tiẽt le saĩt graal en sa maison
				come voi avete nome	
				— Certo	
157|158|159|160|161	Et qu aliés vos querant|? fet mesire Gauvain|— Certes iet cil je vos aloie querant|por ceste espee Ejoindre har je cuidoie bien|que vos n'i fausissiés pas;	Et que ales vous querant fait mesires Gauuain|Certes fait helysezler ie vous aloie querant pour ceste espee reioindre	e agora vos dire|que fare dixo don galuan ya vos oystes|que somos metidos enla demanda del mejor cauallero del mundo donde non sabemos	che andate voi cheggendo in questo paese|?|disse monsignor Galvano|— Certo|disse Eliezer|io voi andava cheggendo per la maraviglia di questa spada mettere a fine|e risaldare questa brisciatura|ch io credeva bene|che voi non vi fallaste	Et q̃ q̃rez uoꝰ dist messire gau|Ie uous qͥer dit il pour reioĩdre ceste espee
162|163	et puis|que vos i avés failli je cuit bien	Or vous dirai fet mesires Gauuain		; Pe poscia|che voi v avete fallato|io credo bene	Ie uoꝰ diray foit messire gau
164	que chevaliers n i aviegne mes a piece			che cavaliere non ciaverà mai in pezza	
165|166	|que vos lerois	que vous feres	si es muerto	ll me— Or vo dirò io|disse monsignor Galvano|che vo farete	q̃ uous ferez
167|168	ll est voirs|que nos somes meu en la queste del nellor chevalier del monde	Il est uoirs|que nous sommes esmeu en la queste del mellor cheualier del monde	si vibo	: egli è vero|che noi siamo movuti in chesta per lo miglior cavaliere del mondo	Nous sõ mes esmeuz en la q̃ste du meilleur cheualier du mõde
169	dont nos ne savons rien yil est mors ou vis	dont nous ne sauons sil est mors ou non		donde noi non sapiamo s egli è morto o s egli è vivo	
170|171	et por ce vos loeroie je en droit conseil|que vos venissiés avec nos	Si vous loeroie en droit consel In|que vous lvous en uenissiez aueques moi	e ansi vos lo aria|por derecho consejo|que andubiesedes con nosotros fastaque lo fallemos	e perciò vo loderei io in diritto consiglio|che voi veniste con esso noi	si uous loeroie en droit conseil q̃ uꝰ uenissez auecques nous tãt
172	tant que nos l euissons trové ou loing ou pres se trovez puet estre	tant que nous leussons troue|& se nous le trouons fait il	si fallado puede ser|e yo se bien	tanto che noi l avessimo trovato|o lungi o presso	que nous leussõs trouue se trouuer le pouons
				se trovar	
				si puote	
					
173	Et ¡t sai bien qu'il achevera ceste aventure se mortels proesce í puet avoir mestier	sachies quil achieuera la besoigne|se mortel proece y puet auoir mestier	que aquel cauallero aCabara esta auentura|si mortal proeza y ha menester	ch elli accivirà questa aventura|se mortal prodeza vi può avere mestieri	⁊ ie scay bien|que celui acheuera la besongne se mortelle proesse y pouoit auoir mestier
174|175	— Ki est cil fet li chevaliers|que vos dites	Qui est cil fait helysez ler	e quien es ese dixo eliazar	— E chi è colui|disse el cavaliere|che vo dite	Qui est cet ui dithefie F|iiii
176|177	qui tant est de haute proesce|? — Cest fet il mesire Lancelos del Lac	qui est de|si haute proece|Enon dieu fait mesires Gauuain cest mesire lancelot del lac	que es detan alta proheza Dixo galuan Lançarote del lago	che tanto est d alta prode za|? — Ciò êl|disse monsignor Galvano|Lancellotto de Lago	qui est de|si haulte prouesse|fait monsigneur gauuain cestlancelot du lac
178|179	|kar Fres al pas le crgé ams men iel la	Par foy fait helysezler en la uostre queste ne me metrai iou ia	Por buena fe dixo el envuestra demanda no me metere|ca no he dello liçençia antes me yre donde me vine	el figliuolo del re Bando di Benoic— sePer mia fé|disse quelli|in vostra chesta non mi metterò io mica|ch io non ò passo el comiato|anzi me n andrò là dond io vegno	par ma foy fait cellup en uostre queste ne me mettrap ie point
180|181|182|183	dont je nui; mes se vos le trovés nul lieu|si li poés dire|que s il velt ceste espee veoir|si viegne tot droit chiés le Riche Roi Pescheor lkar iluec porra il l espee trover	quar iou nen ai mie le congie|mais se vous le troues en aucun lieu|si li poes dire|que sil veult ceste espee reioindre quil viengne en la maison au riche roy pescshleor	mas si lo vos fallaredes en algund lugar vosle podredes vien dezir|que si quisiere esta espada ver|que venga a casa del rrico rrey pescador|que ay la fallara	; vma se voi el trovate in nullo luogo|si gli potete dire|che s elli vuole questa spada avere|si vegna tutto diritto a casa el Ricco re Pelles|ché nel luogo potrà elli questa spada averes	car ie nen ap mie le cõgie|mes se uous le trou ues en nul lieu|si lup dictes q̃ ce il ueult ceste espee reioindre|si uienne chiex le toy pescheur|car illeuc la pourra trouuer
		quar illueques me porra il trouer			
		& ueoir			
184	Et lors les commande a Dieu	Et lors lez commande a dieu	e encomendolos a dios	Allor gli comanda ardDio	et ueoir|Et lors le cõmanda a dieu
185	si s en vet entre lui	si sen uait entre lui	e fuese el	e se ne va sua via intra lui f	Si sen ua luy
186	et la pucele	& la damoisele	e su donçella	e sua pulcella	et la da¬ moyselse q̃ mõsigneur gau
				che molto era bella cosa a vedere	
187	et l escuier	quis monseignor Gauuain amena illuec|& sen vont chies le riche roy pescshleor	e su escudero	e lo scudieri	amena la
					et sen uont chiex le riche roy pescheur
188	et mesire Gauvain se depart de ses compaignons	Et mesires Gauuain se depart de sez compaignons	e don galuan se partio desus conpañeros	ME monsignor Galvano|si diparte da suo compagnoni	⁊ mõsigneur gau|sen part de ses cõpaignons
189|190|191	si aquelt son chemin tos sols|et chescuns des autres fet autretel|Mes ore se taist li contes d els tos	Mais atant se taist ore li contes daus tous	e los otros se partieron vnos de otros cadavno porsu camino|mas agora dexa el cuento de fablar destos	si accoglie suo camino tutto solo|e ciascuno degli altri fanno altrettale	et prent cha¬ scun sonchemin|Mes ores se taist le cõpte de eulx
192	et parole d Agloval premierement Or dist li contes que	et parole dagloual tout premierement Chou dist li contes	e fabla de agraual Mas agora dexa el cuento de fablar desto|e torna a contar de agraual Agora dize el cuento		et parle de agloual premierement
193	quant Agloval fu partis de ses compaignons qu il erra tot le jor entier sans aventure trover	que quant agloual se fu partis de ses compaignons quil erra toute ior sans auenture trouuer	que quando agraual se partio de sus conpañeros|que andubo todo aquel dia sin conpañia ni auentura fallar		Tõme agloual cõquist griffon du mau¬ pãs|⁊ deliura bieu se senechal de prison
194	qui face a amentevoir	qui a conter face	que de contar sea tanto		E
195	Et la nuit iut en la maison a un hermite molt preudome	La Anuit uint a la meson dun hermite	que vino a casa devn hermitaño muy buen omne		u|E compte dist
196|197|198|199|200|201	qui son pooir fist la nuit de lui aaisier a|L endemain se leva matin|et erra totes voies|et ensi cercha la forest|et de Ionc|et de lé	ou il herberga la nuit|Et lendemain se leua bien matin|et erra|iiij|iors parmi la forest de lonc|& de le Au quint ior entra en	que lo fizo seruir aquella noche a todo su poder|e otro dia se leuanto de mañana|e andubo tal avna floresta de luengo|e de ancho tanto		que quant agloual l se fust parti de ses cõpaignõs qui|? erra tout le iour sãs aduãture trou uer|qui a cõpier fache
202|203	tant que ce vint al cinquime jor qu il vint un poì devant vespres en I|estroit sentier	j|sentier estroit	que al quinto dia vino a vn sendero estrecho ante de visperas entonçes encontro vn cauallero		il all a cheulx ung her mite|et se herbega leans
