a	b	c	d	e
10|11|12|13|14|15	ne exercitus|per insidias hostium periclitetur in via|Possumus autem|quantum ad praesens spectat|octo cautelas enumerare|: quas debet dux belli retinere memoriter	por que la hueste|por assechos|e por celadas de los enemigos non resçiban periglos en el camino|· Mas nos podemos|quanto pertenesçe a lo presente contar ocho cautelas|· las quales deue el caudiello de la batalla retener en ssu memoria	ķat ķe oost falle not in peril by boschementes of enemyes isette in ķe wey oķer by sides ķe wey|And as it longeķ to ķis doynge we may reÞene eigte cautels|ķat ķe duk of a bataille scholde haue in mynde	e les qualitats de les carreres|e les dreceres|e les torres|e les montanyes|e les aygües qui en aquell camí són|; ans|si|·l regidor de la host havia aquells camins	:|e guardarse mucho de los enemigos|E deue el cabdillo de la fazienda tener en su memoria ocho cautelas
16	ut saluetur vita pugnatorum	por que se salue la uida de los lidiadores	for to saue ķe wey of figtynge men	e aquells passos	para guardar a sy
				e aquell flums pintats	
17	qui sunt sub ipso	que son so el	ķat ben vnder hym	axí que quax guardant ab los ulls vehés en qual manera la host degués anar|pus segurament ell puria dur o guiar la sua companya	e a los suyos de los enemigos
18		· La primera es	Firste	Quar axí o fan los mariners|quar ells	
				vehent los perills de la mar	
19|20	ut sciat itinera regionum|per quae exercitus proficisci debet	que los caminos de la tierra|por do ha de yr la hueste deue tener el cabdiello escriptos	ķei scholde haue iwrete ķe weyes of contrées by ķe whiche ķe oost schal passe	perquè les lurs naus no prenguen mal en perill|serven la mappa o la forma de la mar on són scrits los ports de la mar|e les altres coses semblants segons proporció	que deue saber los lugares|e los caminos pordo ha de passar
				e	
				·lls perills de la mort	
21|22	: et interualla locorum|et qualitates viarum	·|assi que los valles de los logares|e las qualidades de las carreras	and ķe space betweyne place|and ķe manere of weyes and paķes and turnynges and wyndynges|and ķe monteyns and reuersķat ben inķe wey	les quals coses guardant|los mariners tant tost conexen en qual manera deuen anar|e en qual loch són	: elas calidades de las carreras
		e los fuertes passos de los caminos			
23	compendia et diuerticula	e los departimientos de las carreras|e los destaios	And gif he mygte|[ķ]e [duk of ķe oost] scholde haue ķe paas	e de quals coses se degen guardar|Perquè	:
				com	
				per rahó de les espies dels enamichs	
				quar a Ètiques	
				cap	
24	et montes	e los montes	(mounteyns	aytants o encara a més perills sia posada la host en lo camí en terra|que no los mariners en la mar	e los montes
					:
25|26	et flumina existentia in itinere illo debet habere conscripta|Immo	e los rios|que son en aquel camino todos los deuen tener escriptos|·|Ca avn	) and reuers	en enguna manera la host no deu anar|per alguna carrera en la qual pusca haver espies si|·l regidor no ha escrites|e encara pintades	e los rios|: elas encruzijadas|:|e los lugares sospechosos
				les qualitats o les condicions dels camins	
				les muntanyes	
				les aygües	
				e les altres coses qui són trobades en aquell camí	
				La ii cautela és	
27|28|29	si viae illae|et passus|et flumina dux exercitus haberet depicta	si podiesse ser|que aquellas carreras|e los passos|e los rios el cabdiello de la batalla pudiesse auer pintados|·	(tornynges and wendynges|) discreued and ipeynt in parchement oķer in a clooķ	que ab ço|ensems|que ell ha les carreres|e les condicions de les carreres escrites o pintades|duga lo guyador o|·l regidor de la batayla altres ensems guiadors qui sàpien bé aquelles carreres	E sy puede ser|todo lodeue tener escripto epintado
30|31	quasi oculorum aspectu prospiceret qualiter exercitus deberet pergere|tutius posset suum exercitum ducere	assi que|por vista de los oios catasse en qual manera la hueste pudiesse andar|· Mas seguramente podria guiar su hueste	ķat he mygte as it were isee wiÞhis eyge how Þe oste scholde passe and how he mygte beste lede his oost saafliche	que moltes vagades|per aquelles sien passats|e hagen experiència o conexença d aquelles	: assy
32	Sic etiam marinarii faciunt	por que assi lo fazen los marineros	For so doķ schip men	quar veure algunes coses fetes	como lo fazen los marineros
33|34|35	qui videntes maris pericula|ne eorum naues patiantur naufragium|descripserunt maris mappam ubi portus marini	·Ca veyendo los periglos de la mar|·|por que las sus naues non sufran periglo pintaron|e escriuieron la mapa mundi de la mar en la qual son escriptos los puertos de la mar	ķat seig ķe periles of ķe see|For to saue here schippes fro schip breche ķe[i] hauen a clooķ	e pintades no són axí manifestades com|si nós vèhiem aquelles|per si matexes sensiblement|quar major conexença és de la cosa aquella|per a qual és coneguda en pintura o en seu semblant	quando han de passar la mar|por lugares peligrosos|Tienen pintada la marca del mundo
				; emperò	
				per tal	
36	discrimina maris	e los periglos de la mar	ķat hatte mappa maris	que aytals ensems guyadors no tracten alguns fraus o algunes traycions|lo guiador o	e de la mar
37|38|39|40	et cetera talia proportionaliter sunt descripta|qui marinarii intuentes|statim percipiunt qualiter debeant pergere|et in quo loco existant	e las otras cosas tales|que son con razon pintadas las quales catando las los marineros luego entienden en qual manera deuen andar en la mar|e en qual logar son	ķe clooķ of ķe see and lettes and periles ķerof and oķere suche thinges|And schip men loÞen ķeron and knowen anon how ķei scholde wende and in what place ķei ben and where of ķei mote be waar	·l regidor deu posar a ells bones guardes|que no pusquen fugir|; encara deu a ells manaçar de mort|si en alguna cosa fahien o trayció|o deu lus permetre dons|si ells són fàcils al príncep|La iii cautela és	:|do estan los puertos escriptos|:|e los malos passos de la mar|E teniendo mientes al Mappa mundi saben|como han de yr porla mar|e en|que lugar estan
				que ell hagya	
				si matex hòmens exercitats en batayles de conseyl dells quals faça tot ço	
41	et a quibus debeant se cauere	e de quales cosas se deuen guardar	Panne	que conexerà|que degya ésser fet	
42|43|44|45	Quare propter insidias hostium exercitus tot quasi|vel etiam pluribus periculis exponatur in via quam nautae in mari|nullo modo debet exercitus pergere|per viam aliquam in qua pati possit insidias	por la qual cosa commo|por los assechos de los enemigos la hueste sea puesta a tantos|e a mayores periglos en el camino|que los marineros en la mar|· Et en ninguna manera la hueste non deue yr|por ninguna carrera en la qual puede rescebir daño de los asechos de los enemigos nin de las çeladas	for boschementg of enemyes an oost is in as manye perils oķer in mo perils in Þe wey ķan schip men in ķe see|in no wise an oost scholde passe by a wey in Þe ļ whiche may be perel but ķe duÞe of Þe oost haue discreued and ipeynt ķe manere of weyes	quar la on corre tant perill negun no|·s deu fiar en són cap propri creure a|·ls camins|per los quals la host deu passar no sien sabuts publicats|quar menys lo conseyl del guyador o del regidor és públich tant menys són empatxades o torbades aquelles coses qui són determanades o deliberades en los conseyls|e abans són vengudes a deguda fi|Depús	: ecomose han de guardar de los peligros
				donques	
				que és deliberat o determanat	
				si matex tot sol	
				La iiii cautela és que	
		si el cabdiello de la batalla non ouiere escriptas			
46	nisi qualitates viarum	· o pintadas las qualidades de los caminos		per quals vies o|per quals canvis la host deu anar	bien assy los
47	montes	· et los montes	mounteyns	e|·l regidor ha aquelles vies escrites	que van en la hueste deuentener todos los lugares peligrosos en su memoria o escriptos
48|49	flumina|et cetera reperta in ipso itinere habeat dux conscripta etiam et depicta	e los rios|e las otras cosas tales|que pueden ser falladas en aquel camino	and reueres	e pintades|e hom ha alguns faels guyadors|quant menys açò és públich	por que los non puedan saltear los enemigos ni fazerles daño en los caminos
50|51	|ut simul cum hoc quod habet vias et qualitates viarum conscriptas et depictas	· La segunda cautela es|que el señor de la batalla con esto|que dicho es|que deue auer las carreras|e las qualidades de los caminos escriptas	and oķere thinges	e és mesclat als enamichs tant més la host va segurament|	|:
		e pintadas			
52	ducat dux belli conductores aliquos bene scientes vias illas	· avn ayan otros guiadores|que sepan bien aquellas carreras	ķat ben in Þe wey|Pe seconde cautel is	e en quescuna host alguns cavallers molt faels	que deuenauer consigo guiadores|que sepan bien todas aquellas carreras
53|54|55|56	qui pluries|per vias illas perexerint|et experti sint illas|Nam videre aliqua conscripta et depicta non sunt ita nota	e aquellos saltos|e que ayan andado muchas vezes|por ellas|e que las ayan prouado|·|Ca ver algunas cosas escriptas|e pintadas non son	ķat Þerwik|ķat he haķ weyes and manere weyes discreued and ipeynt	e molt forts qui hagen cavalls leugers|e forts qui davant|e darrere	e los passos peligrosos|Ca maguera ellos lo sepan o los tengan escriptos
57|58|59	sicut|si per seipsa sensibiliter videmus ipsa|Nam potior est cognitio rei	assi sabidas commo|si las viessemos senssiblemente en|si mesmas|·|Ca mayor es el conoscimiento de la cosa	[ķ]e duk of bataylle scholde haue guydes	e a la part dreta|e a la part esquerra córreguen|e deleren|e descobren les espies|amagats d alguna part|no façen mal a la host	: mejor los sabra aquéllos
				; quar	
				si encara lo conseyl del regidor no era manifest a negun	
				emperò tant tost com la host comença	
				per algunes vies pendre camí	
				pot hom conjecturar o conèxer	
				per quals partides ella degya anar	
				per ço	
				que alguns enamichs	
60|61	per quam cognoscitur in se ipsa|quam cognoscitur in pictura	por el qual la sabemos en|si mesma|que aquel conosçimiento|por el qual es sabida en pintura	ķat knowen wel Þe weyes and hauen ofte ipassed Þerby	E|per tal com és cosa semblant de ver|que en tots temps en tals fets són algunes espies|lo regidor de la batayla deu cogitar	que los han andado|e prouado muchas vezes
				que açò puria venir a les oreyles dels enamichs	
62|63|64|65|66	vel in alio simili|Ne tamen conductores moliantur fraudes aliquas|debet circa eos dux belli bonas apponere custodias ne possint fugere||si in aliquo fraudulenter se habeant	o en su semeiança|· Enpero|por que los guiadores non puedan fazer algunos engaños deue el señor de la hueste poner en ellos buenas guardas|porque non puedan foyr|· Avn deuen los amenazar de muerte|si en alguna cosa se ouieren engañosamente	For sigt of thinges|ķat ben discreued and ipeynt maÞen not thinges so wel iknowe as ķei ben iknowe by hemself gif we seen hem in dede|for kynges ben iknowe bettere by hemself gif ķei ben iseye in dede ķanne by peynture and liknesse ķerof|Neķķelees leste ķe gydes caste fraude and gyle	e per amor d açò|com los perills qui són prevists promoguen menys|per ço|que no hagen greuge|·lls meylors bataylers de peu de la qual part hom creu|que sia appareylat major perill|e|si hom se dupta de tota part del perill|de totes parts deuen ésser donats remeys|La vii és|que la host no vagya escampadament|quar	E porque|por estos guiadores a las vezes podrian ser engañados|: deuen enbiar con ellos buenas guardas|que los non dexen fuyr|E deuenlos amenazar de muerte sy alguna falsedad fiziesen
				per nenguna part	
				per no previsió o menys cura	
				La vi és	
				que tots temps d aquella part de la host sien posats los pus valents cavallers e	
				aytals spies deuen ésser descoberts	
				per cavallers lleugers	
67	et promittere dona	e deuenles prometer dones	ķe duÞe schal sette aboute hym good Þepynge and warde	trencada la host|pus leugerament és combatuda o vençuda	E deuenles prometer muchos bienes
68|69	si se fideliter gesserint|	si fueren fieles a su prinçipe|· La terçera cautela es	ķat he mowe not scape and flee	quar en quescuna hora la host se deu haver|que si lavors los enamichs eren presents no poguessen a ells fer mal	si fueren buenos|e fieles|
70|71|72|73	habere secum plures sapientes fideles principi|exercitatos in bellis|de quorum consilio agat quicquid viderit ipse dux belli esse fiendum|Nam ubi tantum currit periculum	que el cabdiello aya consigo muchos sabios|e fieles al prinçipe|e vsados en las batallas de cuyo conseio faga todas aquellas cosas|que ouiere de fazer|·	Also he schal manase to slee hem gif ķei don eny gyle and byhoote hem good giftes gif ķei doun wel and treweliche|Pe ķridde|ķei scholde haue wik hem manye wis men and trewe to ķe prince and ivsed to bataille|and do by here counsaille al	e|per tal|diu hom proverbialment|que aquell qui és guarnit no és scarnit|lo guiador o|·l regidor de la batayla o de la guerra al qual és comananda la vida de tants deu ésser ajust	e muy fieles|e muy vsados en las faziendas de cuyo consejo faga todo lo
				Tots temps	
				donques	
74|75|76	nullus debet inniti proprio capiti|nec credere sibi soli|	Ca do puede contesçer tan grant periglo ninguno non deue esforçar se en su cabeça propria nin creer a ssi mesmo solo|· La quarta cautela es	ķat is to doynge|For in so greet perel no man scholde triste to his owne witte noķer in hemself alone	e veytlant|que los enamichs no pusquen esvahir ell axí com a neglicgent|e durment|Deuen encara lo regidor de la batayla	que deuiere fazer|Ca do tan grand peligro aycomo en la fazienda nin gund principe non deue creer a symesmo nin a su cabeça|
77|78|79|80|81|82|83	ut itinera ignorentur ab hostib|per quae debet exercitus proficisci|Nam consilium ducis|quanto minus est publicum|tanto quae sunt in consiliis deliberata minus impediuntur|et citius fini debito mancipantur|Postquam igitur deliberatum est	que los caminos|por do deue yr la hueste non deuen ser sabidos de otro|·|si non del cabdiello|e de los conseieros|quanto menos es publicado tanto aquellas cosas|que son libradas en los conseios menos son enbargadas|mas ayna son aduchas a su fin conuenible|· Et|pues que assi es despues|que es librado	The Governance of Kings and Princes Pe ferķe cautel is Þat Þe weyes scholde be vnknowe by Þe whiche Þe oost scholde passe|For ķe more preueye ķe duÞes counsaile is|Þe lasse ķerof ķe ordinaunce is ilette and comeķ ķe bettre and Þe sonere to good ende	e|·ls centurions e|·lls degans altres qui són sobreposats a les faenes o a les obres de les batayles tots temps amonestar los cavallers e|·lls hòmens de peu|que sien appareylats a les armes|axí que|si s esdevenia alguna invasió sobtosa|ells poguessen contrastar als esvaydors|que s esdevengués algun esvayment sobtós|ell seria quax previst|e donaria o feria menys de dampnatge|La viii cautela és pensar o guardar la host en quals és pus habundant|si habunda més en homes a peu o en homes a cavall	que el cabdillo de la faziendadeue guardar en grandporidad todas las cosas|que ordenare con sus sabios|: en manera|que non sea sabido
				quar	
				dyent en aquesta manera	
				posat	
		·			
		Ca el conseno del cabdiello			
84|85	per quas vias debet exercitus pergere|et vias illas Dux habet conscriptas et depictas	por el conseio|por quales caminos deue yr la hueste|e aquellas carreras touiere el cabdiello escriptas|e pintadas	And whanne it is iordeyned in what weyes Þe oost scholde passe and Þe duÞe haķ thulÞe weyes discreued and ipeynt and haķ goode gydes and trewe	quar los cavallers meylors s esdevenen en los camps|mas los homes a peu meylor se deffenen en lo lochs salvatges	que camino han de tener|E asy se podra mejor guardar del daño
86	et habentur conductores aliqui fideles	e ouiere algunos omes bguiadores fieles	Þe more preueye	e montenyoses	que les podria venir
				E per amor d açò	
				segons que	
				·l gyador o regidor de la batayla la veu	
87|88|89	quanto hoc minus est publicum et magis celatur ab hostib|tanto exercitus magis secure proficiscitur|	quanto esto menos fuere publico|e mas fuere çelado a los enemigos tanto la hueste|mas seguramente andara|· La quinta cautela es|que deue el señor de la hueste en cada conpaña	ķat is|andÞe lasse iknowe to ķe enemyes	si matex habundar en homes a cavall|porà elegir vies o carreres campals|e amples|e muntanyosos|e salvatges	quando los enemigos non supieren sus caminos|
90|91	in quolibet munimine|et in qualibet acie habere aliquos equites fidelissimos et strenuissimos	e en cada vna az auer vnos|caualleros muy fieles|e muy estremados	Þe | more siÞereliche Þe oost may passe Pe fifte [i]s to haue in eche ward and in eche schiltrom trewe hors men and strong and orpede	e altres coses|segons	que deue auer en cadahaz algunos caualleros muy sabios|e muy buenos|e muy fieles|:
92	habentes equos veloces et fortes	que ayan cauallos muy ligeros|e muy fuertes los quales vayan en la delantera	ķat hauen swift hors and stronge		que ayan cauallos muy fuertes|e muy ligeros
93	; qui ante et a tergo	e en la çaguera|e en las costaneras	ķat scholde priÞe forkward and bakward		que vayan en la delantera
		que demuestren			
94	et a dextra et a leua percurrant	e descubren los assechos|e las çeladas	li[ft]som and rigtsom|and in eche side a discouere[n] Þe contrey and buschementes leste som enemy ligge in awayte to aspye in what side Þei mygte greue Þe oost		e en la çaguera|e en las costaneras
95|96	|ne hostes aliqui latitantes ex aliqua parte molestent exercitum	por que los enemigos sy yoguieren ascondidos en alguna parte no pueden fazer daño en la hueste	For Þei no men knewe Þe duÞes counsaile|gut|for ķe oost begynnek to passe by som weyes|som man may gesse by what weyes ķei scholde passe		: descubriendo tierra|por que los enemigos non esten en algunas çeladas
					por fazer Del tercero libro
					ccxxxiii daño a la hueste
97		·			
98|99	eo tamen ipso quod|per aliquas vias incipit exercitus iter arripere	Ca maguera quel conseio del cabdiello non sea sabido a ninguno|· Empero luegoque la hueste comiença a mouer	for it is to trowynge|ķat alwey in suche doynge ben spies|ķe duÞe of ķe bataille scholde thenÞe		:
100|101	coniecturari quis potest|per quas partes debeat proficisci	por algunos caminos pueda cada vno asmar|por quales partes ha de yr|· Et	ķat it mygt|also be knowe to ķe enemyes		que el cabdillo de aquella partedeue poner los mejores
		por que es cosa prouada			
102	Et quia probabile est semper in talibus aliquos exploratores adesse cogitare debet dux belli quod et hoc posset	que sienpre en las tales cosas pueden ser algunos assechadores|e descobridores deue cuydar el senor de la hueste	Also		e mas fuertes caualleros donde cuyda|que puede venir mayor peligro a la hueste
		que avn este podria venir en las oreias de los enemigos			
		· Et			
		por ende			
103	ad aures hostium peruenire Itaque cum pericula visa minus noceant	por que los periglos|que son ante vistos menos enpeesçen	for ķe forseide perels scholde greue ķe lasse		E si de cadaparte temen auer peligro de cadapartedeuenponer los mayores remedios
		·			
104|105	per velocissimos equites sunt detegendae insidiae|ne exercitus circa aliquam partem ex improuiso patiatur molestias	por caualleros muy ligeros son de descobrir las çeladas|por que la hueste non aya de resçebir a desora en alguna parte algunos daños	ķe contrey and buschements scholde be discouered by most swift hors men leste ķe oost myte be greued vnwaar in eny side		que pudieren
106		· La sexta cautela es			
			ķat] % alwey in		
107|108	ut semper ex illa parte exercitus probiores milites et magis bellicosi pedites apponantur|ex qua creditur maius periculum imminere	que sienpre en aquella parte de la hueste deuen ser puestos los meiores caualleros|e los meiores peones en la qual cuydaren|que puede venir mayor perigso	ķat side in ķe whiche is most drede of perel scholde be ordeyned best knytes and best fityng foot men		:|que sienpre la hueste vaya apercebida
109|110|111	: quod|si ex omni parte de periculo dubitatur|undique sunt remedia adhibenda	· Et sy|por auentura dubdan de periglo de cada parte son de poner remedios	And gif drede is of perel in eche side|[in eche side] scholde remedie be ordeyned		:|e para esto deue el principe apercebir a todos los cabdillos
112		· La vij°|· cautela es	Pe seuenķe		e a todos los mayorales|:
113	ne exercitus disparsim vadat	que la hueste non vaya derramada|e desacabdellada	ķat ķe oost goo not out of ordre		que amonesten a sus caualleros
114	Nam interrupta acie facilius debellatur	·Ca el az derramada|e desacabdellada	For gif ķe schiltrom is disarayed		e a sus peones
		mas ayna es vençida			
		·			
115	In qualibet enim hora sic exercitus se debet habere	Por ende en cada vna ora se deue|assi auer la hueste	it is ķe sonnere ouercome|And alwey an oost scholde goo in suche aray so		que vayan siempre armados|e aparejados
116	ut si et tunc hostes praesentes adessent	e assi estar aperçebida|que si los enemigos fuessen pressentes non les pudiessen fazer daño ninguno	ķat gif ķe enemyes were present		porque si a desora vinieren los enemigos
					que los fallen aparejados
117	ei non possent efficere nocumentum	· Et	ķei myte not greue ķe oost		e no les puedan empescer|
					:
					que sienpre deue el cabdillo tener mientes en toda su hueste
118	Unde et prouerbialiter dicitur	por ende dize|e prouerbio	Perfore it is iseid in a prouerbe		si ha|mas caualleros
		que aquel			
119|120|121	quod qui est munitus|non est derisus|Semper ergo dux belli cui commissa est tantorum vita	que es preuiscoe aperçebido non es escarneçido|·Et|pues que assi es sienpre el señor de la batalla a qui es acomendada la uida de tantos omnes deue ser muy acuçioso	Qui est munitus non est derisus|: he		que peones|: o
122	debet esse attentus et vigilans	e despierto	ķat is iwarned and istrengķed is not iscorned		mas peones
			Panne alwey ķe duÞe of bataille		
			ķat haķ Þe charge of Þe lif of so manye men scholde be besi liehe iwaar		
123	ne hostes eum inuadere possent quasi negligentem et dormientem	por que los enemigos non puedan acometer los assy commo a negligentes|o adormidos	ķat enemyes falle | not as it were on oon Þat is negligent and slepynge		que caualleros
124	Debet etiam dux exercitus centuriones	· Otrossi deue ser el señor de la hueste|e el	Also ķe duÞe of an oost		E segund
		que es señor de çient caualleros			
125|126	et decani|et alii	e de diez deanes|e los otros	centuriones and decani		que viere
127|128|129	qui operibus bellicis praeponuntur|semper monere milites pedites|ut sint parati ad arma	que eran ante puestos a las obras de la batalla sienpre amonestar sus caualleros|e sus peones|que sean prestos|e apareiados a las armas	and oķere leders in dedes of bataille|scholde alwey menge and charge knytes and foot men to be alwey redy to fite so		que cumple|asi los deue ordenar
130|131|132	;|ut si contingeret aliqua inuasio subita|	por que si contesçiesse a desora|que alguno les acometiesse puedan defender se de los acometedores	ķat gif ķer happeķ eny rees|Þat Þei mowe sodeynliche|withstondehem|ķat|reseķ		:|e assi deueescoser los caminos
133|134	Sic enim dicendo|dato quod accideret aliquis repentinus insultus	·Ca|assi diziendo puesto	And gif ķei doun so|ķei ķer falle a sodeyn rees oķer asaugt		:
135|136|137	esset quasi prouisus|et minus praestaret nocumentum|	que contesçiesse algun rebate a desora menos les podria enpeesçer|por que estauan aperçebidos|· La	ķe ost is alwey as it were avised and enemyes scholde greue Þe lasse		ca los caualleros son mejores
138|139|140	considerare exercitum in quibus sit copiosior|utrum magis abundet peditibus|vel equitibus	·viij°|· cautela es penssar de quales ha mayor conplimiento la hueste de peones o de caualleros	Pe eigte cautel is to taÞe heede wheÞer in Þe ost be mo foot men oķer hors men		para los canpos
141|142	Nam equites melius se defendunt in campis|Pedites vero in locis syluestribus et montuosis	·ca los caualleros meior se defienden en los canpos|·|mas los peones meior en los riscos|e en los montes	for hors men defendeķ hymself best in feldes and foot men in wodes and in mounteyns		:
		· Et			
143|144|145|146|147	Itaque prout viderit dux belli se abundare in equitibus|vel in peditibus|eligere poterit vias campestres et amplas|vel montanas|syluestres	por ende|assi commo viere el senor de la hueste|que ha conplimiento de caualleros o de peones podra escoger los caminos de los canpos|e carreras anchas|o las de los montes|o de las siluas|o los logares de las montañas	And so as Þe duk of Þe batayle knowek Þat he haķ manye hors men oÞer foot men|he may chese large weyges by feldes oÞer by wodes and monteyns and oķer as he knowek Þat it is to doynge		e los peones|para los montes
148|149	et nemorosas|et alia prout nouerit expedire	e las otras cosas segunt|que entendiere|que mas le cunplen			e para los lugares altos
