,rome_W.txt,cat.txt,trevisa_norm.txt,Val_S.txt,gauchy.txt
40,sed potius diuino,ans més divinal,to say hym passyng|in kynde gouernans,por omne mas vino,et loy|Apres ce
41,huiusmodi petitio postulatur,aquesta petició és demanada|Quar,as it semeth clerelich that this peticion is iaxed by excityng of God|and nouʒt of man,por dios,que uous cest liure diligangment eussiez reguarde
42|43|44,Videtur enim Deus omnipotens|in cuius foemore scribitur|dominus dominantium,sembla que Nostre Senyor Déus Tot Poderós|en la cuxa del qual és scrit senyor dels senyorejants,It semeth that almygty God in whos hemme it is iwrete|Lord of lordes,paresce que dios es todo poderoso en cuya vestidura esta escripto Señor de los señores,Bien apert|que ceste requeste uous auez faite plus par mouement de dieu|que par mouement humain|et apert bien
45,et rex regum,e rey dels reys,and Kyng of kynges,e Rey delos rreyes,que dieu en cui poissance il est fait escrit: sires des sires
46,vestrae domus sanctissimae curam gerere specialem,de la vostra sancta casa tengua|e haja cura special,” hath special cure of ʒoure holy hous|for he inclyneth,que obo cuydado espeçial de la vuestra santa casa,et roi des rois ait especiale cure de votre sainte ligniee|et de uotre sainte maison
47,cum vestram pudicam,en so|que la vostra munda,that is|to say aboweth,quando enclino la vuestra limpia,quant il a encline
48,ac venerabilem infantiam inclinauit,e honrada infantea ha inclinada que,ʒoure chaste|and worthi childhode,e honrrada mançebia,et uotre enfance chaste|et honorable a ce
49|50,ut sequens suorum patrum|ac praedecessorum vestigia,seguint les petjades dels seus pares|e predecessors,to folwe the fores of youre forfadres,que signa las carreras de vuestros padres|e De vuestras madres|e de vuestros predescessores donde venides,que uous uoulez garder les bonnes loys|et les bonnes costumes du roiaume
51|52|53|54,in quibus peramplius|et perfectius viget|et viguit zelus fidei|et religio christiana,en los quals longuament|e perfetament fo cel|e amor de la fe|e de la religió christiana,in the whiche was gret|and parfite loue of the fey|And Cristene religioun desireth,en los quales siempre ha|e ouo muy acabadamente|e muy conplidamente zelo de fe|e de rreligion christiana el qual zelo,Et puissiez gouerner uotre roiaume selonc loy raison|non pas par mauuese uolente
55,non passione,no|per passió ne,to kepe,e amor Dela fe desea sienpre guardar las Reglas muy iustas non|por passion,ne par mauues mouuement
56|57,et voluntate|sed lege,per voluntat|mas per ley,and saue rigtful rules of the regne by wit|and lawe,nin por voluntad mas|por ley,et bien en siuez les fez de votre pere
,,e per rahó,,,
58,et intellectu regulas regni iustissimas cupiat praeseruare,les retgles|e les costumes justes del regne desija observar,and nougt by silf wille,e por entendimjento,et de uous ancesores es quiex parfaitement aresplendi toziors la sainte crestiente|et la foi de sainte Eglise
59|60,Hac igitur requisitione laudabili|et honesta,Donques yo|inclinat sens nenguna excusació|per aquesta loable|e honesta requisició,Than by this noble requysicioun|that is|to say bysechyng|and honest,Pues que asi es|por la vuestra petiçion muy loada|e muy honesta la qual rresçibio,Et pour ce ie enclinez sans escusance pour votre requeste loable e enamoree
61|62,quam mihi reputo in praeceptum|necnon,la qual reput a mi ésser manament|encara més,that I acounte|to me precepte|and commandement|and,por mandamjento|e avn,laquele ne tieng en commandement
63|64,et suffragante bono gentis|et communi,ajudant a mi lo bé de la gent|el bé comú,also for help of good men|and of the comyn profit,por que me A esto induze el bien dela gente|E el bien comun,e por bien commun
65|66|67|68|69|70,quod est diuinius quam bonum ali|quod singulare|irrecusabiliter inclinatus|(auxiliante altissimo|) delectabiliter opus aggrediar|ut vestra reuerenda nobilitas requisiuit,lo qual és pus divinal|que algun bé singular|anidant a mi l Altíssime|delitablement la obra començaré|segons la vostra honrada noblesa ha request,that is more godelich than eny synguler profite|I am inclyned|and ibend withoute recusacioun|that is forsakyng|to voide|an auenture with likynge on this worke by helpe of God as youre worthi nobelte hath requyred|that is bysouʒt,que es mas diuinal|que ningun bien espeçial|nin personal so inclinado|e mouido sin ninguna escusacion con la ayuda de dios de començar con buena voluntad esta obra|asi commo la vuestra nobleza alta demando,que le pueple ipuet auou|qui est plus granz e plus dignes|que nul bien singuler o laide de dieu faire cest liure delitablement|si comme uotre glorieuse noblece|qui est digne de toute emeur|et de toute reuerence ma requis
