0	avoir trové	Sire fait elle pour ce|que ie le uoudroie auoir trouue	0|1
51	et broche le cheval des esperons	et broche le cheual des esperons	55
52	et se fiert en l eve	et se fiert erraument en leaue	56
53	Et li chevals fu fors	et le cheual fu fort	57
54	si commence a noer	si commence a nouer	58
55	si tost com il ot terre perdue	si tost quil eut terre perdue	59
56	si l enporte d autre part de la rive a quelque paine	si lemporte de lautre part de ma riue a quelque peine	60
57	mais ançois ot beu de l eve li uns	mais ancois eut beu de leaue lun	61
58	et li autre	et lautre	62
59	et se li chevals ne fust	et se le cheual ne eust este	63
60	si buens noié fuissent ambedui	si bon ilz fuszent tous deux noyez	64
61|62	kar li chevaliers estoit pesans|por les armes qu il avoit vestues	car le cħlr estoit pesant pour les armes quil auoit uestues	65
63	Quant il fu de l autre part de l eve	Quant il fu de lautre part de leaue	66
64	si ne descendi pas ains cort vers cels	si ne descendy pas|ains court uers ceulx	67|68
65	qui la damoisele tenoient	qui tenoient la damoisele	69
66	et fiert	et fiert	70
67	si le premier qu il aconsieut qu il li met le glaive par mi le cors	si fort le premier quil actaint quil luy mect le glaiue parmy le corps	71
68	si l abat a terre	si labat a terre	72
69|70	et li autre s enfuient erraument|por ce	et les autres senfuyent erraument par ce qͥlz estoient desarme	73
71	que desarmé estoient		
72	Et la damoisele	Et la damoisle	74
73	qui delivree se voit se met a genols devant Boort	qui se uoit deliure se mect a genoux deuant boort	75
74	et dist Ha gentils chevaliers de Dieu soiés vos beneois	Haa gentilz cheualier fait elle|de dieu soyez uous beneist	76|77
75	quant vos m avés de mort rescosse	dont uous mauez de mort rescousse	78
76	et aorés en soit Diex	et aoure en soit dieu	79
77	quant il ceste part vos amena	dont il uous amena ceste part	80
78|79	kar cist gloton m euissent ja morte|— Damoisele fet il	Car ces gloutons meussent ia occise se uous ne fussez Damoisele fait il pour quot	81
80	por quoi		
81	? — Sire fet ele jel vos dirai bien	Sire fait elle ie le uous diray bien	82
82|83	mais que vos m aiés mise a sauveté|— Coment	mais que uous mayez mise a sauuete Comment fait il auez uous	83
84	? fet il		
85	Avés vos		
86	dont garde	donc garde	84
87	? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	Certes sire fait elle ia ne seray asseuree|tant que ie sache	85|86
		qui est le seigneur de ce chastel leans	87
88	kar c est li plus fel chevaliers del monde	car cest le plus fel cheualier du monde	88
89	et li plus traîtres	Coment boort se combaty pour la damoisele	89
90|91	A ces paroles voient issir I|chevalier del chastel	A cest parole voyent yssir ung cheualier du chastel	90
92	et la ou il vit Boort	et la ou il uoit boors	91
93	si li escrie Laissiés dans chevaliers la damoisele	si luy crie laissez sire cheualier la damoisele	92
94	que vos n enmenrois mie! Par mon chief mar le rescosistes	que uous nemmennerrez pas|par mon chief mal la rescoussistes	93|94
95	Si li cort quanqu il puet le glaive alongié;	si luy court sus tant comme il puet le glayue esloigne|Et boort le firrt	95|96
		si fort a son uenir	97
96	et Boors retrait son glaîve a lui del cors a celui qu il avoit ocis;	que lescu ne le haubert ne le garantist quil ne luy mecte fer|et fust parmy le corps	98|99
		Et cil cheit a terre tout estandu	100
		car plus na mestier de mire	101
		Et quant ceulx du chastel uoyent leur cheualier ainsi abatu	102
		si luy en enuoyent incontinant ung autre pour uenger celuy	103
		qui dist a boort quil se gardast de luy quil le deffioit	104
		et il dist quil le desfie aussi	105
		Lors trait son glayue du corps a celuy quil auoit occis	106
97	si laisse le cheval corre	si luy laisse aller le cheual	107
98	et le fiert	et le fier	108
99	si tres durement qu il l abat a terre	si fort quil labat a terre	109
100	si estordi qu il n a pooir de relever ains gist pasmés	si estourdy quil na pouoir de se releuer|ains gist pasme	110|111
101	kar il chai	car il fu cheu	112
102	si felenessement qu a poi	si felonnessement qua ponu	113
103	que la canole del col n'avoit brisee	que la chanole du coul ne luy eftoit brise	114
104	Et Boors li vet a cheval par desus le cors	Et boort luy uait a cheual par dessus le corps	115
105	tant que tot le debrise	tant que tout le debrise	116
106	Et lors est la damoisele	et lors est la damoisele	117
107	si liee qu ele ne puet plus	si liee quelle ne puet plus	118
108	et dist a Boort Sire nos n avons mes garde	et dist a boort|sire nous nauons	119|120
		mais garde	121
109|110	kar je ne cuit qu il eust plus de chevaliers çaiens|que cestui;	car ie cuidoie quil y eust leans plus de cheualiers quil ny a	122
111	si vos dirai ore seurement ce	Si uous diray seurement ce	123
112	que vos me demandastes n a encor gaires	que uous me demandastes	124
113	— Dites fet il	dictes fait il|par foy fait elle moy	125|126
114|115	et I|chevalier	et ung cheualier	127
116	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez	128
117|118	et quant li freres a celui|que vos avés abatu me vit	Et quant le frere a celuy quie uous auez ores abatu me uit	129
119	si me volt a force prendre	si me uoult prendre a force	130
120	kar il m avoit molt longuement amee;	car il mauoit longuement amee	131
121	si me prist al frain	si me prist au fraing	132
122	et m en volt mener a force mes mes amis se combati a lui tant qu il l ocist	et me uoult mener a force|mais mon amy se combaty a luy	133|134
		si loccist	135
123	Et quant cist	Et quant celuy	136
124	que vos veez ci ore vit son frere mort	que uous auez ores cy abatu uit son frere mort	137
125	si fist mon ami prendre a force de vilains	si fist prendre mon amy a force de uilanis	138
126	et de gens	et de gens	139
127	et l ocist en venjance de son frere	si loccist on uengence de son frere	140
128	Mais de moi	Mais il dist quil se uangeroit de moy pour	141
129	por cui Ses freres avoit esté ocis dist il qu il se vengeroit sans main metre;	qui son frere auoit este occis sans main mectre	142
130	si me fist prendre a ces ribaus	si me fist prendre a ces quatre ribaux	143
131	que vos veistes	qui uous ueistes	144
132	et lor commanda qu il me noiaissent	et leur commanda quilz me noyassent	145
133	kar par armes dist il ne vueil je mie qu ele muire ;	Car par armes fist il ne uueil ie pas quelle meure	146
134|135	si m'enmenoient|si com vos veistes morir	si me menoient pour mourir ainsi comme uous ueistes	147
136	quant vos me venistes secorre par la volenté de Dieu	quant uous me uenistes secourir|par la uoulente de dieu	148|149
137	et par la vostre	et par la uostre Or uous ay tout comte mon criement	150
138	si voldroie des Ore mes se vostre plaisirs estoit	si uoudroye desormais|si uostre plaisir estoit	151|152
139	que vos me menissois a salveté en un mien chastel	que uous me menez a sauuete en ung mien chastel	153
140	qui est ci pres	qui est cy pres	154
141	— Volentiers fet il	uoulentiers fait il	155
142	Si le prent par les bras	si la prent par les braz	156
143	et le monte par devant lui sor le col de son cheval	et la monte deuant soy sur le col de son cheual	157
144	si a geté son escu derieres son dos	si a gecte son escu derriere son dos	158
145	si s en vet cele part ou la damoisele li enseigne	et sen uait celle part ou la damoisele luy enseigne	159
146|147	tant que ce vint aprés midi qu il voient en un tertre I|bel a chastel	tant que ce uient apres medoy quilz uoyent deuant eulx en ung tertre ung meoult bel chastel	160
148|149	et lors ataignent Il|escuiers	et lors actaignent deux escuiers	161
150	qui issoient d un bossel	qui yssoient dung boys	162
151	et aportoit chescuns venoisons trosee detriers soi	et chascun aportoit uenoison troussee derriere soy	163
152	Quant il virent la damoisele	Et quant ilz uirent la damoisele	164
153	si descendent a pié	si descendirent a pie	165
154	et li font grant joie com a celi	et luy font moult grant ioye comme a celle	166
155	qui lor dame estoit	qui leur dame estoit	167
156	mais molt se merveillent de ce qu il la virent plorer:	mais moult se merueillent de ce quilz la uirent plourer	168
157|158	si li enquierent|que ele a	si luy enquierent quelle a	169
159	Et ele lor dit comment ses amis avoit esté ocis	et elle leur comte comme son amy auoit este occis	170
160|161	et je meismes euisse esté morte|se ne fust cis frans chevaliers	Et ie mesmes fait elle feusse morte se ne fust ce franc cheualier	171
162	qui par sa debonaireté me resqueust	qui par sa debonairete ma rescousse	172
163|164	et se mist em peril de mort|por ma vie sauver	et sest mise on peril de mort pour sauuer ma uie	173
165	Et lors conseille a l un de ses escuierset cil se destrosse maintenant de sa venoison	Et lors conseille a lun	174
166|167	si la baille a son compaignon|por porter	et cil baille sa uenoison a porter a son compaiguon	175
168	si s en vet vers le chastel quanqu il puet traire del roncin	si sen uait uers le chastel tant quil puet traire du roucin	176
169|170	Et Boors demande a la damoisele comment li chastials a non ou ses amis a esté ocis|Sire fet ele il a non Galedon	Et boort demande a la damoisele coment le chasteau a nom ou sen amy auoit este occis Sire fait elle il a nom galedon	177
171	et l eve par ou vos passastes a non Galede	et leue par ou nous passasmes	178
172	Ensi parolent tant qu il sont venu jusqu al chastel	si a nom galede Ainsi parlent tant quilz sont uenuz iucquau chastel	179
173	si le voit Boors bien seant	et boort le uoit moult fort	180
174	et fort	et moult bien seant	181
175	Et quant il montent ! le tertre	Et quant il ont monte le tertre	182
176	si voient de laiens issir dames	si uoyent yssir dames	183
177	et damoiseles a grant plenté	et damoiseles a grant plante	184
178	dont les unes karolent	dont les unes caroloient	185
179|180	et les autres dancent|et les autres joent de divers geus;	et les autres iouoient de diuers ieux	186
181	si estoient acesmees	si estoient toutes atournees	187
182	et vestues richement	et uestues moult richement	188
183	et avec venoient chevaliers jusqu a X	et auec elles uenoient dix cheualiers	189
184	qui molt faisoient grant joie;	qui moult faisoient grant ioye	190
185	et quant il voient Boort	Et quant ilz uoyent boort	191
186	si crient tuit encontre lui Bien viengniés sire	si uiennent tous enconttr luy|et dient bien ueignez sire	192|193
187	qui nostre dame avez delivres de mort	qui auez deliuree|et rescousse noustre dame de mort	194|195
188	et rescosse des mains a ses enemis	et des mains de ses enuemys	196
189	Et lors font descendre lor dame	Et lors font descendre leur dame	197
190	et lui avec :	et luy auec	198
191	si ne vos porroit nus conter la joie	si ine uous pourroit nul compter la grant ioye	199
192	qui li fu fete	qui luy fu faicte A telle ioye	200
193	et a tel feste enmainent Boort jusqu al palés del chastel	et a tel feste emmainent boort iucquez au maistre palais du chastel	201
194	si le font desarmer ou il volsist ou non	si le font desarmer uoulsist il ou non	202
195	et il le fist a envis	et il le fist a peine	203
196	kar il n estoit encore mie tens de herbergier	car il nestoit pas encor temps de herbreger	204
197	Ensi remist Boors laiens	Ainsi demeure boort leans	205
198	si li firent grant joie li un	si luy firent moult grand ioye les ungs	206
199	et li autre	et les autres	207
200|201	Et quant il orent mengié|a damoisele demande a Boort comment il avoit non ét ¡l dist qu il avoit non Boors li Essilliés	Et quant il eurent mange la damoisele luy demande comment il auoit nom	208
202	Et vos fet il	et il luy dist	209
203	damoisele quels est li vostre nons	que il auoit nom boort lessille	210
204	? — Sire fet ele	Et uous fait il damoisele	211
205	je ai non Blevine de Glocedun issi a non cist chastials ou nos somes	quel est uostre nom|Sire fait elle iay nom blocedin	212|213
206	A ces paroles qu il disoient es vos I escuier	Ainsi a nom ce chasteau ou nous somes	214
207	qui laiens entre	qui entre leans	215
208	si s agenoille devant la damoisele	et sagenoille deuant la damoisele	216
209	Dame fet il la damoisele de Honguefort vostre cosine vos salue	dame fait il madame la damoisele de hunguefort uoustre cousine uous salue	217
210	et vos mande qu ele vient herbergier o vos	et uous mande quelle uient|et herbregera o uous	218|219
211	Et quant cele l entent	et quant elle lentend	220
212	si saut sus	si sault sus	221
213	si liee	si liee	222
214	et si joiose	et si ioyeuse	223
215	que nule plus	qui plus ne puet	224
216	et demande al vaslet ou ele est	et demande au uarlet ou elle est	225
217|218	Dame|fet il a mains de demie lieue pres de ci	Dame fait il elle est a demye lieue pres de cy	226
219|220	Et ele fet maintenant sa sele metre|et dist qu ele ira encontre li;	et elle fait adonc mectre la sele a dist quelli yra encontre luy	227
221	si monte	Si monte	228
222	et maine o li	et mainne o lie	229
223	VI	u	230
224	chevaliers		
225|226	et Illl|en laisse	et en laisse quatre	231
227	por fere compaignie a Boort ;		
228	si se part atant de laiens	si se part adonc de leans	232
229	Mes Boors	mais boort	233
230|231	qui les noveles a of̈es de cele de Honguefort|si ne set	qui a ouy les nouueles de celle dunguefort ne seut	234
232	que fere	que faire	235
233|234	kar se il remaint laiens ne puet estre|que l en nel conoisse	car sil remaint leans il ne puet estre quelle ne le cognoisse	236
235|236	et ce ne voldroit il|por rien:	et ce ne uoudroit elme pour nul rien	237
237	si pense longuement a ceste chose	si pense longuement a ceste chose	238
238	Quant il ot une piece pensé	Quant il a grant piece sis en paix	239
239	si se drece en estant	si se die ce en estant	240
240	et demande ses armes tost	et demande ses armes tost	241
241|242	et isnel|Sire font cil	et isnel Sire font ceulx	242
243	qui avec lui estoient qu en volés vos fere	qui auec luy estoient|que uoulez uous faire	243|244
244|245	? — Je me vueil|fet il un poi aler esbatre jusqu a cel boschel	Ie me uueil fait il ung pou aller esbatre iucqua ce boys	245
246	si revendrai orendroit	si reuiendray tantost	246
247	Cil n osent son commandement refuser	ceulx nousent refusrr son commandement	247
248	si aportent ses armes	et apportent ses armes	248
249	et il les prent	et il les prent	249
250	Et quant il est armés	Et quant il est arme	250
251	si monte en son cheval a	si monte a cheual	251
252	si se part de laiens par une posterne par devers le boschel ne ne velt	et se part de leans par la pousterne deuers le chastel ne ne ueult	252
253	que nus li face compaignie	que nul luy face compaignie	253
254|255	Et quant il est l|poi eslongiés del chastel	Et quant il est ung pou esloigne du chastel	254
256	si torne a destre vers une forest qu il voit haute	si torne a destre partie uers une fourest quil uoit haute	255
257	et espesse	et espesse	256
258	et s en vet al ferir des esperons;	si sen ua au ferir des esperons	257
259	si se fiert en la forest	et se fiert en la fourest	258
260	et eirre tant qu il li anuite ;	et erra tant qͥl anuyta	259
261	et lors escote	Et lors escoute	260
262	si ot une cloche soner	si ouy sonner une cloche	261
263	et il sot bien tantost	si sceit bien tantost	262
264	que c estoit hermitages:	que cest hermitage	263
265	si s en torne cele part	si se tourne celle part	264
266	et descent a l uis	et descent a luys	265
267	si apele	si apelle	266
268	et li hermites li oevre son huis	et lermite luy euure	267
269	si a le reçoit a bele chiere	et le recoit a belle chiere	268
270|271	et le desarme il meismes|puis vet cueillir de l erbe al cheval	Ainsi est demoure Comme boot demoura chex lermite	269
272	et por fere lit al chevalier	che tant quelle fu partie de son chastel	270
273	et la damoisele de Glocedun chevalcha tant a qu ele encontra cele de Honguefort;	et quelle encontra celle boort chex lermite|et la damoisele de glossedin cheuaude hunguefort	271|272
274	si s entresaluent	si sentresaluent	273
275	mais molt se merveille cele de Glocedun	mais celle de glossedin se merueille moult	274
276	quant ele voit sa cosine	quant elle uoit sa cousine	275
277	si atornee	si atournee	276
278	et tote sa maisnie:	et toute sa mesgniee	277
279	si li demande l acheison	si luy en demande lachoison	278
280	et cele li conte de chief en chief	et elle luy comta de chief en chief	279
281	et dist	et dist	280
282	que jamés ne finera d errer jusqu el ait le chevalier trové	que iamais ne finera derrer iucqua tant quelle ait trouue le cheualier	281
283	et bien sachiés fet ele bele cosine	et bien sachez fait elle belle cousme	282
284	que c est li plus bials chevaliers	que cest le plus bel cheualier	283
285	et li mieldres	et le meilleur	284
286	que je onques mes veisse	que ie ueisse oncquez mais	285
287	et si est encore jovenes enfés;	et si est encores ienne enfant	286
288	si ai tel duel	si ay tel deul	287
289	quant il me membre de la vilenie	quant il me menbre de la uilenie	288
290	que je fis qu a poi	que ie luy feis qua pou	289
291	que li cuers ne me part el ventre	que le cuer ne me part ou uentre Certes belle cousine fait celle de glocedin|sil uous aduint belle auanture il ne mest pas huy aduenue belle	290|291
292	Si li conte tot ensi com il li estoit avenu	Si luy compte tout ainsi comme il luy est aduenu	292
293	et dist qu ele a le chevalier herbergié	et dist quelle a herbrege le cheualier	293
294	mais bien sachiés fet ele	Mais bien sachez fait elle	294
295	que c est li plus bials chevaliers	que cest le plus bel cheualier	295
296	que je onques mes veisse	que ie ueisse oncque	296
297	et jovenes durement ;	mais et fort ienne	297
298|299	si li devise sa façon|et son grant	si luy deuise sa facon sa grandeͬ	298
300	et sa mesure tant qu a cele de Honguefort est avis	et sa mesure tant quil est aduis a celle de hunguefort	299
301	que c est cil qu ele quiert	qui cest cil quelle quiert	300
302	si li tarde molt qu ele le voie	si luy tarde moult quelle ne le uoit	301
		Ainsi cheuauchent tant quilz sont uenuz au chastel	302
303	si descendent la damoisele molt honorement	si descendent la damoisele moult honnoureement	303
304	et molt font grant joie de li	et moult font grant ioye de luy	304
305	Et lors sont montees el palés;	Et lors sont montez ou palays	305
306	si demande cele de laiens ou ses ostes est	si demande celle de leans ou est son hoste	306
307|308	Par foi font|si chevalier ¡l s en vet orrendroit tos armés fors de cest chastel	par foy font ces cheualiers il sen uait orendroit tout arme hors de ce chastel	307
309	mais il nos dist qu il revendroit tantost; n onques	mais il nous a dit quil renuiendra tantost	308
310	por nul pooir ne volt soffrir		
311	que nus de nos alast avec lui		
312	—		
313|314	Quel part s en ala il|? fet ele	Quelle part est il alle fait la dame	309
315	— Dame font il vers cel boschel	Dame font ilz uers ce boys	310
316	— Or tost fet ele montés alés aprés lui	Or montez tost fait elle allez apres	311
317|318	si le nos ramenés|Lors sont monté li X	et le ramenez Lors sont montez tous les dix cheualiers	312
319	chevalier		
320	et vienent jusqu al boschel	et uiennent au boys	313
321	si le cerchent amont	si le sercherent amont	314
322	et aval mes del chevalier ne pueent riens trover	et aual|mais le cheualier ne peuent ilz pas trouuer	315|316
323	si en sont molt irié		
324	et dolent		
325|326	et mandent a lor dame qu il ne le pueent trover|En non Dieu fet ele ensi ne remandra il pas	si le mandent a leur dame quilz ne le peuent trouuer En nom dieu fait elle anisi ne demeurra il pas	317
327	Si monte	si monte elle	318
328	et tote sa maisnie	et toute sa mesgniee	319
329	et commande a cerchier le bois de totes pars	et commande a sercher le boys de toutes pars	320
330	et il en font son commandement	et ilz font son commandement	321
331	Mais tot ce ne lor valt riens	mais tout ce ne leur uault riens	322
332	kar il n'em puent avoir nul asenement a	car ilz nen peuent ouyr nul assignement du monde	323
333	Quant ele vit ce	Et quant elle uoit ce	324
334	si s en retorne en son chastel dolente	si sen retourne en son chastel doulente	325
335	et corociee	et couroucee	326
336	et conte a cele de Honguefort comment ses ostes s en estoit alez	Et compte a celle de hunguefort comment son hoste sen est alle	327
337	puis demande a cels de laiens Bials seignors	et puis demande a ceulx de leans beaux seigneurs	328
338	quant s em parti il — Par foi dame font il	quant party il|par foy dame font ilz	329|330
339	si tost com il vos en vit aler	si tost quil uous en uit aller il dist	331
340	et dist qu il revendroit tost	que il reuendroit tantost	332
341	— Par foi fet ele gabez nos a	Certes fait elle uous uous gabez	333
342	Lors demanda cele de Honguefort quels armes il portoit	Lors demande celle de hunguefort quelz armes il portoit	334
343	et ele li devise	et elle luy deuise	335
344	En non Dieu fet ele je te trovai hui matin a l entree d une forest mes il ne portoit mie tel escu com cil	Certes fait elle ie le trouuae huy matin a lentree dune fourest|mais il ne portoit pas tel escu comme cil	336|337
345|346	que je quier|— Bele cosine fet cele de laiens il le puet bien avoir changié	que ie quier Belle cousine fait celle de leans il le puet bien auoir despuis change	338
347	et je vos di al mien cuidier	et ie cuide bien a mon cuider	339
348	que ce est cil	que cest cil	340
349	que vos querez :	que uous querez	341
350	si vos prie	si uous pry	342
351	que vos me laissiés o vos aler	que me lessez aller o uous	343
352	tant que trové l aions	tant que nous layons trouue	344
353	et lors savrai l acheison		
354|355	por quoi il laissa mon ostel a tel ore|— Il m est molt bel fet cele de Honguefort	Et lors scauray lachoison pour quoy il a lesse mon houstel a telle heure Il mest moult bel fait celle de hunguefort	345
356	que vos i viegniés	que uous y uieguez	346
357	puis qu il vos plest	quant il uous plaist	347
358	Ensi remistrent la nuit laiens	Ainsi demeurent la nuyt leans	348
359	et al matin	Et au matin	349
360|361	si tost com eles ! virent le jor|si leverent	si tost quelles uirent le iour se leuerent	350
362	et se partirent del chastel	et se partirent du chastel	351
363	et entrerent en la queste de lor chevalier	si entrent en la queste de leur cheualier	352
364	Mais or laisse atant li contes a parler d eles	Mais or laisse le compte a parler deulx	353
365	et de Boort	et de boort	354
366	et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic	et retourne a parler de lancelot|quant il entra en la fourest de sarponie sicomme le compte a deuise	355|356
		Cy fine le comte	357
367	si com li contes a devise ariers	Et parle de lancelot du lac	358
368	Or dist li contes qu il fist grant chaut le jor	Or dit le conte quil faisoit grant chault le iour	359
369	que Lancelos entra en la forest de Sarpenic	que lancelot entra en la fourest de serpeme	360
370	et por ce ne remest il mie qu il ne chevalchast jusqu à none;	et pour ce ne demoura il pas quil ne cheuauchast iucqua nonne	361
371	si li avint ensi qu il n encontra home ne feme jusqu al vespre;	Si luy aduint quil nencontra homme ne femme iucqua uespres	362
372|373	mais lors sans faille|si com il dut issir de forest	mais lors quil deut yssir de la fourest	363
374	qui tot le jor li ot duré encontra une damoisele	qui tout le iour luy auoit dure il encontra une damoisele	364
375	qui molt faisoit grant duel	qui moult faisoit grant deul	365
376|377	et chevalchoit I|palefroi noir a molt riehe lorain	et cheuauchoit ung palefroy noir a moult riche loram	366
378|379	et a molt cointe sele de l'oevre d Engleterre|Il salue la damoisele	et a moult cointe sele de lueure de angleterre Il salue la damoisele	367
380	et ele lui	et elle aussi luy	368
381	Damoisele fet il	Damoisele	369
382|383	kar me dites s il vos plest|por quoi vos plorés	fait il or me dictes pour quoy uous plourez	370
384	— Certes sire fet ele se je i' cuidoie avoir preu je le vos diroie	Certes fait elle|si ie y cuidoye auoir preu ie le uous diroye	371|372
385	— Damage fet il ll i avrez vos ja se Dieu plest	Dommaige fait il ny aurez uous pas|si dieu plaist	373|374
386	mais dites le moi par covent que se je vos	Mais dictes le moy par conuent|que si ie uous	375|376
387	puis aidier a vos esleecier je vos aiderai a mon pooir	puis aider a uous aider|it uous aideray a mon pouoir	377|378
		En nom dieu sire fait elle	379
388	donc le vos dirai je	dont uous diray ie	380
389	ll est voirs	Il est uoir	381
390|391	que Meleagans li fiz al roi Baldemagu ala a la cort le roi Artu|por la roine Genievre conquerre s il peust;	que meleagant le filz du rop bandemagu alla a la court du roy artus pour conquerre la royne genieure sil eust peu	382
392	et endementiers fist tant une damoisele	Cependant fist tant une damoisele	383
393|394	qui estoit|? sa suer qu ele geta Lancelot d une tor ou Meleagans l avoit mis en prison ne sai	qui estoit sa seur quelle gecta lancelot du lac dune tour ou meleagant lauoit mis en prison ie ne scay pour quoy	384
395	por quoi		
396	Quant ele l ot delivré	Quant elle leut deliure	385
397	si le tint avec li tant qu il fu garis	si le tint auecquez luy tant quil fu guery	386
398	kar molt avoit eu mesaise en la prison	car moult auoit eu mesaise en la prison	387
399	et puis l envoia a la cort le roi Artu ou il ocist Meleagan ce savons nos or bien	Et puis lenuoya a la court du roy artus ou il occist meleagant ce scauons nous ores bien	388
400	Mais si tost com li parent sorent qu ele avoit Lancelot osté de la prison	mais si tost|que les parens meleagant sceurent quelle auoit oste lancelot de la prison	389|390
401|402	si distrent qu ele l avoit fait|por Meleagan ocirre;	si distrent quelle lauoit fait pour occire meleagant	391
403	si le pristrent a force	Et la prindrent a force	392
404	et l acheisonerent de sa mort	et laccuserent de sa mort	393
405	et distrent que s ele ne trovoit	et distrent|que selle ne trouuoit	394|395
406|407	qui l en desfendist|qu'il feroient de lui justice	qui la dessendist quilz feroient telle iustice de lie	396
408	si grant com l en doit fere de cele	que len deuroit faire de femme	397
409	qui son frere ocist	qui son frere a occis	398
410	Et ele dist qu ele troveroit bien	Et elle dist quelle trouueroit bien	399
411	qui la desfendroit:	qui la defendroit	400
412|413	si mist jor d amener I|chevalier	si a mis iour damener auant ung cheualier pour la deffendre	401
414	por li desfendre		
415	si s est	si sest	402
416	puis porchaciee en Pluisors liex	puis pourchacee en plusieurs lieux	403
417	mais onques ne trova chevalier	mais oncquez ne trouua cheualier	404
418	qui ses armes en osast prendre contre celui	qui armes en osast prendre encontre celuy	405
419	qui apelee l avoit	qui lauoit appellee	406
420|421	Or|si est tant la chose alee	Ores est tant la chose alee	407
422	que li jors est aterminés a hui ;	que le iour est termine a huy	408
423	si n a trové la pucele nul desfendeor	si na encor trouue la pucele nul deffendeur	409
424	et por ce dient li un	Et par ce dient les ungs	410
