,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
17,18,ll regarde grant piece le chastel,Il regarde le chastel grant piece,e el cato gran pieça el castillo,eElli riguarda gran peza il castello,Il regarde le chastel grant pieche,Il regarde grant piece le chastel,
18,19,dont la façons li plest molt a regarder,dont la fachons li plaisoit moult a regarder,ca mucho se pagaua delo catar,,car monlt luy plaisoit a uoir,dont la facon luy plaist moult a regarder,dont Ia fasons li plait moult a esgarder
19,20|21,puis s en torne contreval la riviere|por savoir s il i peust trover ne pont ne gué,puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue,e despues torno la rribera ayuso|Por saber|si podria fallar puente,donde la fazion gli piace molto al riguardare poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado ma,puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le,puis sen retourne tout contreual la riuiere pour sauoir sil pourroit trouuer ne pont ne gue,et puis sen torne tot contreual la riuere|Por sauoir se il i troueroit ne pont ne gue
20,,,,,,quel il puisse passer,,
21,,,,Por do pasase,,,,
22,22,mais il n en trueve point,mais il ni trueue nul passage,mas el no pudo fallar ninguna,e non ve ne truova punto,mes il nen truue point,Mais il ny en treuue point,mais il nen i trurue point :
23,,,,,e quand,,,
24,23|24,et quant il voit qu il n i passera|si ne set,Et quant il voit chou|si ne set,e boores desque esto vido no sabia,e vede|che non potrà passare|si non sa,Et il uoit ce|si ne scait,Et quant il uoit quil ne puet passer|si ne scet,si ne sot
25,25|26,que fere|que retorner ne voldroit il mie,que faire|quar retorner ne volroit il en nulle maniere,que se façer|ca el no se queria tomar en ninguna manera,che fare ché ritornare non vorebbe elli mica,que faire|car retourner ne uoulloit pas,que faire|car retourner ne uouldroit il pas,que faire|car retorner ne wet il mie atant uoit issir une damoisele dou chastel
26,,,,,,,Adonc uoit yssir du chastel une damoisele,
27,,,,,?Atanto vide uscire una damigella del castello,,,
28,27,qui ert tote nue en sa chemise,Lors uoit issir del castel vne damoisele toute nue en sa chemise,Ansi estando vio del castillo salir vna donçella en camisa,ch era tutta ignuda in sua camicia solamente,A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise,qui estoit toute nue en sa chemise,qui estoit tote nue en sa chemisse
29,,,,,,,,si la menoient
30,28,si le menoient troi vilain molt vilainement a,si le menoient|iiij,que traian quatro rribaldos muy sañudamente,si lla menavano iiii|rubaldi molto villanamente,sy la menoient quatre ribaulx monlt felonneusement,si la menoyent quatre nibaux moult uilainement,iiii|tre ribaus moult uilment
31,,,ribaut moult felenessement,,,,,
32,29,et tenoit chescuns une hache en sa main;,et tenoit Cascuns en sa main|i,e cadavno traia enla mano vna lança,e tenieno ciascuno una acciaia in sua mano,et tenoient chascun en sa main ung coustel trenchant,et tenoit ch̃un une hache en sa main,et tenoit chascuns une hache en sa main
33,,,coutel trenchant,,,,,
34,30|31|32,et ele crioit quanque ele pooit crier|por els|qui li faisoient tel honte,Et elle crioit quamque elle pooit|por chiaus|qui li faisoient tel laidure,e ella daua vozes|quanto podia dar,Ed ella grida quanto|ch ella può gridare per coloro|che lle facieno cotale onta,Et la damoiselle crioit tant comme elle pouoit pour la laidure|et honte|que telx ribaulx luy faisoient,et elle crioit tant quelle pouoit crier pour ceulx|qui luy faisoient tel honte,et ele crioit quantque le pooit crier|por ciax|qui li fasoient tele honte
35,33,et tel laidure qu il la venoient batant tot contreval la riviere,quar il lenmenoient tot contreual la riuiere batant,e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar,e tal ladiura|ch elli la menavano battendo tutto contravalle la riviera,et la menoient batant contre ual la riuiere,et telle laidure|qui la uenoient batant tout contreual la riuiere,et tel laidure|que il la menoient batant tout contrtual la riuiere t
36,34,Et quant la damoisele vit le chevalier de l autre part de ! l eve,Et quant elle vit le cheualier de lautre part de laigue,e quando la donçella vio a bores dela otra parte del agua començo a dar vozes,E quando la damigella vide lo cavaliere dall altra parte dell acqua,Et quant la damoyselle uoit le cheualier de lautre coste de la ry,Et quant la damoisele uoit le cheualier de lautre part de leaue,quant la damoisele uoit le cheualier dautre part la riuiere
37,35,si commence a crier Ha gentilz chevaliers secorés ceste damoisele,si li commenche a crier|Ha : gentils homs,e a deçir ay jentil cauallero acorred a esta donçella,si gli comincia a gridare,uiere commenca a crier|et dire en tell maniere Haa beau,si luy commence a crier haa gentili cheualier secourez ceste damoisele,si li comance a crier|ha: gentis cheualiers secores ceste damoisele
38,,,,,,et gentil cheualier secoures ceste damoiselle,,
39,,,quar secoures ceste damoisele,,,,,
40,36,que cist ribaut vuelent ocirre,que cist ribaut voelent ochirre,que estos Ribaldos me quieren,che questi rubaldi vogliono uccidere,que ces ribaulx ueullent occire,que ces ribaux ueulent occire,que ciz ribaut wellent ocire
41,,,,,,haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars,,
42,37,Ha frans hom ne m i laissiés morir se vos onques eustes pitié de nule gentil damoisele,Pour dieu ne mi laissies ore mie morir|se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame,ansi matar ay buen cauallero|si nunca oviste piedad de donçella auelda agora de mi,! Hal franco cavaliere non mi lasciate uccidere se voi unque aveste piatà di nulla gentile damigella,et se uous pitie de moy|car se uous ne me secoures ie suys a la mort liurer,Haa franc homme ne me lessez mourir|si uous eustes onc pitie de nulle gentilz damoisele,ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele
43,38,Quant Boors ot ce qu ele li prie,Quant bohors oy|que la damoisele li prioit,e no me dexedes,“Quando Boordo ode colei|che l priega,Et quant boort ouyt quelle le prioit,quant boort ouy celle|qui le prie,Quant bohort|oit cele
44,39|40,si pitousement qu'il la secore|si ne set,si piteusement de li secorre|si One sot,asi morir|Quando boores oyo lo|que la donçella deçia no supo,si piatosamente|che lla soccorra|si non sa,si piteusement|si ne scait,si piteusement quil la sequeure il ne scait,que si piteusement lapele|et li prie quil la sekeure|Sire set
45,41|42,que fere|kar volentiers li aidast s il peust;,que faire|quar volentiers li alast aidier sil peust estre,que façer|ca muy de grado la quisiera acorrer,che fare ché volentieri l andasse ad atare se potesse ma,que faire|car uoulentiers luy allast aider se il peult estre,que faire|car uoulentiers luy alast aider sil peust,que faire|car uolentiers li alait aidier se il poist
46,43,mais il voit l eve noire,mais il voit laigue parfonde,si pudiese Mas el agua hera muy fonda,e vede l acqua nera|e profonda,mes il uoit la riuiere parfonde,mais il uoit leaue parfonde noire,Mais il uoit leue
47,44,et parfonde,& perillouse,e peligrosa,e perigliosa,et dangereuse a passer,et perilleuse,si parfonde
48,,,,e negra,,,,
49,,,et noire,,,,,
50,45,et si perilluse qu il cuide bien noier s il se met dedens;,si quide bien morir se il|si met,e bien cuidaua morir|si se y Metiese,che crede bene morire s elli|si mette di dentro,et scait bien sil entre dedens qu il se met en peril de mort,que il cuide bien mourir sil|si mect dedans,et si perilleuse|que il cuide bien perir se il se met dedans
51,,,,,;,,,
52,46,et d'autre part il voit cele,Et dautre part voit il cels,e dela otra parte veya la donçella,e d altra parte|e vede colei,Et daultre part il uoit celle,Et dautre part il uoit celle,et dautre part il uoit cele
53,47,qui si durement crie merci;,qui si piteusement li crie merci,que muy afincada mente le pedia merçed,che si duramente gli grida mercé,qui si piteusement fui crie mercy,qui si fort luy crie mercy,qui si docement li prie nc|ci
54,48,si l'em prent tels pitiés qu il en laisse totes poors,si len prent tele pitsiles quil en laisse toute paour,e ovo tal piedad della|que le fiço todo el miedo perder,si ne gli prende tale piatà|che ne lascia tutte paure,Si luy en prent telle pitie quil en laisse toute paour,si luy en prent telle pitie quil en laisse toute paour,Si len prent tes pitiez quil en laisse totes paours
55,49|50,et fet le signe de la crois en mi son vis|puis enbrace l escu,et met le signe de la vraie crois en mi son front|& en mi son pis|puis enbrace son escu,e fiço la señal dela cruz sobre|si e enbraço el escudo,e si fa el segno della santa croce nel miluogo del suo viso poscia imbraccia lo scudo,et fait le signe de la croix deuant son uisaige puys embrache son escu,si en fait le signe de la croix enmy son uis|puis embrace lescu,Si fait le signe de la crois enmi son uis|puis enbrace lescu
56,51,et broche le cheval des esperons,et fiert le cheual des esperons,e firio al cauallo de las espuelas,e broca il cavallo degli sproni,et fiert son cheual des esperens,et broche le cheual des esperons,et broche le cheual des esperons
57,52|53|54,et se fiert en l eve|Et li chevals fu fors|si commence a noer,et se lance en laigue|Et li cheuaus commence a noier:,e lanço se en el agua|e el cauallo començo de nadar,si fiede nell acqua isnellamente,et se lanche dedens leaue tout erraument:|et le cheual commence a noer,et se fiert erraument en leaue|et le cheual fu fort|si commence a nouer,et se fiert en leue tot errantment|Et li cheuaus fu fors|si comance a noer
58,55,si tost com il ot terre perdue,si tost quil a terre perdue,luego e perdio tierra en tal manera,si tosto com'elli ebbe terra perduta,si tost quil eust terre perdue,si tost quil eut terre perdue,si tost con il ot ntre perdue
59,56|57,si l enporte d autre part de la rive a quelque paine|mais ançois ot beu de l eve li uns,si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns,que paso dela otra parte del agua|mas ante beuio el cauallo del agua,si ne l portò d altra parte della riva a qualche pena 'ma inanzi furono amenduni tutti molli,et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine|car ains quilz feussent passes beurent de leaue lun,si lemporte de lautre part de ma riue a quelque peine|mais ancois eut beu de leaue lun,si lenporte dautͤ part la riue a quelque painne
60,58,et li autre,& li autres,,,et laultre,et lautre,
61,59|60|61|62,et se li chevals ne fust|si buens noié fuissent ambedui|kar li chevaliers estoit pesans|por les armes qu il avoit vestues,Et se li cheuaus ne fust|si boins noie fussent ambedui Car li cheualiers estoit pesans pour lez armes quil auoit uestues|si en fu moult en peril|uant bohors ot passe laigue pour la damfolisele secorre ainsi,e si el caballo tan bueno no fuera sin dubda el moriera enel agua|e boores porel peso delas armas|que llebaua,e se l cavallo non fosse stato|si forte anegati fossono amenduni ché l cavaliere era pesante per l arme|ch elli avea vestite,et se le cheual neust este fort|et bon ilz feussent noyes|et lun|et laultre|car le cheualier estoit fort pesant pour les armes quil auoit uestues,et se le cheual ne eust este|si bon ilz fuszent tous deux noyez|car le cħlr estoit pesant pour les armes quil auoit uestues,
62,63|64,Quant il fu de l autre part de l eve|si ne descendi pas ains cort vers cels,que vous poes oir|si ne descendi mie ains cort sus a chiaus,e desque fue dela otra Parte del agua dexo se correr aquellos,Quand|e fu da l altra parte dell acqua|si non discende passo anzi muove il cavallo inverso di coloro,Quant il fut de lautre part de leaue|si ne descendist oncques ains courust uers ceulx,Quant il fu de lautre part de leaue|si ne descendy pas|ains court uers ceulx,Si ne descendi pas ains cort uers ciax
63,65,qui la damoisele tenoient,qui la damoisele tenoient,que la donçella tenian,che lla T tenieno,qui la damoiselle tenoient:,qui tenoient la damoisele,qui la damoisele renoient
64,66|67|68,et fiert|si le premier qu il aconsieut qu il li met le glaive par mi le cors|si l abat a terre,si fiert le premier quil encontre|si durement quil li met le glaiue parmi le cors|si labat a la terre,e firio al primero|que encontro en tal manera|que le metio la lança porel cuerpo,e fiede|si il primaio|ch elli agiugne|che gli mette la lancia per me' il corpo|si llo abatte a terra,et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps|si labat a terre,et fiert|si fort le premier quil actaint quil luy mect le glaiue parmy le corps|si labat a terre,que il consieut quil li met le glaiue parmi le cors|si labat mort aterre
65,69|70,et li autre s enfuient erraument|por ce,Et li autre senfuient pour chou,e los otros dos|que aquello vieron fuyeron|luego por miedo de no ser muertos,e gli altri se ne fugono tosto per ciò,et les autres se met tent en fuite,et les autres senfuyent erraument par ce qͥlz estoient desarme,et li autre sen fuient porre q̾l estoient desarme
66,71,que desarmé estoient,que desarme estoient,ca todos estauan desarmados,che disarmati erano,,,
67,72|73|74|75,Et la damoisele|qui delivree se voit se met a genols devant Boort|et dist Ha gentils chevaliers de Dieu soiés vos beneois|quant vos m avés de mort rescosse,Et la damoisele|qui deliure se uoit|se met maintenant a genouls deuant bohort|et dist|ha: gentiex cheualiers de dies oess vous beneois|quar vous maues de mort rescousse,e la donçella desque aquello vido finco los ynojos ante boores|e dixo ay jentil cauallero vendito seades de dios|que asi me librastes de muerte,E la damigella|che si vide dilivera|si mette a ginocchia davanti Boordo|e adorato ne sia lddio quand elli in queste parti vo menò ché questi guiglioni m avessono già morta se vo' non foste,La damoiselle|qui deliuree se sent se met a genoulx deuant lui|et lui dit|Haa gentil cheualier de dieu soiez uous benoit:,Et la damoisle|qui se uoit deliure se mect a genoux deuant boort|Haa gentilz cheualier fait elle|de dieu soyez uous beneist|dont uous mauez de mort rescousse,et la damaisele|qui deliuree ce uoit se met a genous deuant bohort ha gentis cheualiers fait ele beneois soiez uos de dieu|quant uos mauez de mort rescoce
68,76,et aorés en soit Diex,Et aoures en soit diex,e bendito sea dios,,,et aoure en soit dieu,et aoures soit diex
69,77|78|79|80|81,quant il ceste part vos amena|kar cist gloton m euissent ja morte|— Damoisele fet il|por quoi|? — Sire fet ele jel vos dirai bien,quant il ceste part vous amena|Car cist glouton meussent morte se vous ne fuissies|Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien,que aqui vos traxo|que estos villanos me hubieran muerto|si por vos no fuera donçella dixo boores|Por que señor dixo ella yo vos lo dire,— Damigella disse Boordo perché|che vo' m abiate messa a salvamento|— Come disse elli avete vo' dunque guardia,car ces gloutens me eussent occiz se ne feussez uous|Damoiselle fait il pour quoy|Sire fait elle ie le uous diray,dont il uous amena ceste part|Car ces gloutons meussent ia occise se uous ne fussez Damoisele fait il pour quot|Sire fait elle ie le uous diray bien,quant ils amena ceste part|Car cil gloton meussent ia morte ce uos ne fussiez|Damoisele fait il porcoi|Sire fait ele ie le uos dirai bien
70,82|83,mais que vos m aiés mise a sauveté|— Coment,mais que vous maies mise a sauuete Comment fait il aues vous encore paour,mas ante conuiene,e I più traditore|A queste parole vidono uscire un cavaliere del castello,mais que uous me aiez mise a sauuete,mais que uous mayez mise a sauuete Comment fait il auez uous,mais que uos maiez misse a Sauuete
71,84|85,? fet il|Avés vos,Sire fait elle ia asseuree ne serai,,e là ov egli vide Boordo,Comment fait il auez uous,,Coument fait il auez uos
72,86|87,dont garde|? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel,tant que iou y sache le seignor del chastel :,que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo,si llo isgrida|Danzi cavaliere lasciate la damigella ché vonon la menere mica|e per mio capo male la riscoteste,donc paour|Sire fait elle ia seure ne seray|tant que ie sache leans le seigneur de ce chasteau,donc garde|Certes sire fait elle ia ne seray asseuree|tant que ie sache,dont garde|Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel
73,,,,,,,qui est le seigneur de ce chastel leans,
74,88|89,kar c est li plus fel chevaliers del monde|et li plus traîtres,quar cest li plus fel cheualiers del monde|et li plus desloiaus,ca es el|mas follon omne de todo el mundo|e mas cruel Ellos,Si gli corre suso quanto|ch elli puote la lancia islungata|e Boordo il fiede,car cest le plus fel cheualier du monde,car cest le plus fel cheualier du monde|Coment boort se combaty pour la damoisele,Car cest li plus fel cheualiers dou monde|et li plus traites
75,90|91,A ces paroles voient issir I|chevalier del chastel,j|cheualier issir du castel,asi fablando vieron salir del castillo vn caballero,si duramente in suo venire|che llo scudo né llo asbergo no llo guerentisce|che non gli metta per me' il corpo,et le plus cruel Ces parolles uoient issir ung cheualier du chasteau:,A cest parole voyent yssir ung cheualier du chastel,a ces paroles uoit issir un cheualier del chastel
76,92,et la ou il vit Boort,Et la ou il voit bohors,e quando vido a boores començo le a dar boçes,e ferro|e fusto,et la ou il uoit boort il lui escrie,et la ou il uoit boors,et la ou il uoit behort
77,93,si li escrie Laissiés dans chevaliers la damoisele,si li escrie dans cheualiers laissies ester la damoisele,e a deçir don cauallero a dexar vos conuiene la donzella,e que' cade a terra tutto isteso|che più nonn à mestier di medico,Cheualier laissez la damoiselle,si luy crie laissez sire cheualier la damoisele,si li est terre|Laissiez dans cheualiers la damoisele
78,,,,,E quando que del castello vidono insi lor cavaliere abatuto,,,
79,,,,,si ve ne rimandarono immantanente uno altro per quello vendicare,,,
80,94,que vos n enmenrois mie! Par mon chief mar le rescosistes,quar vous ne lenmenrois pas|et par mon chief mar le rescousistes,ca la non lleuaredes|e porla my cabeza ental Punto la acorristes,che disse a Boordo|che ssi guardi da llui,et par mon chief mal la rescouistes,que uous nemmennerrez pas|par mon chief mal la rescoussistes,que uos nen meneroie|et par mon chief mar la rescousites
81,95|96|97|98,Si li cort quanqu il puet le glaive alongié;|et Boors retrait son glaîve a lui del cors a celui qu il avoit ocis;|si laisse le cheval corre|et le fiert,quar vous le comperres se iou|puis moult chier|Et quant bohors lentent|si point vers lui quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui quil auoit ochis|Si fiert celui,e luego se dexaron correr el vno contra el otro|e boores lo firio conla lança|que auia sacado del cuerpo del villano|que auia muerto en tal manera,ch elli il disfida ed e' dice|che disfida lui|PAllora trae la lancia del corpo a colui|ch elli avea morto|si lascia il cavallo andare|e l fiede,Boort lentent|si lui court tant qu il peut du cheual traire le glaiue allongnie|et le fiert,si luy court sus tant comme il puet le glayue esloigne|Et boort le firrt|si fort a son uenir|que lescu ne le haubert ne le garantist quil ne luy mecte fer|et fust parmy le corps|Et cil cheit a terre tout estandu|car plus na mestier de mire|Et quant ceulx du chastel uoyent leur cheualier ainsi abatu|si luy en enuoyent incontinant ung autre pour uenger celuy|qui dist a boort quil se gardast de luy quil le deffioit|et il dist quil le desfie aussi|Lors trait son glayue du corps a celuy quil auoit occis|si luy laisse aller le cheual|et le fier,Si li acort quanquil puet le glaiue alongnre|et behors retrait son glaiue del cors au ribaut|que il auoit ocis|Si li laisse le cheual|et le fiert
82,99,si tres durement qu il l abat a terre,si durement quil labat a terre,que dio conel Porlas ancas del cauallo a tierra|asi estordido,si duramente|ch elli Il labatte a terra,si durement quil labat a terre,si fort quil labat a terre,si durement quil labat a terre
83,100|101,si estordi qu il n a pooir de relever ains gist pasmés|kar il chai,si estordi quil not pooir de lui releuer|Ains iut illueques tous pasmes|quar il cai,que non se pudo leuantar|asi estaua amorteçido dela cayda,si stordito|che non à podere di sé rilevare anzi giace ispasimato ché fu caduto,si estourdy qu il na pouoir de soy releuer:,si estourdy quil na pouoir de se releuer|ains gist pasme|car il fu cheu,si estordi|que cil na pooir de releuer|Ains fu pasmes|Car il fu cheus
84,102|103,si felenessement qu a poi|que la canole del col n'avoit brisee,si felenessement|que a poi|que la canoele del col ne li est brisie,que las coyunturas del pescuezo tenia quebradas,si fellonosamente|che a poco|che non|si ruppe il collo,,si felonnessement qua ponu|que la chanole du coul ne luy eftoit brise,si uilainnement qua pou quil not la chenole dou col bͥsie
85,104,Et Boors li vet a cheval par desus le cors,Et bohors li uait tout a cheual par desus le cors,e boores traxo tantas vezes el cauallo sobre el,e Boordo gli va cavalcando per di suso il corpo,et booit lui ua par dessus le col a cheual,Et boort luy uait a cheual par dessus le corps,et behors li ua a cheual par desus le cors
86,105,tant que tot le debrise,Si que tout le debrise,Que todo lo quebranto,tanto che di tutto il dibriscia,tant que tout le debrise,tant que tout le debrise,tant que tout le debrisse
87,106,Et lors est la damoisele,Et lors est la damoisele,e la donçella,,Et boort a tant la damoiselle esiouye,et lors est la damoisele,et lors est la damoisele
88,,,,que aquello vido fue muy alegre,,,,
89,107,si liee qu ele ne puet plus,si lie|que plus ne puet,que mas no lo podia ser,si lieta|ch ella non può più,que elle ne peut plus:,si liee quelle ne puet plus,si lie|que ele ne puet plus
90,108,et dist a Boort Sire nos n avons mes garde,Si dist a bohort sire nous nauons hui mes garde,e dixo a boores señor agora non auedes aqui deque vos|mas guardar,e disse a Boordo,et dit a boort|Sire nous nauons mes garde:,et dist a boort|sire nous nauons,et dit a behort|Sire fait ele nous nauons
91,,,,,,,,mais garde ce cuige
92,,,,,,,mais garde,
93,109|110,kar je ne cuit qu il eust plus de chevaliers çaiens|que cestui;,Car iou quit quil ni a plus de cheualiers laiens|que cestui,ca eneste castillo no auia|mas deste cauallero segund cuydo|e agora os direlo,ch io non credo mica|ch egli abbia là entro più cavalieri|che questi,car ie ne cuide point qu il y ait plus de cheualiers leans|que cestui,car ie cuidoie quil y eust leans plus de cheualiers quil ny a,Car ie ne cuit quil ait|mais cheualier laiens plus|que cestui
94,111|112,si vos dirai ore seurement ce|que vos me demandastes n a encor gaires,Si vous dirai ce|que vous me denmandastes|ore le me dites,que me preguntastes seguramente Pues deçidmelo dixo boores,si vi dirò ora sicuramente ciò|che voi mi domandaste,si uous diray seurement ce|que uous mauez demande,Si uous diray seurement ce|que uous me demandastes,Si uus dirai ore seurement ce|que uos me demandates na gaires
95,113,— Dites fet il,dont fait bohors|Par foy sire fait elle entre moi et,asi es dixo la donçella,— Dite diss elli,Par ma foy fait elle moy,dictes fait il|par foy fait elle moy,Dites|dont damoisele fait il
96,,,,,,,,SIre fait ele par foi entre moi
97,,,,,— laPer fé diss ella intra me,,,
98,,,,que oy mañana entre mi,,,,
99,114|115,et I|chevalier,i|cheualier,e vn cauallero,e uno cavaliere,et ung cheualier,et ung cheualier,et|i|cheualier
100,116,qui mes amis estoit chevalchions hui matin par mi cest chastel,qui mes amis estoit cheualchiemes parmi chest chastel,que hera mi amigo pasamos poreste castillo,che mio amico era cavalcamo oggi mattinetto per me questo ricetto,qui mon amy estoit cheuauchions parmi cest chasteau,qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez,qui mes amis estoit|cheuauchiens hui matin parmi cest chastelet illuec
